,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'As': 1},{'Se': 4},{'Se': 2},0.0,0.03267799334595581,1.3833401,0.5283619862200236
1,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'As': 4},{'As': 2},0.0,0.04417241544134706,1.0789839,0.45693387698674387
2,mp-10015_5d83cd3b4eaf9091a4057182,{'As': 1},{'Se': 4},{'Se': 2},0.0,0.03267799334595581,1.3833401,0.5283619862200236
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'As': 4},{'As': 2},0.0,0.04417241544134706,1.0789839,0.45693387698674387
4,mp-1001836_5d83020f30582ea2977ab568,{'As': 1},{'Se': 4},"{'As': 2, 'Se': 2}",0.0,0.004939320770465513,0.7301464,0.10623799364680009
5,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'As': 4},"{'Se': 2, 'As': 2}",0.0,0.02783083827036011,0.95624286,0.4073030443976277
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'As': 7},0.0,-0.009922145067638208,1.9570487,1.4547146978149008
7,mp-1002114_5d83020f30582ea2977ab8e9,{'As': 3},{'As': 9},{'Se': 7},0.0,-0.012199708734665044,0.7863712,1.5020044944209572
8,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'As': 3, 'Se': 8}","{'As': 2, 'Se': 2}",0.0,-0.0029398479331945618,0.71170527,1.4035070943971042
9,mp-10032_5d83020e30582ea2977a710a,{'As': 3},"{'Se': 3, 'As': 8}","{'Se': 2, 'As': 2}",0.0,0.02332271504721425,0.7245021,1.3499448662760776
10,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'As': 3, 'Se': 2}","{'As': 2, 'Se': 5}",0.0,-0.003269856160679307,1.8619655,1.0617120837826917
11,mp-10032_5d83020e30582ea2977a71d5,{'As': 2},"{'Se': 3, 'As': 2}","{'Se': 2, 'As': 5}",0.0,0.032804880012130354,0.50827456,0.9037061071950434
