,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'As': 1},{'Sn': 4},{'Sn': 2},0.0,0.09157095838369084,0.45068076,0.2875923488653493
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'As': 4},{'As': 2},0.0,-0.02916079703624949,0.3415364,0.690764383075597
2,mp-10015_5d83cd3b4eaf9091a4057182,{'As': 1},{'Sn': 4},{'Sn': 2},0.0,0.09157095838369084,0.45068076,0.2875923488653493
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'As': 4},{'As': 2},0.0,-0.02916079703624949,0.3415364,0.690764383075597
4,mp-1001836_5d83020f30582ea2977ab568,{'As': 1},{'Sn': 4},"{'As': 2, 'Sn': 2}",0.0,0.10301697661067122,0.4378845,0.3229463097719894
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'As': 4},"{'Sn': 2, 'As': 2}",0.0,-0.004438998981930354,0.29885992,0.7625129908318831
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'As': 7},0.0,0.0007603938663274498,0.258563,0.8554755816270815
7,mp-1002114_5d83020f30582ea2977ab8e9,{'As': 3},{'As': 9},{'Sn': 7},0.0,-0.04038715999684252,0.6160674,1.1676934783308788
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'As': 3, 'Sn': 8}","{'As': 2, 'Sn': 2}",0.0,-0.053335616968950006,0.39967585,0.8547661794308474
9,mp-10032_5d83020e30582ea2977a710a,{'As': 3},"{'Sn': 3, 'As': 8}","{'Sn': 2, 'As': 2}",0.0,-0.028968277349438222,0.7092862,1.2270711345625653
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'As': 3, 'Sn': 2}","{'As': 2, 'Sn': 5}",0.0,0.01480452633932837,0.27250937,0.5763208396090804
11,mp-10032_5d83020e30582ea2977a71d5,{'As': 2},"{'Sn': 3, 'As': 2}","{'Sn': 2, 'As': 5}",0.0,-0.029364537723422124,0.379685,0.6502307983811627
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'As': 2, 'Sn': 2}","{'As': 1, 'Sn': 2}",0.0,-0.043337860859822906,0.33044556,0.788461896027503
13,mp-10032_5d83020e30582ea2977a71d6,{'As': 1},"{'Sn': 2, 'As': 2}","{'Sn': 1, 'As': 2}",0.0,0.0311140856849152,0.35215008,0.4940196551327333
14,mp-10032_5d83020e30582ea2977a71d8,{'As': 1},{'Sn': 4},{'Sn': 1},0.0,0.10074596425198543,0.2885018,0.24948942510951844
