,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Au': 1},{'Ir': 4},{'Ir': 2},0.0,-0.5418551810423716,1.410907,0.182658762851115
1,mp-10015_5d83020d30582ea2977a44b2,{'Ir': 1},{'Au': 4},{'Au': 2},0.0,-1.7865036299384256,0.12092106,-0.2973816965570162
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Au': 1},{'Ir': 4},{'Ir': 2},0.0,-0.5418551810423716,1.410907,0.182658762851115
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ir': 1},{'Au': 4},{'Au': 2},0.0,-1.7865036299384256,0.12092106,-0.2973816965570162
4,mp-1001836_5d83020f30582ea2977ab568,{'Au': 1},{'Ir': 4},"{'Au': 2, 'Ir': 2}",0.0,-0.44546349656175305,1.7212869,0.3341987283117454
5,mp-1001836_5d83020f30582ea2977ab568,{'Ir': 1},{'Au': 4},"{'Ir': 2, 'Au': 2}",0.0,-1.7851201505787369,0.5401402,-0.32237778455792687
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ir': 3},{'Ir': 9},{'Au': 7},0.0,-1.461830049295355,1.0443047,-0.3593089851463875
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Au': 3},{'Au': 9},{'Ir': 7},0.0,-0.10160913362975216,1.3277318,0.05026022210624401
8,mp-10032_5d83020e30582ea2977a710a,{'Ir': 3},"{'Au': 3, 'Ir': 8}","{'Au': 2, 'Ir': 2}",0.0,-1.2319032815404622,0.5844371,-0.2388219626831874
9,mp-10032_5d83020e30582ea2977a710a,{'Au': 3},"{'Ir': 3, 'Au': 8}","{'Ir': 2, 'Au': 2}",0.0,0.12259941051510699,1.3487141,0.2313012392969056
10,mp-10032_5d83020e30582ea2977a71d5,{'Ir': 2},"{'Au': 3, 'Ir': 2}","{'Au': 2, 'Ir': 5}",0.0,-1.688975560593801,-0.19180968,-0.4613111775145705
11,mp-10032_5d83020e30582ea2977a71d5,{'Au': 2},"{'Ir': 3, 'Au': 2}","{'Ir': 2, 'Au': 5}",0.0,-0.3097366979497628,0.9382586,0.04271093429226078
12,mp-10032_5d83020e30582ea2977a71d6,{'Ir': 1},"{'Au': 2, 'Ir': 2}","{'Au': 1, 'Ir': 2}",0.0,-1.7313372106811968,-0.024334759,-0.355881391622959
13,mp-10032_5d83020e30582ea2977a71d6,{'Au': 1},"{'Ir': 2, 'Au': 2}","{'Ir': 1, 'Au': 2}",0.0,-0.3423163601571521,1.3177242,0.29626783253960254
14,mp-10032_5d83020e30582ea2977a71d8,{'Au': 1},{'Ir': 4},{'Ir': 1},0.0,-0.5768714130323255,1.1691191,0.17376909302897212
15,mp-10032_5d83020e30582ea2977a71d8,{'Ir': 1},{'Au': 4},{'Au': 1},0.0,-1.9604365654838258,-0.07758562,-0.2878280756662484
16,mp-10032_5d83020e30582ea2977a71da,{'Ir': 1},"{'Au': 2, 'Ir': 4}","{'Au': 1, 'Ir': 2}",0.0,-1.456386336583286,0.5676723,-0.31824852880179905
