,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Au': 1},{'Os': 4},{'Os': 2},0.0,-0.47923758241629727,1.1320599,0.3179176252674119
1,mp-10015_5d83020d30582ea2977a44b2,{'Os': 1},{'Au': 4},{'Au': 2},0.0,-1.8302925405613053,-0.5335362,-0.38378694564762117
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Au': 1},{'Os': 4},{'Os': 2},0.0,-0.47923758241629727,1.1320599,0.3179176252674119
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Os': 1},{'Au': 4},{'Au': 2},0.0,-1.8302925405613053,-0.5335362,-0.38378694564762117
4,mp-1001836_5d83020f30582ea2977ab568,{'Au': 1},{'Os': 4},"{'Au': 2, 'Os': 2}",0.0,-0.4266514996764818,1.5583721,0.3793317139152456
5,mp-1001836_5d83020f30582ea2977ab568,{'Os': 1},{'Au': 4},"{'Os': 2, 'Au': 2}",0.0,-1.8895096766301107,-0.31098902,-0.3546476878980117
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Os': 3},{'Os': 9},{'Au': 7},0.0,-1.5161824618861264,0.57743967,-0.4814103955242186
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Au': 3},{'Au': 9},{'Os': 7},0.0,-0.04655934107877453,1.3436781,0.09003834282507783
8,mp-10032_5d83020e30582ea2977a710a,{'Os': 3},"{'Au': 3, 'Os': 8}","{'Au': 2, 'Os': 2}",0.0,-1.2143158835015446,0.30366728,-0.21604764263996418
9,mp-10032_5d83020e30582ea2977a710a,{'Au': 3},"{'Os': 3, 'Au': 8}","{'Os': 2, 'Au': 2}",0.0,0.11556127812391,1.097172,0.0970371066331392
10,mp-10032_5d83020e30582ea2977a71d5,{'Os': 2},"{'Au': 3, 'Os': 2}","{'Au': 2, 'Os': 5}",0.0,-1.6569292466828773,-0.78208214,-0.5482450414386293
