,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Au': 1},{'Pb': 4},{'Pb': 2},0.0,-0.028667218155825656,0.65586793,0.5746770214655169
1,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Au': 4},{'Au': 2},0.0,-0.04221908226400886,0.45272607,0.7006205003549423
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Au': 1},{'Pb': 4},{'Pb': 2},0.0,-0.028667218155825656,0.65586793,0.5746770214655169
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Au': 4},{'Au': 2},0.0,-0.04221908226400886,0.45272607,0.7006205003549423
4,mp-1001836_5d83020f30582ea2977ab568,{'Au': 1},{'Pb': 4},"{'Au': 2, 'Pb': 2}",0.0,0.05915344867859097,0.775571,0.5281964747804353
5,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Au': 4},"{'Pb': 2, 'Au': 2}",0.0,0.018011873579972165,0.4224493,0.8240965284544896
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Au': 7},0.0,-0.03368568797030707,0.64896566,0.8727726786843005
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Au': 3},{'Au': 9},{'Pb': 7},0.0,0.18878550882048314,1.0329984,0.32100257214557687
8,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Au': 3, 'Pb': 8}","{'Au': 2, 'Pb': 2}",0.0,0.06328331684221654,0.49718675,0.8430871802802113
9,mp-10032_5d83020e30582ea2977a710a,{'Au': 3},"{'Pb': 3, 'Au': 8}","{'Pb': 2, 'Au': 2}",0.0,0.24643052395780438,1.1280972,0.388446706815074
10,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Au': 3, 'Pb': 2}","{'Au': 2, 'Pb': 5}",0.0,0.07906616368717638,0.43040234,0.7069094659383469
11,mp-10032_5d83020e30582ea2977a71d5,{'Au': 2},"{'Pb': 3, 'Au': 2}","{'Pb': 2, 'Au': 5}",0.0,-0.03776439405564165,0.81475604,0.31465207355768154
12,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Au': 2, 'Pb': 2}","{'Au': 1, 'Pb': 2}",0.0,0.06381189433501079,0.41567153,0.8669928511921269
13,mp-10032_5d83020e30582ea2977a71d6,{'Au': 1},"{'Pb': 2, 'Au': 2}","{'Pb': 1, 'Au': 2}",0.0,-0.09913889497164917,0.99686736,0.3819836211408277
14,mp-10032_5d83020e30582ea2977a71d8,{'Au': 1},{'Pb': 4},{'Pb': 1},0.0,-0.07744064178565682,0.62837625,0.5853150474575773
15,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Au': 4},{'Au': 1},0.0,-0.07568675452643574,0.41957912,0.7160703197870105
16,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Au': 2, 'Pb': 4}","{'Au': 1, 'Pb': 2}",0.0,0.1345804650226685,0.6326497,0.899158712636767
17,mp-10032_5d83020e30582ea2977a71da,{'Au': 1},"{'Pb': 2, 'Au': 4}","{'Pb': 1, 'Au': 2}",0.0,0.052620611623449116,1.4448694,0.4287356752714417
18,mp-10032_5d83020e30582ea2977a71db,{'Au': 1},{'Pb': 4},{'Pb': 1},0.0,-0.07744064178565682,0.62837625,0.5853150474575773
19,mp-10032_5d83020e30582ea2977a71db,{'Pb': 1},{'Au': 4},{'Au': 1},0.0,-0.07568675452643574,0.41957912,0.7160703197870105
20,mp-10032_5d83020e30582ea2977a71dc,{'Pb': 3},"{'Au': 3, 'Pb': 6}","{'Au': 4, 'Pb': 5}",0.0,0.11626129054114556,0.49310783,1.0294472677457973
21,mp-10032_5d83020e30582ea2977a71dc,{'Au': 3},"{'Pb': 3, 'Au': 6}","{'Pb': 4, 'Au': 5}",0.0,0.36989896062597916,1.2002451,0.5133763876160333
22,mp-10032_5d83020e30582ea2977a71e0,{'Pb': 1},"{'Au': 2, 'Pb': 3}","{'Au': 1, 'Pb': 2}",0.0,0.07024912434110069,0.4125734,0.8478479421684276
23,mp-10032_5d83020e30582ea2977a71e0,{'Au': 1},"{'Pb': 2, 'Au': 3}","{'Pb': 1, 'Au': 2}",0.0,-0.05895906899093689,1.2461624,0.3592510502775184
