,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Au': 1},{'Ru': 4},{'Ru': 2},0.0,-0.5204643829486437,1.0112451,0.2753804650453216
1,mp-10015_5d83020d30582ea2977a44b2,{'Ru': 1},{'Au': 4},{'Au': 2},0.0,-1.6904021047346514,-0.33428007,-0.12776771526090855
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Au': 1},{'Ru': 4},{'Ru': 2},0.0,-0.5204643829486437,1.0112451,0.2753804650453216
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ru': 1},{'Au': 4},{'Au': 2},0.0,-1.6904021047346514,-0.33428007,-0.12776771526090855
4,mp-1001836_5d83020f30582ea2977ab568,{'Au': 1},{'Ru': 4},"{'Au': 2, 'Ru': 2}",0.0,-0.446246227006777,1.3216294,0.23786288700519215
5,mp-1001836_5d83020f30582ea2977ab568,{'Ru': 1},{'Au': 4},"{'Ru': 2, 'Au': 2}",0.0,-1.8458474962437545,-0.2463769,-0.1735055006910897
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ru': 3},{'Ru': 9},{'Au': 7},0.0,-1.7460958109001015,0.18245363,-0.4804029161528167
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Au': 3},{'Au': 9},{'Ru': 7},0.0,0.04790224755226894,1.1502584,0.0984985203857274
8,mp-10032_5d83020e30582ea2977a710a,{'Ru': 3},"{'Au': 3, 'Ru': 8}","{'Au': 2, 'Ru': 2}",0.0,-1.3553421734599502,0.38931042,-0.3273314844658094
9,mp-10032_5d83020e30582ea2977a710a,{'Au': 3},"{'Ru': 3, 'Au': 8}","{'Ru': 2, 'Au': 2}",0.0,0.14138936499548319,1.3285723,0.26252622763931044
10,mp-10032_5d83020e30582ea2977a71d5,{'Ru': 2},"{'Au': 3, 'Ru': 2}","{'Au': 2, 'Ru': 5}",0.0,-1.771589126227392,-0.683742,-0.4701662422674082
