,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Au': 1},{'V': 4},{'V': 2},0.0,-0.4051313813486579,0.708438,0.08173187545353577
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Au': 4},{'Au': 2},0.0,-1.2456024946211652,-1.0498674,0.060898853683286576
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Au': 1},{'V': 4},{'V': 2},0.0,-0.4051313813486579,0.708438,0.08173187545353577
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Au': 4},{'Au': 2},0.0,-1.2456024946211652,-1.0498674,0.060898853683286576
4,mp-1001836_5d83020f30582ea2977ab568,{'Au': 1},{'V': 4},"{'Au': 2, 'V': 2}",0.0,-0.44084992855746347,1.0272062,0.07203879113028733
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Au': 4},"{'V': 2, 'Au': 2}",0.0,-1.2638991705268952,-0.9702723,-0.020108743876500516
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Au': 7},0.0,-2.355850037873606,-1.0014102,-0.6398703972784202
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Au': 3},{'Au': 9},{'V': 7},0.0,0.07956055834644861,0.84884644,0.1497017413707016
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Au': 3, 'V': 8}","{'Au': 2, 'V': 2}",0.0,-1.9618594746450322,-0.56781447,-0.6389083582730727
9,mp-10032_5d83020e30582ea2977a710a,{'Au': 3},"{'V': 3, 'Au': 8}","{'V': 2, 'Au': 2}",0.0,-0.04619492136073364,1.0243388,0.20784794485559155
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Au': 3, 'V': 2}","{'Au': 2, 'V': 5}",0.0,-1.8391054837102507,-1.5181586,-0.5863924917390011
11,mp-10032_5d83020e30582ea2977a71d5,{'Au': 2},"{'V': 3, 'Au': 2}","{'V': 2, 'Au': 5}",0.0,-0.33330602755922106,0.68662965,0.1984670738972273
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Au': 2, 'V': 2}","{'Au': 1, 'V': 2}",0.0,-1.3276647602428338,-1.2952709,-0.29294903816175816
13,mp-10032_5d83020e30582ea2977a71d6,{'Au': 1},"{'V': 2, 'Au': 2}","{'V': 1, 'Au': 2}",0.0,-0.4720413662773669,1.0657613,0.19879794673575318
14,mp-10032_5d83020e30582ea2977a71d8,{'Au': 1},{'V': 4},{'V': 1},0.0,-0.4307330859582741,0.6073278,0.07222484099948857
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Au': 4},{'Au': 1},0.0,-1.4025056976598835,-0.8474335,0.09098632199744217
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Au': 2, 'V': 4}","{'Au': 1, 'V': 2}",0.0,-1.3774153846800699,-1.0584141,-0.1739973213576248
17,mp-10032_5d83020e30582ea2977a71da,{'Au': 1},"{'V': 2, 'Au': 4}","{'V': 1, 'Au': 2}",0.0,-0.1371194910280597,1.369815,0.2956045709012229
18,mp-10032_5d83020e30582ea2977a71db,{'Au': 1},{'V': 4},{'V': 1},0.0,-0.4307330859582741,0.6073278,0.07222484099948857
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Au': 4},{'Au': 1},0.0,-1.4025056976598835,-0.8474335,0.09098632199744217
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Au': 3, 'V': 6}","{'Au': 4, 'V': 5}",0.0,-1.9142118931628205,-1.3076199,-0.8198602265660772
21,mp-10032_5d83020e30582ea2977a71dc,{'Au': 3},"{'V': 3, 'Au': 6}","{'V': 4, 'Au': 5}",0.0,0.011762991156916806,0.80438226,0.22516479287733474
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Au': 2, 'V': 3}","{'Au': 1, 'V': 2}",0.0,-1.398935977678633,-1.0534301,-0.2337147882113783
23,mp-10032_5d83020e30582ea2977a71e0,{'Au': 1},"{'V': 2, 'Au': 3}","{'V': 1, 'Au': 2}",0.0,-0.3291767590924314,1.14808,0.2529650501378257
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Au': 3, 'V': 6}","{'Au': 3, 'V': 2}",0.0,-1.8970838823133689,-1.346359,-0.7112020074164368
25,mp-10032_5d83020e30582ea2977a71e1,{'Au': 2},"{'V': 3, 'Au': 6}","{'V': 3, 'Au': 2}",0.0,-0.2504490415490539,0.973088,0.16384638391448708
26,mp-10032_5d83020e30582ea2977a71e2,{'Au': 1},{'V': 4},{'V': 1},0.0,-0.4307330859582741,0.6073278,0.07222484099948857
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Au': 4},{'Au': 1},0.0,-1.4025056976598835,-0.8474335,0.09098632199744217
