,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Au': 1},{'W': 4},{'W': 2},0.0,-0.48237503394865805,1.1125488,0.48183574804508933
1,mp-10015_5d83020d30582ea2977a44b2,{'W': 1},{'Au': 4},{'Au': 2},0.0,-1.657698761086538,-1.0181016,-0.3120405519699693
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Au': 1},{'W': 4},{'W': 2},0.0,-0.48237503394865805,1.1125488,0.48183574804508933
3,mp-10015_5d83cd3b4eaf9091a4057182,{'W': 1},{'Au': 4},{'Au': 2},0.0,-1.657698761086538,-1.0181016,-0.3120405519699693
4,mp-1001836_5d83020f30582ea2977ab568,{'Au': 1},{'W': 4},"{'Au': 2, 'W': 2}",0.0,-0.505222284758764,1.3916605,0.4211050977956028
5,mp-1001836_5d83020f30582ea2977ab568,{'W': 1},{'Au': 4},"{'W': 2, 'Au': 2}",0.0,-1.750412731272245,-0.72526336,-0.3542771565412728
6,mp-1002114_5d83020f30582ea2977ab8e9,{'W': 3},{'W': 9},{'Au': 7},0.0,-1.4962919990652463,-0.9210706,-0.616249601163132
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Au': 3},{'Au': 9},{'W': 7},0.0,0.003865046328674652,1.4001158,0.10460574640961826
8,mp-10032_5d83020e30582ea2977a710a,{'W': 3},"{'Au': 3, 'W': 8}","{'Au': 2, 'W': 2}",0.0,-1.336327822796222,-0.7021193,-0.3706895819090956
9,mp-10032_5d83020e30582ea2977a710a,{'Au': 3},"{'W': 3, 'Au': 8}","{'W': 2, 'Au': 2}",0.0,0.09525553831504609,1.0662968,0.1783111657643847
10,mp-10032_5d83020e30582ea2977a71d5,{'W': 2},"{'Au': 3, 'W': 2}","{'Au': 2, 'W': 5}",0.0,-1.4586969806229422,-1.3596579,-0.5393830956650134
11,mp-10032_5d83020e30582ea2977a71d5,{'Au': 2},"{'W': 3, 'Au': 2}","{'W': 2, 'Au': 5}",0.0,-0.44059939731902387,0.87330604,0.21734776240410428
12,mp-10032_5d83020e30582ea2977a71d6,{'W': 1},"{'Au': 2, 'W': 2}","{'Au': 1, 'W': 2}",0.0,-1.5819927386394856,-0.94130194,-0.30494162175795503
13,mp-10032_5d83020e30582ea2977a71d6,{'Au': 1},"{'W': 2, 'Au': 2}","{'W': 1, 'Au': 2}",0.0,-0.4909933373135187,1.1171798,0.3077761558920186
14,mp-10032_5d83020e30582ea2977a71d8,{'Au': 1},{'W': 4},{'W': 1},0.0,-0.5051187607396088,0.98797464,0.4645811859149986
15,mp-10032_5d83020e30582ea2977a71d8,{'W': 1},{'Au': 4},{'Au': 1},0.0,-1.8184881009638212,-1.0483981,-0.3141410286098196
16,mp-10032_5d83020e30582ea2977a71da,{'W': 1},"{'Au': 2, 'W': 4}","{'Au': 1, 'W': 2}",0.0,-1.5802446512369626,-0.7161591,-0.270540898773881
17,mp-10032_5d83020e30582ea2977a71da,{'Au': 1},"{'W': 2, 'Au': 4}","{'W': 1, 'Au': 2}",0.0,-0.19300321903298892,1.4918951,0.2906040538261824
18,mp-10032_5d83020e30582ea2977a71db,{'Au': 1},{'W': 4},{'W': 1},0.0,-0.5051187607396088,0.98797464,0.4645811859149986
19,mp-10032_5d83020e30582ea2977a71db,{'W': 1},{'Au': 4},{'Au': 1},0.0,-1.8184881009638212,-1.0483981,-0.3141410286098196
20,mp-10032_5d83020e30582ea2977a71dc,{'W': 3},"{'Au': 3, 'W': 6}","{'Au': 4, 'W': 5}",0.0,-1.2329986891765738,-0.8741913,-0.43566831270092654
21,mp-10032_5d83020e30582ea2977a71dc,{'Au': 3},"{'W': 3, 'Au': 6}","{'W': 4, 'Au': 5}",0.0,-0.09127300984243907,1.135676,0.2228378100559115
