,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Co': 1},{'Pb': 4},{'Pb': 2},0.0,-1.2962199150578317,0.37907383,0.07331605115563333
1,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Co': 4},{'Co': 2},0.0,-0.04079811211033057,0.7274546,0.8480287159196512
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Co': 1},{'Pb': 4},{'Pb': 2},0.0,-1.2962199150578317,0.37907383,0.07331605115563333
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Co': 4},{'Co': 2},0.0,-0.04079811211033057,0.7274546,0.8480287159196512
4,mp-1001836_5d83020f30582ea2977ab568,{'Co': 1},{'Pb': 4},"{'Co': 2, 'Pb': 2}",0.0,-1.447592533877098,0.15065019,0.04756286550060522
5,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Co': 4},"{'Pb': 2, 'Co': 2}",0.0,-0.040316030334534826,0.60800254,1.0766277115139322
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Co': 7},0.0,-0.0368140296548215,0.5526502,0.7051077322798794
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Co': 3},{'Co': 9},{'Pb': 7},0.0,-1.742235703073737,0.276838,-0.34904869111946274
8,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Co': 3, 'Pb': 8}","{'Co': 2, 'Pb': 2}",0.0,0.03264126514720409,0.49048564,0.8290165632171171
9,mp-10032_5d83020e30582ea2977a710a,{'Co': 3},"{'Pb': 3, 'Co': 8}","{'Pb': 2, 'Co': 2}",0.0,-1.9880377878008961,0.25362706,-0.3160771119695632
10,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Co': 3, 'Pb': 2}","{'Co': 2, 'Pb': 5}",0.0,0.003638717779052133,0.53062725,0.7284766814557516
11,mp-10032_5d83020e30582ea2977a71d5,{'Co': 2},"{'Pb': 3, 'Co': 2}","{'Pb': 2, 'Co': 5}",0.0,-1.7425785725917882,-0.16878988,-0.3594205727764379
12,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Co': 2, 'Pb': 2}","{'Co': 1, 'Pb': 2}",0.0,0.01779237765867831,0.5435639,0.7876601452132989
13,mp-10032_5d83020e30582ea2977a71d6,{'Co': 1},"{'Pb': 2, 'Co': 2}","{'Pb': 1, 'Co': 2}",0.0,-1.8101159945376393,0.09212352,-0.020859891839541424
14,mp-10032_5d83020e30582ea2977a71d8,{'Co': 1},{'Pb': 4},{'Pb': 1},0.0,-1.4721994989870095,0.41680372,0.06177471559026886
15,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Co': 4},{'Co': 1},0.0,-0.08102489021779133,0.8533353,0.8279356037508747
16,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Co': 2, 'Pb': 4}","{'Co': 1, 'Pb': 2}",0.0,0.06452434750132713,0.56084627,0.8372447780925402
17,mp-10032_5d83020e30582ea2977a71da,{'Co': 1},"{'Pb': 2, 'Co': 4}","{'Pb': 1, 'Co': 2}",0.0,-1.5849611080064745,0.38422787,0.03647124117073283
18,mp-10032_5d83020e30582ea2977a71db,{'Co': 1},{'Pb': 4},{'Pb': 1},0.0,-1.4721994989870095,0.41680372,0.06177471559026886
19,mp-10032_5d83020e30582ea2977a71db,{'Pb': 1},{'Co': 4},{'Co': 1},0.0,-0.08102489021779133,0.8533353,0.8279356037508747
20,mp-10032_5d83020e30582ea2977a71dc,{'Pb': 3},"{'Co': 3, 'Pb': 6}","{'Co': 4, 'Pb': 5}",0.0,0.05671860326130971,0.5478689,0.8821755521246908
21,mp-10032_5d83020e30582ea2977a71dc,{'Co': 3},"{'Pb': 3, 'Co': 6}","{'Pb': 4, 'Co': 5}",0.0,-1.7841591961532874,0.08126891,-0.4386963605755204
22,mp-10032_5d83020e30582ea2977a71e0,{'Pb': 1},"{'Co': 2, 'Pb': 3}","{'Co': 1, 'Pb': 2}",0.0,0.038683833389773964,0.52655536,0.7878281198725792
23,mp-10032_5d83020e30582ea2977a71e0,{'Co': 1},"{'Pb': 2, 'Co': 3}","{'Pb': 1, 'Co': 2}",0.0,-1.7454491256618645,0.19400123,-0.04059773568184862
24,mp-10032_5d83020e30582ea2977a71e1,{'Pb': 2},"{'Co': 3, 'Pb': 6}","{'Co': 3, 'Pb': 2}",0.0,0.0171017889055105,0.57351035,0.832431790727599
25,mp-10032_5d83020e30582ea2977a71e1,{'Co': 2},"{'Pb': 3, 'Co': 6}","{'Pb': 3, 'Co': 2}",0.0,-1.862187830991391,0.1305134,-0.1590222633229759
26,mp-10032_5d83020e30582ea2977a71e2,{'Co': 1},{'Pb': 4},{'Pb': 1},0.0,-1.4721994989870095,0.41680372,0.06177471559026886
27,mp-10032_5d83020e30582ea2977a71e2,{'Pb': 1},{'Co': 4},{'Co': 1},0.0,-0.08102489021779133,0.8533353,0.8279356037508747
28,mp-10032_5d83020e30582ea2977a748b,{'Pb': 1},{'Pb': 3},{'Co': 2},0.0,-0.04683662831607224,0.5592494,0.44301620301200983
29,mp-10032_5d83020e30582ea2977a748b,{'Co': 1},{'Co': 3},{'Pb': 2},0.0,-1.8021518222294746,-0.2060053,-0.1410190948037087
30,mp-10032_5d83020e30582ea2977a7490,"{'Co': 1, 'Pb': 2}","{'Co': 1, 'Pb': 6}","{'Co': 4, 'Pb': 3}",0.0,0.05773668633585436,0.51509786,0.40884835672333036
31,mp-10032_5d83020e30582ea2977a7490,"{'Pb': 1, 'Co': 2}","{'Pb': 1, 'Co': 6}","{'Pb': 4, 'Co': 3}",0.0,-0.4329064154339387,0.47906306,0.1995704339770913
32,mp-10032_5d83020e30582ea2977a7491,"{'Co': 1, 'Pb': 2}","{'Co': 1, 'Pb': 6}","{'Co': 5, 'Pb': 3}",0.0,0.0239908838530181,0.55668265,0.40181736785989186
33,mp-10032_5d83020e30582ea2977a7491,"{'Pb': 1, 'Co': 2}","{'Pb': 1, 'Co': 6}","{'Pb': 5, 'Co': 3}",0.0,-0.425997703340458,0.43902,0.21761598951463715
34,mp-10032_5d83020e30582ea2977a7492,"{'Co': 1, 'Pb': 4}","{'Co': 3, 'Pb': 8}","{'Co': 2, 'Pb': 5}",0.0,0.1430026432792824,0.57259077,0.7832609652804071
35,mp-10032_5d83020e30582ea2977a7492,"{'Pb': 1, 'Co': 4}","{'Pb': 3, 'Co': 8}","{'Pb': 2, 'Co': 5}",0.0,-0.6837975501016774,0.6518268,-0.11889626794922072
36,mp-10032_5d83020e30582ea2977a7494,{'Pb': 1},"{'Co': 2, 'Pb': 2}",{'Pb': 3},0.0,-0.01256329712764481,0.48650792,0.8208773702004869
37,mp-10032_5d83020e30582ea2977a7494,{'Co': 1},"{'Pb': 2, 'Co': 2}",{'Co': 3},0.0,-1.7491710166242,0.0038700749,-0.06575930221324744
38,mp-10032_5d83020e30582ea2977a7499,{'Pb': 2},"{'Co': 2, 'Pb': 2}",{'Co': 4},0.0,-0.0002761886414856266,0.5347942,0.599534008148636
39,mp-10032_5d83020e30582ea2977a7499,{'Co': 2},"{'Pb': 2, 'Co': 2}",{'Pb': 4},0.0,-1.974620022218806,-0.11636251,-0.33071534772426925
40,mp-10032_5d83020e30582ea2977a749b,"{'Co': 1, 'Pb': 3}","{'Co': 2, 'Pb': 7}","{'Co': 3, 'Pb': 4}",0.0,0.07527792754568466,0.5374638,0.7382069274351115
41,mp-10032_5d83020e30582ea2977a749b,"{'Pb': 1, 'Co': 3}","{'Pb': 2, 'Co': 7}","{'Pb': 3, 'Co': 4}",0.0,-0.4700610004092764,0.53885597,0.027743827551440222
42,mp-10032_5d83020e30582ea2977a749c,"{'Co': 1, 'Pb': 2}","{'Co': 1, 'Pb': 6}","{'Co': 5, 'Pb': 3}",0.0,0.0239908838530181,0.55668265,0.40181736785989186
43,mp-10032_5d83020e30582ea2977a749c,"{'Pb': 1, 'Co': 2}","{'Pb': 1, 'Co': 6}","{'Pb': 5, 'Co': 3}",0.0,-0.425997703340458,0.43902,0.21761598951463715
44,mp-10032_5d83020e30582ea2977a749d,"{'Co': 1, 'Pb': 2}","{'Co': 1, 'Pb': 6}","{'Co': 4, 'Pb': 3}",0.0,0.05773668633585436,0.51509786,0.40884835672333036
45,mp-10032_5d83020e30582ea2977a749d,"{'Pb': 1, 'Co': 2}","{'Pb': 1, 'Co': 6}","{'Pb': 4, 'Co': 3}",0.0,-0.4329064154339387,0.47906306,0.1995704339770913
46,mp-10032_5d83020e30582ea2977a749f,{'Pb': 2},"{'Co': 3, 'Pb': 2}",{'Pb': 2},0.0,-0.05179628725163308,0.42606503,0.6111232202778781
47,mp-10032_5d83020e30582ea2977a749f,{'Co': 2},"{'Pb': 3, 'Co': 2}",{'Co': 2},0.0,-1.761518714284516,-0.10918615,-0.45232418120546863
48,mp-10032_5d83020e30582ea2977a74a0,{'Pb': 2},"{'Co': 3, 'Pb': 2}",{'Pb': 2},0.0,-0.05179628725163308,0.42606503,0.6111232202778781
49,mp-10032_5d83020e30582ea2977a74a0,{'Co': 2},"{'Pb': 3, 'Co': 2}",{'Co': 2},0.0,-1.761518714284516,-0.10918615,-0.45232418120546863
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Pb': 2},"{'Co': 1, 'Pb': 7}","{'Co': 2, 'Pb': 3}",0.0,-0.03361311572620622,0.45928434,0.6898514486311044
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Co': 2},"{'Pb': 1, 'Co': 7}","{'Pb': 2, 'Co': 3}",0.0,-1.871517955143012,0.13586666,-0.3745468767386489
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Pb': 2},{'Pb': 7},"{'Co': 3, 'Pb': 3}",0.0,0.0239940401618384,0.3667322,0.7727716748899832
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Co': 2},{'Co': 7},"{'Pb': 3, 'Co': 3}",0.0,-1.8937497533046395,-0.32473707,-0.2756943244542875
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Pb': 3},{'Pb': 9},"{'Co': 2, 'Pb': 2}",0.0,-0.01928539736364229,0.3985494,0.7660602660305923
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Co': 3},{'Co': 9},"{'Pb': 2, 'Co': 2}",0.0,-1.930816712856288,0.1861702,-0.307774300284041
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'Pb': 3},{'Pb': 9},"{'Co': 3, 'Pb': 1}",0.0,-0.018262300705610968,0.43961257,0.7020660864181749
57,mp-10032_5d83cd3b4eaf9091a4056b15,{'Co': 3},{'Co': 9},"{'Pb': 3, 'Co': 1}",0.0,-1.933246582590478,0.16769607,-0.3317595540166876
58,mp-10032_5d83cd3b4eaf9091a4056b16,{'Pb': 1},{'Pb': 5},"{'Co': 2, 'Pb': 2}",0.0,0.054034546816203094,0.62571293,0.7707136813068738
