,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Co': 1},{'Pd': 4},{'Pd': 2},0.0,-1.7172946678409524,0.3017893,-0.27021289622437833
1,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Co': 4},{'Co': 2},0.0,-1.2623755394429899,0.67972785,0.02300117409534343
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Co': 1},{'Pd': 4},{'Pd': 2},0.0,-1.7172946678409524,0.3017893,-0.27021289622437833
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Co': 4},{'Co': 2},0.0,-1.2623755394429899,0.67972785,0.02300117409534343
4,mp-1001836_5d83020f30582ea2977ab568,{'Co': 1},{'Pd': 4},"{'Co': 2, 'Pd': 2}",0.0,-1.5648901090612788,0.25864288,-0.052755069418938406
5,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Co': 4},"{'Pd': 2, 'Co': 2}",0.0,-1.2511384827194376,0.77811575,0.06532214428739776
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Co': 7},0.0,-1.2972722782530237,0.9164358,-0.34873803162674666
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Co': 3},{'Co': 9},{'Pd': 7},0.0,-1.8338535232098474,0.6296785,-0.41723274528693566
8,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'Co': 3, 'Pd': 8}","{'Co': 2, 'Pd': 2}",0.0,-1.135803826461799,0.8473203,-0.2084115072437486
9,mp-10032_5d83020e30582ea2977a710a,{'Co': 3},"{'Pd': 3, 'Co': 8}","{'Pd': 2, 'Co': 2}",0.0,-1.7754357188262342,0.55585474,-0.350600110975145
10,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'Co': 3, 'Pd': 2}","{'Co': 2, 'Pd': 5}",0.0,-1.1633166528134913,0.41602656,-0.2549789750329291
11,mp-10032_5d83020e30582ea2977a71d5,{'Co': 2},"{'Pd': 3, 'Co': 2}","{'Pd': 2, 'Co': 5}",0.0,-1.7592976805089,-0.41390532,-0.48230302290453475
12,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},"{'Co': 2, 'Pd': 2}","{'Co': 1, 'Pd': 2}",0.0,-1.1049287555666396,0.66719574,0.05019778221508933
13,mp-10032_5d83020e30582ea2977a71d6,{'Co': 1},"{'Pd': 2, 'Co': 2}","{'Pd': 1, 'Co': 2}",0.0,-1.7857124249969902,0.17415342,-0.1250818318037463
14,mp-10032_5d83020e30582ea2977a71d8,{'Co': 1},{'Pd': 4},{'Pd': 1},0.0,-1.8104746176003017,0.32790065,-0.2346709545932399
15,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Co': 4},{'Co': 1},0.0,-1.3386824605373724,0.7460229,0.05503796738347113
16,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},"{'Co': 2, 'Pd': 4}","{'Co': 1, 'Pd': 2}",0.0,-0.957030208312632,0.9466685,0.07872728239982373
17,mp-10032_5d83020e30582ea2977a71da,{'Co': 1},"{'Pd': 2, 'Co': 4}","{'Pd': 1, 'Co': 2}",0.0,-1.7515505797219002,0.5347635,-0.13450542255435566
18,mp-10032_5d83020e30582ea2977a71db,{'Co': 1},{'Pd': 4},{'Pd': 1},0.0,-1.8104746176003017,0.32790065,-0.2346709545932399
19,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'Co': 4},{'Co': 1},0.0,-1.3386824605373724,0.7460229,0.05503796738347113
20,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},"{'Co': 3, 'Pd': 6}","{'Co': 4, 'Pd': 5}",0.0,-1.0566160039791281,0.8662756,-0.2323303254881178
21,mp-10032_5d83020e30582ea2977a71dc,{'Co': 3},"{'Pd': 3, 'Co': 6}","{'Pd': 4, 'Co': 5}",0.0,-1.7034846572654259,0.20211536,-0.4414914576726073
22,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},"{'Co': 2, 'Pd': 3}","{'Co': 1, 'Pd': 2}",0.0,-0.9849269912271599,0.66394866,0.029191453210909258
23,mp-10032_5d83020e30582ea2977a71e0,{'Co': 1},"{'Pd': 2, 'Co': 3}","{'Pd': 1, 'Co': 2}",0.0,-1.7621970251388075,0.247964,-0.16864632359524256
24,mp-10032_5d83020e30582ea2977a71e1,{'Pd': 2},"{'Co': 3, 'Pd': 6}","{'Co': 3, 'Pd': 2}",0.0,-1.1150749738036014,0.87937206,-0.1471695128329663
25,mp-10032_5d83020e30582ea2977a71e1,{'Co': 2},"{'Pd': 3, 'Co': 6}","{'Pd': 3, 'Co': 2}",0.0,-1.753678864439307,0.23548092,-0.3689528799891182
26,mp-10032_5d83020e30582ea2977a71e2,{'Co': 1},{'Pd': 4},{'Pd': 1},0.0,-1.8104746176003017,0.32790065,-0.2346709545932399
27,mp-10032_5d83020e30582ea2977a71e2,{'Pd': 1},{'Co': 4},{'Co': 1},0.0,-1.3386824605373724,0.7460229,0.05503796738347113
28,mp-10032_5d83020e30582ea2977a748b,{'Pd': 1},{'Pd': 3},{'Co': 2},0.0,-1.1084114966720227,0.6132046,-0.0378464849367041
29,mp-10032_5d83020e30582ea2977a748b,{'Co': 1},{'Co': 3},{'Pd': 2},0.0,-1.802877438537026,0.017747402,-0.24748023168313707
30,mp-10032_5d83020e30582ea2977a7490,"{'Co': 1, 'Pd': 2}","{'Co': 1, 'Pd': 6}","{'Co': 4, 'Pd': 3}",0.0,-1.3680726190504091,0.38312367,-0.3212232620598164
31,mp-10032_5d83020e30582ea2977a7490,"{'Pd': 1, 'Co': 2}","{'Pd': 1, 'Co': 6}","{'Pd': 4, 'Co': 3}",0.0,-1.5731441816983025,-0.086497,-0.36271171458353685
32,mp-10032_5d83020e30582ea2977a7491,"{'Co': 1, 'Pd': 2}","{'Co': 1, 'Pd': 6}","{'Co': 5, 'Pd': 3}",0.0,-1.3247016396637807,0.38485575,-0.3157385873074801
33,mp-10032_5d83020e30582ea2977a7491,"{'Pd': 1, 'Co': 2}","{'Pd': 1, 'Co': 6}","{'Pd': 5, 'Co': 3}",0.0,-1.5508536838237248,-0.07710605,-0.3609279171847286
34,mp-10032_5d83020e30582ea2977a7492,"{'Co': 1, 'Pd': 4}","{'Co': 3, 'Pd': 8}","{'Co': 2, 'Pd': 5}",0.0,-1.0067855676819097,0.6470624,-0.3082141095293389
35,mp-10032_5d83020e30582ea2977a7492,"{'Pd': 1, 'Co': 4}","{'Pd': 3, 'Co': 8}","{'Pd': 2, 'Co': 5}",0.0,-1.5295546601357422,0.14191861,-0.2762089908634317
36,mp-10032_5d83020e30582ea2977a7494,{'Pd': 1},"{'Co': 2, 'Pd': 2}",{'Pd': 3},0.0,-1.1661831724264586,0.7363447,-0.00367768883165568
37,mp-10032_5d83020e30582ea2977a7494,{'Co': 1},"{'Pd': 2, 'Co': 2}",{'Co': 3},0.0,-1.8011757067353433,0.14099438,-0.13262172705182274
38,mp-10032_5d83020e30582ea2977a7499,{'Pd': 2},"{'Co': 2, 'Pd': 2}",{'Co': 4},0.0,-1.2124930745308924,0.42252597,-0.23859855621183804
39,mp-10032_5d83020e30582ea2977a7499,{'Co': 2},"{'Pd': 2, 'Co': 2}",{'Pd': 4},0.0,-1.7794526219784008,-0.3492113,-0.4693009711119526
40,mp-10032_5d83020e30582ea2977a749b,"{'Co': 1, 'Pd': 3}","{'Co': 2, 'Pd': 7}","{'Co': 3, 'Pd': 4}",0.0,-1.4171253757600595,0.4190587,-0.3295498876667952
41,mp-10032_5d83020e30582ea2977a749b,"{'Pd': 1, 'Co': 3}","{'Pd': 2, 'Co': 7}","{'Pd': 3, 'Co': 4}",0.0,-1.7251781962204602,0.044182215,-0.3027402004419555
42,mp-10032_5d83020e30582ea2977a749c,"{'Co': 1, 'Pd': 2}","{'Co': 1, 'Pd': 6}","{'Co': 5, 'Pd': 3}",0.0,-1.3247016396637807,0.38485575,-0.3157385873074801
43,mp-10032_5d83020e30582ea2977a749c,"{'Pd': 1, 'Co': 2}","{'Pd': 1, 'Co': 6}","{'Pd': 5, 'Co': 3}",0.0,-1.5508536838237248,-0.07710605,-0.3609279171847286
44,mp-10032_5d83020e30582ea2977a749d,"{'Co': 1, 'Pd': 2}","{'Co': 1, 'Pd': 6}","{'Co': 4, 'Pd': 3}",0.0,-1.3680726190504091,0.38312367,-0.3212232620598164
45,mp-10032_5d83020e30582ea2977a749d,"{'Pd': 1, 'Co': 2}","{'Pd': 1, 'Co': 6}","{'Pd': 4, 'Co': 3}",0.0,-1.5731441816983025,-0.086497,-0.36271171458353685
46,mp-10032_5d83020e30582ea2977a749f,{'Pd': 2},"{'Co': 3, 'Pd': 2}",{'Pd': 2},0.0,-1.3895021529744978,0.4977319,-0.2640637345723271
47,mp-10032_5d83020e30582ea2977a749f,{'Co': 2},"{'Pd': 3, 'Co': 2}",{'Co': 2},0.0,-1.8711633436419335,-0.29177707,-0.48681414870586504
48,mp-10032_5d83020e30582ea2977a74a0,{'Pd': 2},"{'Co': 3, 'Pd': 2}",{'Pd': 2},0.0,-1.3895021529744978,0.4977319,-0.2640637345723271
49,mp-10032_5d83020e30582ea2977a74a0,{'Co': 2},"{'Pd': 3, 'Co': 2}",{'Co': 2},0.0,-1.8711633436419335,-0.29177707,-0.48681414870586504
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Pd': 2},"{'Co': 1, 'Pd': 7}","{'Co': 2, 'Pd': 3}",0.0,-1.1641659466419607,0.82594484,-0.2192489927952743
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Co': 2},"{'Pd': 1, 'Co': 7}","{'Pd': 2, 'Co': 3}",0.0,-1.8579579587615749,0.20243768,-0.3814257343199493
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Pd': 2},{'Pd': 7},"{'Co': 3, 'Pd': 3}",0.0,-1.2570914428770774,0.5870128,-0.2540948482557173
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Co': 2},{'Co': 7},"{'Pd': 3, 'Co': 3}",0.0,-1.8634596961429604,-0.41765615,-0.46150699613350576
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Pd': 3},{'Pd': 9},"{'Co': 2, 'Pd': 2}",0.0,-1.3475461172845753,0.7440651,-0.3487492223401037
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Co': 3},{'Co': 9},"{'Pd': 2, 'Co': 2}",0.0,-1.9238595523819997,0.35013554,-0.44980983413148806
