,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Co': 1},{'V': 4},{'V': 2},0.0,-1.590297055079622,0.1590705,-0.4453706386069438
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Co': 4},{'Co': 2},0.0,-1.6525577882371034,-1.2504826,0.019713264236693284
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Co': 1},{'V': 4},{'V': 2},0.0,-1.590297055079622,0.1590705,-0.4453706386069438
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Co': 4},{'Co': 2},0.0,-1.6525577882371034,-1.2504826,0.019713264236693284
4,mp-1001836_5d83020f30582ea2977ab568,{'Co': 1},{'V': 4},"{'Co': 2, 'V': 2}",0.0,-1.7163371595402677,-0.055134166,-0.421242882727439
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Co': 4},"{'V': 2, 'Co': 2}",0.0,-1.457033932742888,-1.0520077,-0.12343110763574575
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Co': 7},0.0,-2.6467262900618636,-1.5579941,-0.7508584642355496
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Co': 3},{'Co': 9},{'V': 7},0.0,-1.8609016400380007,0.52104443,-0.36788812099791013
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Co': 3, 'V': 8}","{'Co': 2, 'V': 2}",0.0,-1.9651294465816147,-0.6916477,-0.689539686962817
9,mp-10032_5d83020e30582ea2977a710a,{'Co': 3},"{'V': 3, 'Co': 8}","{'V': 2, 'Co': 2}",0.0,-1.7727126099095207,0.55976105,-0.4579060298476344
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Co': 3, 'V': 2}","{'Co': 2, 'V': 5}",0.0,-1.7863436143080915,-1.662872,-0.6114049181802218
11,mp-10032_5d83020e30582ea2977a71d5,{'Co': 2},"{'V': 3, 'Co': 2}","{'V': 2, 'Co': 5}",0.0,-1.8931390059738837,-0.7074828,-0.6169031616927495
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Co': 2, 'V': 2}","{'Co': 1, 'V': 2}",0.0,-1.2127911529682547,-1.3551745,-0.09486527729395551
13,mp-10032_5d83020e30582ea2977a71d6,{'Co': 1},"{'V': 2, 'Co': 2}","{'V': 1, 'Co': 2}",0.0,-1.8778326685426157,-0.102445625,-0.3852333327256019
14,mp-10032_5d83020e30582ea2977a71d8,{'Co': 1},{'V': 4},{'V': 1},0.0,-1.6623402397512155,0.12562183,-0.3836385447980703
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Co': 4},{'Co': 1},0.0,-1.7119788796987894,-1.1020846,0.07848504359920551
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Co': 2, 'V': 4}","{'Co': 1, 'V': 2}",0.0,-1.1906458574390177,-1.2332792,0.06131104755211381
17,mp-10032_5d83020e30582ea2977a71da,{'Co': 1},"{'V': 2, 'Co': 4}","{'V': 1, 'Co': 2}",0.0,-1.8663609385799922,0.21768475,-0.22040882340142245
18,mp-10032_5d83020e30582ea2977a71db,{'Co': 1},{'V': 4},{'V': 1},0.0,-1.6623402397512155,0.12562183,-0.3836385447980703
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Co': 4},{'Co': 1},0.0,-1.7119788796987894,-1.1020846,0.07848504359920551
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Co': 3, 'V': 6}","{'Co': 4, 'V': 5}",0.0,-1.8384896724196993,-1.3816646,-0.6222228453922349
21,mp-10032_5d83020e30582ea2977a71dc,{'Co': 3},"{'V': 3, 'Co': 6}","{'V': 4, 'Co': 5}",0.0,-1.8173242200159307,0.33377817,-0.5793721147896495
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Co': 2, 'V': 3}","{'Co': 1, 'V': 2}",0.0,-1.0531679417021005,-1.2626803,-0.0805531261345855
23,mp-10032_5d83020e30582ea2977a71e0,{'Co': 1},"{'V': 2, 'Co': 3}","{'V': 1, 'Co': 2}",0.0,-1.872062567603424,0.06736605,-0.3283377128122939
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Co': 3, 'V': 6}","{'Co': 3, 'V': 2}",0.0,-1.9133624812757601,-1.4248847,-0.5447330851124456
25,mp-10032_5d83020e30582ea2977a71e1,{'Co': 2},"{'V': 3, 'Co': 6}","{'V': 3, 'Co': 2}",0.0,-1.6721201713013223,0.10333245,-0.479993141978481
26,mp-10032_5d83020e30582ea2977a71e2,{'Co': 1},{'V': 4},{'V': 1},0.0,-1.6623402397512155,0.12562183,-0.3836385447980703
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Co': 4},{'Co': 1},0.0,-1.7119788796987894,-1.1020846,0.07848504359920551
28,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'Co': 2},0.0,-1.9061456355528361,-1.7718617,-0.20471778377452038
