,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Co': 1},{'W': 4},{'W': 2},0.0,-1.5096379359668177,0.24639787,-0.0753793027545232
1,mp-10015_5d83020d30582ea2977a44b2,{'W': 1},{'Co': 4},{'Co': 2},0.0,-1.7113688448027036,-1.2644925,-0.37885639437625473
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Co': 1},{'W': 4},{'W': 2},0.0,-1.5096379359668177,0.24639787,-0.0753793027545232
3,mp-10015_5d83cd3b4eaf9091a4057182,{'W': 1},{'Co': 4},{'Co': 2},0.0,-1.7113688448027036,-1.2644925,-0.37885639437625473
4,mp-1001836_5d83020f30582ea2977ab568,{'Co': 1},{'W': 4},"{'Co': 2, 'W': 2}",0.0,-1.766133833685947,0.18821815,-0.008241699789636105
5,mp-1001836_5d83020f30582ea2977ab568,{'W': 1},{'Co': 4},"{'W': 2, 'Co': 2}",0.0,-1.7604655535481901,-0.7617931,-0.41179772016554084
6,mp-1002114_5d83020f30582ea2977ab8e9,{'W': 3},{'W': 9},{'Co': 7},0.0,-1.3805776796250742,-1.0705823,-0.767057524919151
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Co': 3},{'Co': 9},{'W': 7},0.0,-1.675876886840366,0.5147768,-0.43319071748097254
8,mp-10032_5d83020e30582ea2977a710a,{'W': 3},"{'Co': 3, 'W': 8}","{'Co': 2, 'W': 2}",0.0,-1.3107781985379385,-0.61700815,-0.46864146241924437
9,mp-10032_5d83020e30582ea2977a710a,{'Co': 3},"{'W': 3, 'Co': 8}","{'W': 2, 'Co': 2}",0.0,-1.532719200108001,0.5239343,-0.4603198042520084
10,mp-10032_5d83020e30582ea2977a71d5,{'W': 2},"{'Co': 3, 'W': 2}","{'Co': 2, 'W': 5}",0.0,-1.5951508258427078,-1.0257779,-0.723302475346811
11,mp-10032_5d83020e30582ea2977a71d5,{'Co': 2},"{'W': 3, 'Co': 2}","{'W': 2, 'Co': 5}",0.0,-1.7762642734080045,-0.6854939,-0.4356174609397347
12,mp-10032_5d83020e30582ea2977a71d6,{'W': 1},"{'Co': 2, 'W': 2}","{'Co': 1, 'W': 2}",0.0,-1.7621785020343608,-0.80492526,-0.30053414561386876
13,mp-10032_5d83020e30582ea2977a71d6,{'Co': 1},"{'W': 2, 'Co': 2}","{'W': 1, 'Co': 2}",0.0,-1.83016056144304,-0.14528166,-0.21884734437903622
14,mp-10032_5d83020e30582ea2977a71d8,{'Co': 1},{'W': 4},{'W': 1},0.0,-1.5624405022076235,0.20886001,-0.01734814489337904
15,mp-10032_5d83020e30582ea2977a71d8,{'W': 1},{'Co': 4},{'Co': 1},0.0,-1.8253902012668168,-1.2614785,-0.3993440582538182
16,mp-10032_5d83020e30582ea2977a71da,{'W': 1},"{'Co': 2, 'W': 4}","{'Co': 1, 'W': 2}",0.0,-1.6613577212360515,-0.6269711,-0.235759714484819
17,mp-10032_5d83020e30582ea2977a71da,{'Co': 1},"{'W': 2, 'Co': 4}","{'W': 1, 'Co': 2}",0.0,-1.607020482838814,0.04279946,-0.25178711816249444
18,mp-10032_5d83020e30582ea2977a71db,{'Co': 1},{'W': 4},{'W': 1},0.0,-1.5624405022076235,0.20886001,-0.01734814489337904
19,mp-10032_5d83020e30582ea2977a71db,{'W': 1},{'Co': 4},{'Co': 1},0.0,-1.8253902012668168,-1.2614785,-0.3993440582538182
20,mp-10032_5d83020e30582ea2977a71dc,{'W': 3},"{'Co': 3, 'W': 6}","{'Co': 4, 'W': 5}",0.0,-1.3392557929757134,-0.7349494,-0.5132248867096589
21,mp-10032_5d83020e30582ea2977a71dc,{'Co': 3},"{'W': 3, 'Co': 6}","{'W': 4, 'Co': 5}",0.0,-1.4968776341947978,0.17064187,-0.5266288283271331
22,mp-10032_5d83020e30582ea2977a71e0,{'W': 1},"{'Co': 2, 'W': 3}","{'Co': 1, 'W': 2}",0.0,-1.697742346757485,-0.8704404,-0.2317369329936896
