,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cr': 1},{'Fe': 4},{'Fe': 2},0.0,-1.7127600169041692,-0.9908485,0.17015842976829615
1,mp-10015_5d83020d30582ea2977a44b2,{'Fe': 1},{'Cr': 4},{'Cr': 2},0.0,-1.7564575255879347,-1.2394087,-0.02720093986417134
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cr': 1},{'Fe': 4},{'Fe': 2},0.0,-1.7127600169041692,-0.9908485,0.17015842976829615
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Fe': 1},{'Cr': 4},{'Cr': 2},0.0,-1.7564575255879347,-1.2394087,-0.02720093986417134
4,mp-1001836_5d83020f30582ea2977ab568,{'Cr': 1},{'Fe': 4},"{'Cr': 2, 'Fe': 2}",0.0,-1.7077129915911569,-0.76827955,0.0476125285827459
5,mp-1001836_5d83020f30582ea2977ab568,{'Fe': 1},{'Cr': 4},"{'Fe': 2, 'Cr': 2}",0.0,-1.8514651840776009,-1.2877157,-0.05731319301333838
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Fe': 3},{'Fe': 9},{'Cr': 7},0.0,-1.8942157293096928,-0.63815635,-0.8110874281234993
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cr': 3},{'Cr': 9},{'Fe': 7},0.0,-1.8179924723909222,-1.3791789,-0.6793703413178862
8,mp-10032_5d83020e30582ea2977a710a,{'Fe': 3},"{'Cr': 3, 'Fe': 8}","{'Cr': 2, 'Fe': 2}",0.0,-1.8665109047421373,-0.21352711,-0.5580148279140998
9,mp-10032_5d83020e30582ea2977a710a,{'Cr': 3},"{'Fe': 3, 'Cr': 8}","{'Fe': 2, 'Cr': 2}",0.0,-1.7660520943428033,-0.6964977,-0.5716376517409925
10,mp-10032_5d83020e30582ea2977a71d5,{'Fe': 2},"{'Cr': 3, 'Fe': 2}","{'Cr': 2, 'Fe': 5}",0.0,-1.8293934131497862,-0.936132,-0.6718657644989766
11,mp-10032_5d83020e30582ea2977a71d5,{'Cr': 2},"{'Fe': 3, 'Cr': 2}","{'Fe': 2, 'Cr': 5}",0.0,-1.7635857898513347,-1.3267369,-0.6710344547829731
