,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cr': 1},{'Pd': 4},{'Pd': 2},0.0,-1.5750767072868121,-0.5760912,0.06273886216610926
1,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Cr': 4},{'Cr': 2},0.0,-1.104459533871599,0.55975896,0.08704291470914566
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cr': 1},{'Pd': 4},{'Pd': 2},0.0,-1.5750767072868121,-0.5760912,0.06273886216610926
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Cr': 4},{'Cr': 2},0.0,-1.104459533871599,0.55975896,0.08704291470914566
4,mp-1001836_5d83020f30582ea2977ab568,{'Cr': 1},{'Pd': 4},"{'Cr': 2, 'Pd': 2}",0.0,-1.631453949534507,-0.63229614,0.1512710895100216
5,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Cr': 4},"{'Pd': 2, 'Cr': 2}",0.0,-1.0560125172089205,0.7568881,0.10953275655876937
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Cr': 7},0.0,-1.3309329353176758,0.83439386,-0.28044431113856644
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cr': 3},{'Cr': 9},{'Pd': 7},0.0,-1.8399781270774804,-1.3745542,-0.45892341795492175
8,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'Cr': 3, 'Pd': 8}","{'Cr': 2, 'Pd': 2}",0.0,-1.1247178026994034,0.9468456,-0.17320244017781533
9,mp-10032_5d83020e30582ea2977a710a,{'Cr': 3},"{'Pd': 3, 'Cr': 8}","{'Pd': 2, 'Cr': 2}",0.0,-1.734516905032295,-0.70420533,-0.4248036874498774
10,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'Cr': 3, 'Pd': 2}","{'Cr': 2, 'Pd': 5}",0.0,-1.23909348685817,0.52830195,-0.24362283642891325
11,mp-10032_5d83020e30582ea2977a71d5,{'Cr': 2},"{'Pd': 3, 'Cr': 2}","{'Pd': 2, 'Cr': 5}",0.0,-1.802212150668707,-1.1783057,-0.5842548528463853
12,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},"{'Cr': 2, 'Pd': 2}","{'Cr': 1, 'Pd': 2}",0.0,-1.2374307278543335,0.7625913,0.07681874050091014
13,mp-10032_5d83020e30582ea2977a71d6,{'Cr': 1},"{'Pd': 2, 'Cr': 2}","{'Pd': 1, 'Cr': 2}",0.0,-1.7346463187211585,-0.911843,0.01614434115469894
14,mp-10032_5d83020e30582ea2977a71d8,{'Cr': 1},{'Pd': 4},{'Pd': 1},0.0,-1.656611874060811,-0.5430944,0.056660815557713275
15,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Cr': 4},{'Cr': 1},0.0,-1.1726889728792123,0.65713954,0.03152265842005393
16,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},"{'Cr': 2, 'Pd': 4}","{'Cr': 1, 'Pd': 2}",0.0,-1.0286948739340307,0.9605482,0.06162904118925941
17,mp-10032_5d83020e30582ea2977a71da,{'Cr': 1},"{'Pd': 2, 'Cr': 4}","{'Pd': 1, 'Cr': 2}",0.0,-1.622730808803616,-0.7290561,0.06924361937570647
18,mp-10032_5d83020e30582ea2977a71db,{'Cr': 1},{'Pd': 4},{'Pd': 1},0.0,-1.656611874060811,-0.5430944,0.056660815557713275
19,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'Cr': 4},{'Cr': 1},0.0,-1.1726889728792123,0.65713954,0.03152265842005393
20,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},"{'Cr': 3, 'Pd': 6}","{'Cr': 4, 'Pd': 5}",0.0,-1.0728302140670847,0.89818656,-0.1899398872426433
21,mp-10032_5d83020e30582ea2977a71dc,{'Cr': 3},"{'Pd': 3, 'Cr': 6}","{'Pd': 4, 'Cr': 5}",0.0,-1.7137637942606685,-1.1790924,-0.5728041432436215
22,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},"{'Cr': 2, 'Pd': 3}","{'Cr': 1, 'Pd': 2}",0.0,-1.1244382890642042,0.82062346,0.08641760512878312
