,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cr': 1},{'Sn': 4},{'Sn': 2},0.0,-1.184059095023353,-0.27200976,0.08245429570608662
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'Cr': 4},{'Cr': 2},0.0,0.052156688766772624,0.44261774,0.762073258480459
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cr': 1},{'Sn': 4},{'Sn': 2},0.0,-1.184059095023353,-0.27200976,0.08245429570608662
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'Cr': 4},{'Cr': 2},0.0,0.052156688766772624,0.44261774,0.762073258480459
4,mp-1001836_5d83020f30582ea2977ab568,{'Cr': 1},{'Sn': 4},"{'Cr': 2, 'Sn': 2}",0.0,-1.3678660672155585,-0.4228221,-0.0689770282841772
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'Cr': 4},"{'Sn': 2, 'Cr': 2}",0.0,0.040242260912339296,0.3773922,0.8685246262635922
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'Cr': 7},0.0,0.006984735587350846,0.40007788,0.8111636940788887
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cr': 3},{'Cr': 9},{'Sn': 7},0.0,-1.635925909210053,-0.9806789,-0.40512929763368316
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'Cr': 3, 'Sn': 8}","{'Cr': 2, 'Sn': 2}",0.0,-0.0030248940040238917,0.360994,0.746654140376661
9,mp-10032_5d83020e30582ea2977a710a,{'Cr': 3},"{'Sn': 3, 'Cr': 8}","{'Sn': 2, 'Cr': 2}",0.0,-1.4621608455075048,-0.7724078,-0.5264614513102384
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'Cr': 3, 'Sn': 2}","{'Cr': 2, 'Sn': 5}",0.0,0.05072378655402295,0.3221336,0.652343605639613
11,mp-10032_5d83020e30582ea2977a71d5,{'Cr': 2},"{'Sn': 3, 'Cr': 2}","{'Sn': 2, 'Cr': 5}",0.0,-1.720797402496891,-1.3499514,-0.5009785149041138
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'Cr': 2, 'Sn': 2}","{'Cr': 1, 'Sn': 2}",0.0,0.055635692666495165,0.3638573,0.6670118881704312
13,mp-10032_5d83020e30582ea2977a71d6,{'Cr': 1},"{'Sn': 2, 'Cr': 2}","{'Sn': 1, 'Cr': 2}",0.0,-1.711459245537479,-0.83778566,0.04111855458194095
14,mp-10032_5d83020e30582ea2977a71d8,{'Cr': 1},{'Sn': 4},{'Sn': 1},0.0,-1.244048732106799,-0.44955343,0.02776860520422607
15,mp-10032_5d83020e30582ea2977a71d8,{'Sn': 1},{'Cr': 4},{'Cr': 1},0.0,0.07561200947300012,0.65855175,0.6966656609838388
16,mp-10032_5d83020e30582ea2977a71da,{'Sn': 1},"{'Cr': 2, 'Sn': 4}","{'Cr': 1, 'Sn': 2}",0.0,0.08694336055567253,0.25730458,0.7718925087398926
17,mp-10032_5d83020e30582ea2977a71da,{'Cr': 1},"{'Sn': 2, 'Cr': 4}","{'Sn': 1, 'Cr': 2}",0.0,-1.5945705015769984,-0.757551,0.14492581450586386
18,mp-10032_5d83020e30582ea2977a71db,{'Cr': 1},{'Sn': 4},{'Sn': 1},0.0,-1.244048732106799,-0.44955343,0.02776860520422607
19,mp-10032_5d83020e30582ea2977a71db,{'Sn': 1},{'Cr': 4},{'Cr': 1},0.0,0.07561200947300012,0.65855175,0.6966656609838388
20,mp-10032_5d83020e30582ea2977a71dc,{'Sn': 3},"{'Cr': 3, 'Sn': 6}","{'Cr': 4, 'Sn': 5}",0.0,0.002841811092401133,0.37095433,0.7284309303903495
21,mp-10032_5d83020e30582ea2977a71dc,{'Cr': 3},"{'Sn': 3, 'Cr': 6}","{'Sn': 4, 'Cr': 5}",0.0,-1.4509925356136566,-1.2854389,-0.5462311239721228
22,mp-10032_5d83020e30582ea2977a71e0,{'Sn': 1},"{'Cr': 2, 'Sn': 3}","{'Cr': 1, 'Sn': 2}",0.0,0.04995040957509852,0.23298801,0.650028724529556
23,mp-10032_5d83020e30582ea2977a71e0,{'Cr': 1},"{'Sn': 2, 'Cr': 3}","{'Sn': 1, 'Cr': 2}",0.0,-1.6662307642343401,-0.64470255,0.009638465280130484
24,mp-10032_5d83020e30582ea2977a71e1,{'Sn': 2},"{'Cr': 3, 'Sn': 6}","{'Cr': 3, 'Sn': 2}",0.0,0.08062741731498864,0.35388663,0.6603293170982514
25,mp-10032_5d83020e30582ea2977a71e1,{'Cr': 2},"{'Sn': 3, 'Cr': 6}","{'Sn': 3, 'Cr': 2}",0.0,-1.516760114599852,-1.2475052,-0.2975230025636877
26,mp-10032_5d83020e30582ea2977a71e2,{'Cr': 1},{'Sn': 4},{'Sn': 1},0.0,-1.244048732106799,-0.44955343,0.02776860520422607
27,mp-10032_5d83020e30582ea2977a71e2,{'Sn': 1},{'Cr': 4},{'Cr': 1},0.0,0.07561200947300012,0.65855175,0.6966656609838388
28,mp-10032_5d83020e30582ea2977a748b,{'Sn': 1},{'Sn': 3},{'Cr': 2},0.0,0.02474508900968341,0.26191026,0.4617254048259257
29,mp-10032_5d83020e30582ea2977a748b,{'Cr': 1},{'Cr': 3},{'Sn': 2},0.0,-1.3139867530134615,-0.95419663,-0.13278976463720735
30,mp-10032_5d83020e30582ea2977a7490,"{'Cr': 1, 'Sn': 2}","{'Cr': 1, 'Sn': 6}","{'Cr': 4, 'Sn': 3}",0.0,-0.24159479073984275,0.2331765,0.32025424240346917
31,mp-10032_5d83020e30582ea2977a7490,"{'Sn': 1, 'Cr': 2}","{'Sn': 1, 'Cr': 6}","{'Sn': 4, 'Cr': 3}",0.0,-0.7970804339807789,-0.3592136,-0.02782294540389166
32,mp-10032_5d83020e30582ea2977a7491,"{'Cr': 1, 'Sn': 2}","{'Cr': 1, 'Sn': 6}","{'Cr': 5, 'Sn': 3}",0.0,-0.22565174009479097,0.19815958,0.3245457162501884
33,mp-10032_5d83020e30582ea2977a7491,"{'Sn': 1, 'Cr': 2}","{'Sn': 1, 'Cr': 6}","{'Sn': 5, 'Cr': 3}",0.0,-0.7645855973486928,-0.2882986,-0.040643803737014865
34,mp-10032_5d83020e30582ea2977a7492,"{'Cr': 1, 'Sn': 4}","{'Cr': 3, 'Sn': 8}","{'Cr': 2, 'Sn': 5}",0.0,0.05473664483209219,0.7368823,0.4244689247232967
35,mp-10032_5d83020e30582ea2977a7492,"{'Sn': 1, 'Cr': 4}","{'Sn': 3, 'Cr': 8}","{'Sn': 2, 'Cr': 5}",0.0,-1.5359348602535883,-0.5670866,0.12180815895550826
36,mp-10032_5d83020e30582ea2977a7494,{'Sn': 1},"{'Cr': 2, 'Sn': 2}",{'Sn': 3},0.0,0.0651374112593592,0.26436484,0.6610376158574095
37,mp-10032_5d83020e30582ea2977a7494,{'Cr': 1},"{'Sn': 2, 'Cr': 2}",{'Cr': 3},0.0,-1.8068715075109933,-0.89653665,0.23683176387051075
38,mp-10032_5d83020e30582ea2977a7499,{'Sn': 2},"{'Cr': 2, 'Sn': 2}",{'Cr': 4},0.0,0.033808264217204544,0.3884337,0.5872294303576415
39,mp-10032_5d83020e30582ea2977a7499,{'Cr': 2},"{'Sn': 2, 'Cr': 2}",{'Sn': 4},0.0,-1.763056117027665,-1.0329878,-0.38682495993621496
40,mp-10032_5d83020e30582ea2977a749b,"{'Cr': 1, 'Sn': 3}","{'Cr': 2, 'Sn': 7}","{'Cr': 3, 'Sn': 4}",0.0,-0.07477145777656989,0.45071936,0.4700873678030081
41,mp-10032_5d83020e30582ea2977a749b,"{'Sn': 1, 'Cr': 3}","{'Sn': 2, 'Cr': 7}","{'Sn': 3, 'Cr': 4}",0.0,-1.29541520315696,-0.4659256,0.09956158862602991
42,mp-10032_5d83020e30582ea2977a749c,"{'Cr': 1, 'Sn': 2}","{'Cr': 1, 'Sn': 6}","{'Cr': 5, 'Sn': 3}",0.0,-0.22565174009479097,0.19815958,0.3245457162501884
43,mp-10032_5d83020e30582ea2977a749c,"{'Sn': 1, 'Cr': 2}","{'Sn': 1, 'Cr': 6}","{'Sn': 5, 'Cr': 3}",0.0,-0.7645855973486928,-0.2882986,-0.040643803737014865
44,mp-10032_5d83020e30582ea2977a749d,"{'Cr': 1, 'Sn': 2}","{'Cr': 1, 'Sn': 6}","{'Cr': 4, 'Sn': 3}",0.0,-0.24159479073984275,0.2331765,0.32025424240346917
45,mp-10032_5d83020e30582ea2977a749d,"{'Sn': 1, 'Cr': 2}","{'Sn': 1, 'Cr': 6}","{'Sn': 4, 'Cr': 3}",0.0,-0.7970804339807789,-0.3592136,-0.02782294540389166
46,mp-10032_5d83020e30582ea2977a749f,{'Sn': 2},"{'Cr': 3, 'Sn': 2}",{'Sn': 2},0.0,0.07368257757684432,0.2764625,0.7122993423108717
47,mp-10032_5d83020e30582ea2977a749f,{'Cr': 2},"{'Sn': 3, 'Cr': 2}",{'Cr': 2},0.0,-1.7325382029903158,-1.2123972,-0.5144130622881099
48,mp-10032_5d83020e30582ea2977a74a0,{'Sn': 2},"{'Cr': 3, 'Sn': 2}",{'Sn': 2},0.0,0.07368257757684432,0.2764625,0.7122993423108717
49,mp-10032_5d83020e30582ea2977a74a0,{'Cr': 2},"{'Sn': 3, 'Cr': 2}",{'Cr': 2},0.0,-1.7325382029903158,-1.2123972,-0.5144130622881099
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Sn': 2},"{'Cr': 1, 'Sn': 7}","{'Cr': 2, 'Sn': 3}",0.0,0.037773705868130475,0.38770035,0.6272168605607868
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Cr': 2},"{'Sn': 1, 'Cr': 7}","{'Sn': 2, 'Cr': 3}",0.0,-1.611259179863172,-1.190087,-0.422315546102237
