,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cr': 1},{'V': 4},{'V': 2},0.0,-1.3877554041578868,-1.0678363,-0.11061296194429784
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Cr': 4},{'Cr': 2},0.0,-1.490182325159707,-1.3685161,-0.12129098085204246
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cr': 1},{'V': 4},{'V': 2},0.0,-1.3877554041578868,-1.0678363,-0.11061296194429784
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Cr': 4},{'Cr': 2},0.0,-1.490182325159707,-1.3685161,-0.12129098085204246
4,mp-1001836_5d83020f30582ea2977ab568,{'Cr': 1},{'V': 4},"{'Cr': 2, 'V': 2}",0.0,-1.5135055228332501,-0.97889423,-0.09613545685948452
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Cr': 4},"{'V': 2, 'Cr': 2}",0.0,-1.3049909869901555,-1.1541071,-0.03813292711007764
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Cr': 7},0.0,-2.2911893460938315,-1.499816,-0.6708152605649121
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cr': 3},{'Cr': 9},{'V': 7},0.0,-1.5686584150275362,-1.0303038,-0.5237051549266201
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Cr': 3, 'V': 8}","{'Cr': 2, 'V': 2}",0.0,-2.0116540104695617,-0.4262968,-0.6275030791476222
9,mp-10032_5d83020e30582ea2977a710a,{'Cr': 3},"{'V': 3, 'Cr': 8}","{'V': 2, 'Cr': 2}",0.0,-1.715156286055548,-0.52988684,-0.4772287052189046
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Cr': 3, 'V': 2}","{'Cr': 2, 'V': 5}",0.0,-1.6274828770485583,-1.4419258,-0.5210759182380331
11,mp-10032_5d83020e30582ea2977a71d5,{'Cr': 2},"{'V': 3, 'Cr': 2}","{'V': 2, 'Cr': 5}",0.0,-1.5686588294768986,-1.4079646,-0.5252878072055888
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Cr': 2, 'V': 2}","{'Cr': 1, 'V': 2}",0.0,-1.3201389147570695,-1.2865412,-0.1180313182110023
13,mp-10032_5d83020e30582ea2977a71d6,{'Cr': 1},"{'V': 2, 'Cr': 2}","{'V': 1, 'Cr': 2}",0.0,-1.6086380280657446,-1.0021596,-0.14612484717543558
14,mp-10032_5d83020e30582ea2977a71d8,{'Cr': 1},{'V': 4},{'V': 1},0.0,-1.445566566619906,-1.0426462,-0.0916559560531142
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Cr': 4},{'Cr': 1},0.0,-1.566827785036432,-1.2447267,-0.040207181138773355
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Cr': 2, 'V': 4}","{'Cr': 1, 'V': 2}",0.0,-1.392771931902219,-1.1289525,-0.018508467731768428
17,mp-10032_5d83020e30582ea2977a71da,{'Cr': 1},"{'V': 2, 'Cr': 4}","{'V': 1, 'Cr': 2}",0.0,-1.6836889922564238,-0.79852754,0.05541187284894206
18,mp-10032_5d83020e30582ea2977a71db,{'Cr': 1},{'V': 4},{'V': 1},0.0,-1.445566566619906,-1.0426462,-0.0916559560531142
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Cr': 4},{'Cr': 1},0.0,-1.566827785036432,-1.2447267,-0.040207181138773355
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Cr': 3, 'V': 6}","{'Cr': 4, 'V': 5}",0.0,-1.9595102714380792,-1.362591,-0.675780264476508
21,mp-10032_5d83020e30582ea2977a71dc,{'Cr': 3},"{'V': 3, 'Cr': 6}","{'V': 4, 'Cr': 5}",0.0,-1.6900546804915302,-1.3151224,-0.5686024899067306
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Cr': 2, 'V': 3}","{'Cr': 1, 'V': 2}",0.0,-1.3303757749830802,-1.1109314,-0.1183742482504476
23,mp-10032_5d83020e30582ea2977a71e0,{'Cr': 1},"{'V': 2, 'Cr': 3}","{'V': 1, 'Cr': 2}",0.0,-1.6846698321768638,-0.7503048,-0.03393342248315951
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Cr': 3, 'V': 6}","{'Cr': 3, 'V': 2}",0.0,-1.7337460610805888,-1.537202,-0.5941333856286892
25,mp-10032_5d83020e30582ea2977a71e1,{'Cr': 2},"{'V': 3, 'Cr': 6}","{'V': 3, 'Cr': 2}",0.0,-1.5992231525750213,-1.4408859,-0.5394569409114894
26,mp-10032_5d83020e30582ea2977a71e2,{'Cr': 1},{'V': 4},{'V': 1},0.0,-1.445566566619906,-1.0426462,-0.0916559560531142
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Cr': 4},{'Cr': 1},0.0,-1.566827785036432,-1.2447267,-0.040207181138773355
28,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'Cr': 2},0.0,-1.4721029003130008,-1.7186841,-0.1180200005748064
29,mp-10032_5d83020e30582ea2977a748b,{'Cr': 1},{'Cr': 3},{'V': 2},0.0,-1.5164200569672655,-1.0330342,-0.019167889301198743
30,mp-10032_5d83020e30582ea2977a7490,"{'Cr': 1, 'V': 2}","{'Cr': 1, 'V': 6}","{'Cr': 4, 'V': 3}",0.0,-1.9415420783713646,-1.3298715,-0.7538213340093188
31,mp-10032_5d83020e30582ea2977a7490,"{'V': 1, 'Cr': 2}","{'V': 1, 'Cr': 6}","{'V': 4, 'Cr': 3}",0.0,-1.4650877178851507,-1.349828,-0.7989767644134029
32,mp-10032_5d83020e30582ea2977a7491,"{'Cr': 1, 'V': 2}","{'Cr': 1, 'V': 6}","{'Cr': 5, 'V': 3}",0.0,-1.9202866592853938,-1.3597122,-0.7397341474792535
33,mp-10032_5d83020e30582ea2977a7491,"{'V': 1, 'Cr': 2}","{'V': 1, 'Cr': 6}","{'V': 5, 'Cr': 3}",0.0,-1.4650990597740547,-1.3537427,-0.7773629409391941
34,mp-10032_5d83020e30582ea2977a7492,"{'Cr': 1, 'V': 4}","{'Cr': 3, 'V': 8}","{'Cr': 2, 'V': 5}",0.0,-2.398972998811755,-0.47680506,-0.5539395000168938
35,mp-10032_5d83020e30582ea2977a7492,"{'V': 1, 'Cr': 4}","{'V': 3, 'Cr': 8}","{'V': 2, 'Cr': 5}",0.0,-2.1734057408673024,-0.6460681,-0.4531484956407472
36,mp-10032_5d83020e30582ea2977a7494,{'V': 1},"{'Cr': 2, 'V': 2}",{'V': 3},0.0,-1.342309045733705,-1.167955,0.030768928018452716
37,mp-10032_5d83020e30582ea2977a7494,{'Cr': 1},"{'V': 2, 'Cr': 2}",{'Cr': 3},0.0,-1.5904693068927762,-1.118277,0.004640374175267821
38,mp-10032_5d83020e30582ea2977a7499,{'V': 2},"{'Cr': 2, 'V': 2}",{'Cr': 4},0.0,-1.7566328279261518,-1.63905,-0.6004807226296432
39,mp-10032_5d83020e30582ea2977a7499,{'Cr': 2},"{'V': 2, 'Cr': 2}",{'V': 4},0.0,-1.4844022130367076,-1.0840977,-0.477330949709369
40,mp-10032_5d83020e30582ea2977a749b,"{'Cr': 1, 'V': 3}","{'Cr': 2, 'V': 7}","{'Cr': 3, 'V': 4}",0.0,-2.4039233959339468,-1.3831133,-0.7148146274038396
41,mp-10032_5d83020e30582ea2977a749b,"{'V': 1, 'Cr': 3}","{'V': 2, 'Cr': 7}","{'V': 3, 'Cr': 4}",0.0,-2.13878647400337,-1.4291648,-0.6819625610556934
42,mp-10032_5d83020e30582ea2977a749c,"{'Cr': 1, 'V': 2}","{'Cr': 1, 'V': 6}","{'Cr': 5, 'V': 3}",0.0,-1.9202866592853938,-1.3597122,-0.7397341474792535
43,mp-10032_5d83020e30582ea2977a749c,"{'V': 1, 'Cr': 2}","{'V': 1, 'Cr': 6}","{'V': 5, 'Cr': 3}",0.0,-1.4650990597740547,-1.3537427,-0.7773629409391941
44,mp-10032_5d83020e30582ea2977a749d,"{'Cr': 1, 'V': 2}","{'Cr': 1, 'V': 6}","{'Cr': 4, 'V': 3}",0.0,-1.9415420783713646,-1.3298715,-0.7538213340093188
45,mp-10032_5d83020e30582ea2977a749d,"{'V': 1, 'Cr': 2}","{'V': 1, 'Cr': 6}","{'V': 4, 'Cr': 3}",0.0,-1.4650877178851507,-1.349828,-0.7989767644134029
46,mp-10032_5d83020e30582ea2977a749f,{'V': 2},"{'Cr': 3, 'V': 2}",{'V': 2},0.0,-1.6558198541693667,-0.82409894,-0.6010908448773993
