,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Ga': 4},{'Ga': 2},0.0,-0.3600136455871012,0.5787237,0.31643592726952063
1,mp-10015_5d83020d30582ea2977a44b2,{'Ga': 1},{'Cu': 4},{'Cu': 2},0.0,0.02002543537181831,0.31484014,0.529294145547422
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Ga': 4},{'Ga': 2},0.0,-0.3600136455871012,0.5787237,0.31643592726952063
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ga': 1},{'Cu': 4},{'Cu': 2},0.0,0.02002543537181831,0.31484014,0.529294145547422
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Ga': 4},"{'Cu': 2, 'Ga': 2}",0.0,-0.3780010104261374,0.53944254,0.41850917586001324
5,mp-1001836_5d83020f30582ea2977ab568,{'Ga': 1},{'Cu': 4},"{'Ga': 2, 'Cu': 2}",0.0,0.07565363848197248,0.117119044,0.4467752038154776
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ga': 3},{'Ga': 9},{'Cu': 7},0.0,-0.10222367061969692,0.39742443,0.5197832093414072
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Ga': 7},0.0,-0.4024264846047127,0.44534522,-0.10318893098619052
8,mp-10032_5d83020e30582ea2977a710a,{'Ga': 3},"{'Cu': 3, 'Ga': 8}","{'Cu': 2, 'Ga': 2}",0.0,0.001747816176526925,0.09384951,0.49078620811418844
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Ga': 3, 'Cu': 8}","{'Ga': 2, 'Cu': 2}",0.0,-0.3172599203009376,0.48743597,0.05474174476840657
10,mp-10032_5d83020e30582ea2977a71d5,{'Ga': 2},"{'Cu': 3, 'Ga': 2}","{'Cu': 2, 'Ga': 5}",0.0,0.01799439490509423,-0.18207851,0.5272089020354667
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Ga': 3, 'Cu': 2}","{'Ga': 2, 'Cu': 5}",0.0,-0.421771751177126,-0.1617937,0.15110622341058225
12,mp-10032_5d83020e30582ea2977a71d6,{'Ga': 1},"{'Cu': 2, 'Ga': 2}","{'Cu': 1, 'Ga': 2}",0.0,0.09767569282436446,-0.00028814285,0.5115583023428497
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Ga': 2, 'Cu': 2}","{'Ga': 1, 'Cu': 2}",0.0,-0.5911022840762036,0.5211026,0.4737531630011285
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'Ga': 4},{'Ga': 1},0.0,-0.5385672114211534,0.5741272,0.257415715225072
15,mp-10032_5d83020e30582ea2977a71d8,{'Ga': 1},{'Cu': 4},{'Cu': 1},0.0,-0.0029235455946197042,0.221351,0.5739950911648498
16,mp-10032_5d83020e30582ea2977a71da,{'Ga': 1},"{'Cu': 2, 'Ga': 4}","{'Cu': 1, 'Ga': 2}",0.0,0.08496584259103186,-0.036163118,0.5541680041318582
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'Ga': 2, 'Cu': 4}","{'Ga': 1, 'Cu': 2}",0.0,-0.21348215557654468,0.9247761,0.3240233967077499
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'Ga': 4},{'Ga': 1},0.0,-0.5385672114211534,0.5741272,0.257415715225072
19,mp-10032_5d83020e30582ea2977a71db,{'Ga': 1},{'Cu': 4},{'Cu': 1},0.0,-0.0029235455946197042,0.221351,0.5739950911648498
20,mp-10032_5d83020e30582ea2977a71dc,{'Ga': 3},"{'Cu': 3, 'Ga': 6}","{'Cu': 4, 'Ga': 5}",0.0,0.15114067710524132,0.07098806,0.7645297133514972
21,mp-10032_5d83020e30582ea2977a71dc,{'Cu': 3},"{'Ga': 3, 'Cu': 6}","{'Ga': 4, 'Cu': 5}",0.0,-0.2616310767805094,0.45804343,0.167854426967127
22,mp-10032_5d83020e30582ea2977a71e0,{'Ga': 1},"{'Cu': 2, 'Ga': 3}","{'Cu': 1, 'Ga': 2}",0.0,0.037530708993605194,-0.031095825,0.5471102460216987
23,mp-10032_5d83020e30582ea2977a71e0,{'Cu': 1},"{'Ga': 2, 'Cu': 3}","{'Ga': 1, 'Cu': 2}",0.0,-0.642183951236867,0.6992555,0.36828667568035306
24,mp-10032_5d83020e30582ea2977a71e1,{'Ga': 2},"{'Cu': 3, 'Ga': 6}","{'Cu': 3, 'Ga': 2}",0.0,0.08651637669286587,0.0930542,0.6721671913480802
25,mp-10032_5d83020e30582ea2977a71e1,{'Cu': 2},"{'Ga': 3, 'Cu': 6}","{'Ga': 3, 'Cu': 2}",0.0,-0.29714393255902083,0.38019317,0.18921832456861176
26,mp-10032_5d83020e30582ea2977a71e2,{'Cu': 1},{'Ga': 4},{'Ga': 1},0.0,-0.5385672114211534,0.5741272,0.257415715225072
27,mp-10032_5d83020e30582ea2977a71e2,{'Ga': 1},{'Cu': 4},{'Cu': 1},0.0,-0.0029235455946197042,0.221351,0.5739950911648498
28,mp-10032_5d83020e30582ea2977a748b,{'Ga': 1},{'Ga': 3},{'Cu': 2},0.0,-0.0653891575338694,0.2010237,0.057597024172132985
29,mp-10032_5d83020e30582ea2977a748b,{'Cu': 1},{'Cu': 3},{'Ga': 2},0.0,-0.8341214593601788,0.2807959,0.04146999730135264
30,mp-10032_5d83020e30582ea2977a7490,"{'Cu': 1, 'Ga': 2}","{'Cu': 1, 'Ga': 6}","{'Cu': 4, 'Ga': 3}",0.0,0.04375590954185626,0.016261663,0.5272467643237779
31,mp-10032_5d83020e30582ea2977a7490,"{'Ga': 1, 'Cu': 2}","{'Ga': 1, 'Cu': 6}","{'Ga': 4, 'Cu': 3}",0.0,-0.0887189841684509,-0.17808037,0.24513530406179385
32,mp-10032_5d83020e30582ea2977a7491,"{'Cu': 1, 'Ga': 2}","{'Cu': 1, 'Ga': 6}","{'Cu': 5, 'Ga': 3}",0.0,0.05199084796200811,0.020268496,0.5929410117055289
33,mp-10032_5d83020e30582ea2977a7491,"{'Ga': 1, 'Cu': 2}","{'Ga': 1, 'Cu': 6}","{'Ga': 5, 'Cu': 3}",0.0,-0.12552066252378224,-0.17954081,0.2103129816847808
34,mp-10032_5d83020e30582ea2977a7492,"{'Cu': 1, 'Ga': 4}","{'Cu': 3, 'Ga': 8}","{'Cu': 2, 'Ga': 5}",0.0,0.17123716606208242,0.2296753,0.6823600929999284
35,mp-10032_5d83020e30582ea2977a7492,"{'Ga': 1, 'Cu': 4}","{'Ga': 3, 'Cu': 8}","{'Ga': 2, 'Cu': 5}",0.0,-0.12342024986080202,0.4120605,0.4510093442806559
36,mp-10032_5d83020e30582ea2977a7494,{'Ga': 1},"{'Cu': 2, 'Ga': 2}",{'Ga': 3},0.0,0.0499512397612653,3.6677706e-05,0.48036662692228504
37,mp-10032_5d83020e30582ea2977a7494,{'Cu': 1},"{'Ga': 2, 'Cu': 2}",{'Cu': 3},0.0,-0.5568863073658166,0.44191393,0.3567357775890817
38,mp-10032_5d83020e30582ea2977a7499,{'Ga': 2},"{'Cu': 2, 'Ga': 2}",{'Cu': 4},0.0,0.05036119341126071,0.04927198,0.2995338892715211
39,mp-10032_5d83020e30582ea2977a7499,{'Cu': 2},"{'Ga': 2, 'Cu': 2}",{'Ga': 4},0.0,-0.5505905040857186,0.1882923,0.03156277205016825
40,mp-10032_5d83020e30582ea2977a749b,"{'Cu': 1, 'Ga': 3}","{'Cu': 2, 'Ga': 7}","{'Cu': 3, 'Ga': 4}",0.0,0.1601706247449691,0.11424605,0.6967288880720299
41,mp-10032_5d83020e30582ea2977a749b,"{'Ga': 1, 'Cu': 3}","{'Ga': 2, 'Cu': 7}","{'Ga': 3, 'Cu': 4}",0.0,-0.086942163901604,0.35457984,0.47565589453228574
42,mp-10032_5d83020e30582ea2977a749c,"{'Cu': 1, 'Ga': 2}","{'Cu': 1, 'Ga': 6}","{'Cu': 5, 'Ga': 3}",0.0,0.05199084796200811,0.020268496,0.5929410117055289
43,mp-10032_5d83020e30582ea2977a749c,"{'Ga': 1, 'Cu': 2}","{'Ga': 1, 'Cu': 6}","{'Ga': 5, 'Cu': 3}",0.0,-0.12552066252378224,-0.17954081,0.2103129816847808
44,mp-10032_5d83020e30582ea2977a749d,"{'Cu': 1, 'Ga': 2}","{'Cu': 1, 'Ga': 6}","{'Cu': 4, 'Ga': 3}",0.0,0.04375590954185626,0.016261663,0.5272467643237779
45,mp-10032_5d83020e30582ea2977a749d,"{'Ga': 1, 'Cu': 2}","{'Ga': 1, 'Cu': 6}","{'Ga': 4, 'Cu': 3}",0.0,-0.0887189841684509,-0.17808037,0.24513530406179385
46,mp-10032_5d83020e30582ea2977a749f,{'Ga': 2},"{'Cu': 3, 'Ga': 2}",{'Ga': 2},0.0,-0.036716187751319906,-0.20286267,0.3971130831864661
47,mp-10032_5d83020e30582ea2977a749f,{'Cu': 2},"{'Ga': 3, 'Cu': 2}",{'Cu': 2},0.0,-0.6940967729831514,-0.19725679,0.1522794435698792
48,mp-10032_5d83020e30582ea2977a74a0,{'Ga': 2},"{'Cu': 3, 'Ga': 2}",{'Ga': 2},0.0,-0.036716187751319906,-0.20286267,0.3971130831864661
49,mp-10032_5d83020e30582ea2977a74a0,{'Cu': 2},"{'Ga': 3, 'Cu': 2}",{'Cu': 2},0.0,-0.6940967729831514,-0.19725679,0.1522794435698792
