,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Os': 4},{'Os': 2},0.0,-0.7629192352863554,0.0828047,0.3433048924290923
1,mp-10015_5d83020d30582ea2977a44b2,{'Os': 1},{'Cu': 4},{'Cu': 2},0.0,-2.0620121815761654,-0.44543967,-0.4023575648967973
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Os': 4},{'Os': 2},0.0,-0.7629192352863554,0.0828047,0.3433048924290923
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Os': 1},{'Cu': 4},{'Cu': 2},0.0,-2.0620121815761654,-0.44543967,-0.4023575648967973
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Os': 4},"{'Cu': 2, 'Os': 2}",0.0,-0.7607140924787761,0.2870642,0.3800901152209929
5,mp-1001836_5d83020f30582ea2977ab568,{'Os': 1},{'Cu': 4},"{'Os': 2, 'Cu': 2}",0.0,-2.1234661632611873,-0.13110332,-0.37617784326718
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Os': 3},{'Os': 9},{'Cu': 7},0.0,-1.5101565455969737,0.38878265,-0.6333740611175629
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Os': 7},0.0,-0.5252755937378409,0.0843518,0.019562188157182216
8,mp-10032_5d83020e30582ea2977a710a,{'Os': 3},"{'Cu': 3, 'Os': 8}","{'Cu': 2, 'Os': 2}",0.0,-1.2724207787843245,0.5423515,-0.30714342033063924
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Os': 3, 'Cu': 8}","{'Os': 2, 'Cu': 2}",0.0,-0.5429960418084568,0.4470204,0.0881763401156396
10,mp-10032_5d83020e30582ea2977a71d5,{'Os': 2},"{'Cu': 3, 'Os': 2}","{'Cu': 2, 'Os': 5}",0.0,-1.8932971091221924,-0.4770541,-0.5660801122221487
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Os': 3, 'Cu': 2}","{'Os': 2, 'Cu': 5}",0.0,-0.6879043417036925,0.15886843,0.16386110132282428
12,mp-10032_5d83020e30582ea2977a71d6,{'Os': 1},"{'Cu': 2, 'Os': 2}","{'Cu': 1, 'Os': 2}",0.0,-2.090507572913621,-0.3371133,-0.5007651629857461
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Os': 2, 'Cu': 2}","{'Os': 1, 'Cu': 2}",0.0,-0.6196582880344473,0.6251292,0.3362237164894369
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'Os': 4},{'Os': 1},0.0,-0.8043342410933745,0.08628823,0.3476551864465375
15,mp-10032_5d83020e30582ea2977a71d8,{'Os': 1},{'Cu': 4},{'Cu': 1},0.0,-2.1435329653338195,-0.69393903,-0.40648665130650596
16,mp-10032_5d83020e30582ea2977a71da,{'Os': 1},"{'Cu': 2, 'Os': 4}","{'Cu': 1, 'Os': 2}",0.0,-1.687399744908484,0.028913412,-0.38494250906629146
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'Os': 2, 'Cu': 4}","{'Os': 1, 'Cu': 2}",0.0,-0.49933809205312535,0.90313554,0.41588381123351104
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'Os': 4},{'Os': 1},0.0,-0.8043342410933745,0.08628823,0.3476551864465375
19,mp-10032_5d83020e30582ea2977a71db,{'Os': 1},{'Cu': 4},{'Cu': 1},0.0,-2.1435329653338195,-0.69393903,-0.40648665130650596
20,mp-10032_5d83020e30582ea2977a71dc,{'Os': 3},"{'Cu': 3, 'Os': 6}","{'Cu': 4, 'Os': 5}",0.0,-1.2141237538857337,0.38056892,-0.36657011872063133
