,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Pb': 4},{'Pb': 2},0.0,-0.3966970927416665,0.48276523,0.510671292440446
1,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Cu': 4},{'Cu': 2},0.0,-0.0475052997658931,0.5595603,0.904318940587286
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Pb': 4},{'Pb': 2},0.0,-0.3966970927416665,0.48276523,0.510671292440446
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Cu': 4},{'Cu': 2},0.0,-0.0475052997658931,0.5595603,0.904318940587286
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Pb': 4},"{'Cu': 2, 'Pb': 2}",0.0,-0.31384407132840847,0.42154676,0.5807460037502634
5,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Cu': 4},"{'Pb': 2, 'Cu': 2}",0.0,0.010320594720380551,0.48054978,0.8560118817268031
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Cu': 7},0.0,-0.04696702998952074,0.53984135,0.7409980568277986
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Pb': 7},0.0,-0.47503072609675984,-0.23571262,0.13621326086535196
8,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Cu': 3, 'Pb': 8}","{'Cu': 2, 'Pb': 2}",0.0,0.04264211812162172,0.4718063,0.8124220709126032
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Pb': 3, 'Cu': 8}","{'Pb': 2, 'Cu': 2}",0.0,-0.38897100560393433,0.44702113,0.18840421507230307
10,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Cu': 3, 'Pb': 2}","{'Cu': 2, 'Pb': 5}",0.0,0.03254361743478921,0.4563773,0.7815030492893202
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Pb': 3, 'Cu': 2}","{'Pb': 2, 'Cu': 5}",0.0,-0.42175738153016784,0.10719895,0.20291777771153327
12,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Cu': 2, 'Pb': 2}","{'Cu': 1, 'Pb': 2}",0.0,0.029083776189109553,0.47511646,0.8732957063533188
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Pb': 2, 'Cu': 2}","{'Pb': 1, 'Cu': 2}",0.0,-0.4715060335088139,0.45732298,0.42082583167356197
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'Pb': 4},{'Pb': 1},0.0,-0.510262791374877,0.4521807,0.5051620778839733
15,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Cu': 4},{'Cu': 1},0.0,-0.07270832388938128,0.58494407,0.8922128701794161
16,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Cu': 2, 'Pb': 4}","{'Cu': 1, 'Pb': 2}",0.0,0.08583033147280716,0.61356556,0.9396521042689542
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'Pb': 2, 'Cu': 4}","{'Pb': 1, 'Cu': 2}",0.0,-0.24099142595171882,0.79030484,0.43090414004008615
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'Pb': 4},{'Pb': 1},0.0,-0.510262791374877,0.4521807,0.5051620778839733
19,mp-10032_5d83020e30582ea2977a71db,{'Pb': 1},{'Cu': 4},{'Cu': 1},0.0,-0.07270832388938128,0.58494407,0.8922128701794161
20,mp-10032_5d83020e30582ea2977a71dc,{'Pb': 3},"{'Cu': 3, 'Pb': 6}","{'Cu': 4, 'Pb': 5}",0.0,0.10268483312673116,0.50243247,0.9876932909137991
21,mp-10032_5d83020e30582ea2977a71dc,{'Cu': 3},"{'Pb': 3, 'Cu': 6}","{'Pb': 4, 'Cu': 5}",0.0,-0.281849647528021,0.37905693,0.3352497391751222
22,mp-10032_5d83020e30582ea2977a71e0,{'Pb': 1},"{'Cu': 2, 'Pb': 3}","{'Cu': 1, 'Pb': 2}",0.0,0.022206760490507488,0.4499878,0.8523952732674512
23,mp-10032_5d83020e30582ea2977a71e0,{'Cu': 1},"{'Pb': 2, 'Cu': 3}","{'Pb': 1, 'Cu': 2}",0.0,-0.38496001390133483,0.570483,0.43062151310105834
24,mp-10032_5d83020e30582ea2977a71e1,{'Pb': 2},"{'Cu': 3, 'Pb': 6}","{'Cu': 3, 'Pb': 2}",0.0,0.04208681969586292,0.5150505,0.8101461319363776
25,mp-10032_5d83020e30582ea2977a71e1,{'Cu': 2},"{'Pb': 3, 'Cu': 6}","{'Pb': 3, 'Cu': 2}",0.0,-0.24302902561922932,0.43555644,0.3386384110200279
26,mp-10032_5d83020e30582ea2977a71e2,{'Cu': 1},{'Pb': 4},{'Pb': 1},0.0,-0.510262791374877,0.4521807,0.5051620778839733
27,mp-10032_5d83020e30582ea2977a71e2,{'Pb': 1},{'Cu': 4},{'Cu': 1},0.0,-0.07270832388938128,0.58494407,0.8922128701794161
28,mp-10032_5d83020e30582ea2977a748b,{'Pb': 1},{'Pb': 3},{'Cu': 2},0.0,-0.03130098813203964,0.4859223,0.5731857055945796
29,mp-10032_5d83020e30582ea2977a748b,{'Cu': 1},{'Cu': 3},{'Pb': 2},0.0,-0.8207396887569087,0.089881256,0.17510947868438503
