,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Re': 4},{'Re': 2},0.0,-0.7882489756559793,0.16706415,0.18437371257824833
1,mp-10015_5d83020d30582ea2977a44b2,{'Re': 1},{'Cu': 4},{'Cu': 2},0.0,-1.8279316547650002,-0.7093083,-0.3027571910013462
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Re': 4},{'Re': 2},0.0,-0.7882489756559793,0.16706415,0.18437371257824833
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Re': 1},{'Cu': 4},{'Cu': 2},0.0,-1.8279316547650002,-0.7093083,-0.3027571910013462
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Re': 4},"{'Cu': 2, 'Re': 2}",0.0,-0.814793120615665,0.24045986,0.41074752244525414
5,mp-1001836_5d83020f30582ea2977ab568,{'Re': 1},{'Cu': 4},"{'Re': 2, 'Cu': 2}",0.0,-1.9640490883581552,-0.40922284,-0.3764492707672304
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Re': 3},{'Re': 9},{'Cu': 7},0.0,-1.507453061153743,-0.34841472,-0.564715720918908
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Re': 7},0.0,-0.575847467236832,0.08467657,-0.06748664211849656
8,mp-10032_5d83020e30582ea2977a710a,{'Re': 3},"{'Cu': 3, 'Re': 8}","{'Cu': 2, 'Re': 2}",0.0,-1.2020203070900377,0.14196695,-0.39303080223225395
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Re': 3, 'Cu': 8}","{'Re': 2, 'Cu': 2}",0.0,-0.5288507326737817,0.41687226,0.08914321863134594
10,mp-10032_5d83020e30582ea2977a71d5,{'Re': 2},"{'Cu': 3, 'Re': 2}","{'Cu': 2, 'Re': 5}",0.0,-1.6889554201914985,-0.72489905,-0.5765231909037754
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Re': 3, 'Cu': 2}","{'Re': 2, 'Cu': 5}",0.0,-0.7151932594601983,0.041572366,0.14058634032782372
12,mp-10032_5d83020e30582ea2977a71d6,{'Re': 1},"{'Cu': 2, 'Re': 2}","{'Cu': 1, 'Re': 2}",0.0,-1.9284601505963488,-0.57110995,-0.4708139774092901
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Re': 2, 'Cu': 2}","{'Re': 1, 'Cu': 2}",0.0,-0.7596316237796763,0.58217794,0.25795261320261736
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'Re': 4},{'Re': 1},0.0,-0.8621195969820282,0.19870089,0.17790136397213893
15,mp-10032_5d83020e30582ea2977a71d8,{'Re': 1},{'Cu': 4},{'Cu': 1},0.0,-1.9404226748038091,-0.7691311,-0.31899597589744744
16,mp-10032_5d83020e30582ea2977a71da,{'Re': 1},"{'Cu': 2, 'Re': 4}","{'Cu': 1, 'Re': 2}",0.0,-1.6643732965738678,-0.23473658,-0.49947841432997475
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'Re': 2, 'Cu': 4}","{'Re': 1, 'Cu': 2}",0.0,-0.5228104394874515,0.86485404,0.33818892651936083
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'Re': 4},{'Re': 1},0.0,-0.8621195969820282,0.19870089,0.17790136397213893
19,mp-10032_5d83020e30582ea2977a71db,{'Re': 1},{'Cu': 4},{'Cu': 1},0.0,-1.9404226748038091,-0.7691311,-0.31899597589744744
20,mp-10032_5d83020e30582ea2977a71dc,{'Re': 3},"{'Cu': 3, 'Re': 6}","{'Cu': 4, 'Re': 5}",0.0,-1.1204236432620538,-0.31959027,-0.5369960663271749
21,mp-10032_5d83020e30582ea2977a71dc,{'Cu': 3},"{'Re': 3, 'Cu': 6}","{'Re': 4, 'Cu': 5}",0.0,-0.538330664473543,0.27726695,0.22392566079248225
22,mp-10032_5d83020e30582ea2977a71e0,{'Re': 1},"{'Cu': 2, 'Re': 3}","{'Cu': 1, 'Re': 2}",0.0,-1.7944517869926584,-0.27494818,-0.48223173762411914
23,mp-10032_5d83020e30582ea2977a71e0,{'Cu': 1},"{'Re': 2, 'Cu': 3}","{'Re': 1, 'Cu': 2}",0.0,-0.7164960911746383,0.6308069,0.27930901862468743
24,mp-10032_5d83020e30582ea2977a71e1,{'Re': 2},"{'Cu': 3, 'Re': 6}","{'Cu': 3, 'Re': 2}",0.0,-1.2725182998117603,-0.23576316,-0.6386353246231009
25,mp-10032_5d83020e30582ea2977a71e1,{'Cu': 2},"{'Re': 3, 'Cu': 6}","{'Re': 3, 'Cu': 2}",0.0,-0.5238823365948402,0.29064536,0.13479057048158488
26,mp-10032_5d83020e30582ea2977a71e2,{'Cu': 1},{'Re': 4},{'Re': 1},0.0,-0.8621195969820282,0.19870089,0.17790136397213893
27,mp-10032_5d83020e30582ea2977a71e2,{'Re': 1},{'Cu': 4},{'Cu': 1},0.0,-1.9404226748038091,-0.7691311,-0.31899597589744744
28,mp-10032_5d83020e30582ea2977a748b,{'Re': 1},{'Re': 3},{'Cu': 2},0.0,-1.9004060602389334,-0.78918207,-0.4249908651880656
29,mp-10032_5d83020e30582ea2977a748b,{'Cu': 1},{'Cu': 3},{'Re': 2},0.0,-0.8622453742691245,0.3658593,-0.08484478798031883
30,mp-10032_5d83020e30582ea2977a7490,"{'Cu': 1, 'Re': 2}","{'Cu': 1, 'Re': 6}","{'Cu': 4, 'Re': 3}",0.0,-1.593372426048005,-0.41156697,-0.566206656506405
31,mp-10032_5d83020e30582ea2977a7490,"{'Re': 1, 'Cu': 2}","{'Re': 1, 'Cu': 6}","{'Re': 4, 'Cu': 3}",0.0,-1.4038163488658517,-0.22625944,-0.49242309981373983
32,mp-10032_5d83020e30582ea2977a7491,"{'Cu': 1, 'Re': 2}","{'Cu': 1, 'Re': 6}","{'Cu': 5, 'Re': 3}",0.0,-1.5222908712224803,-0.40235472,-0.5528986975853654
33,mp-10032_5d83020e30582ea2977a7491,"{'Re': 1, 'Cu': 2}","{'Re': 1, 'Cu': 6}","{'Re': 5, 'Cu': 3}",0.0,-1.38347791901356,-0.17439471,-0.46524094480175204
34,mp-10032_5d83020e30582ea2977a7492,"{'Cu': 1, 'Re': 4}","{'Cu': 3, 'Re': 8}","{'Cu': 2, 'Re': 5}",0.0,-1.2032111369527643,0.29352558,-0.20574016677631957
35,mp-10032_5d83020e30582ea2977a7492,"{'Re': 1, 'Cu': 4}","{'Re': 3, 'Cu': 8}","{'Re': 2, 'Cu': 5}",0.0,-0.9485098088488344,0.26826695,-0.3551522423041392
36,mp-10032_5d83020e30582ea2977a7494,{'Re': 1},"{'Cu': 2, 'Re': 2}",{'Re': 3},0.0,-1.670417251384253,-0.49406022,-0.37014502376021197
37,mp-10032_5d83020e30582ea2977a7494,{'Cu': 1},"{'Re': 2, 'Cu': 2}",{'Cu': 3},0.0,-0.6094616042028366,0.48973206,0.2136601221995336
38,mp-10032_5d83020e30582ea2977a7499,{'Re': 2},"{'Cu': 2, 'Re': 2}",{'Cu': 4},0.0,-1.7409666509973865,-0.62926406,-0.772672175529406
39,mp-10032_5d83020e30582ea2977a7499,{'Cu': 2},"{'Re': 2, 'Cu': 2}",{'Re': 4},0.0,-0.8169921068683307,0.06068788,0.07782553187417252
40,mp-10032_5d83020e30582ea2977a749b,"{'Cu': 1, 'Re': 3}","{'Cu': 2, 'Re': 7}","{'Cu': 3, 'Re': 4}",0.0,-1.3491646828484873,-0.009970817,-0.42769387965679523
41,mp-10032_5d83020e30582ea2977a749b,"{'Re': 1, 'Cu': 3}","{'Re': 2, 'Cu': 7}","{'Re': 3, 'Cu': 4}",0.0,-1.2682935915058386,0.070858814,-0.46937997993388453
42,mp-10032_5d83020e30582ea2977a749c,"{'Cu': 1, 'Re': 2}","{'Cu': 1, 'Re': 6}","{'Cu': 5, 'Re': 3}",0.0,-1.5222908712224803,-0.40235472,-0.5528986975853654
43,mp-10032_5d83020e30582ea2977a749c,"{'Re': 1, 'Cu': 2}","{'Re': 1, 'Cu': 6}","{'Re': 5, 'Cu': 3}",0.0,-1.38347791901356,-0.17439471,-0.46524094480175204
44,mp-10032_5d83020e30582ea2977a749d,"{'Cu': 1, 'Re': 2}","{'Cu': 1, 'Re': 6}","{'Cu': 4, 'Re': 3}",0.0,-1.593372426048005,-0.41156697,-0.566206656506405
45,mp-10032_5d83020e30582ea2977a749d,"{'Re': 1, 'Cu': 2}","{'Re': 1, 'Cu': 6}","{'Re': 4, 'Cu': 3}",0.0,-1.4038163488658517,-0.22625944,-0.49242309981373983
46,mp-10032_5d83020e30582ea2977a749f,{'Re': 2},"{'Cu': 3, 'Re': 2}",{'Re': 2},0.0,-1.6712456204907848,-0.78977084,-0.6436104160546225
47,mp-10032_5d83020e30582ea2977a749f,{'Cu': 2},"{'Re': 3, 'Cu': 2}",{'Cu': 2},0.0,-0.6445331478562714,-0.14917149,0.1259120683057147
48,mp-10032_5d83020e30582ea2977a74a0,{'Re': 2},"{'Cu': 3, 'Re': 2}",{'Re': 2},0.0,-1.6712456204907848,-0.78977084,-0.6436104160546225
49,mp-10032_5d83020e30582ea2977a74a0,{'Cu': 2},"{'Re': 3, 'Cu': 2}",{'Cu': 2},0.0,-0.6445331478562714,-0.14917149,0.1259120683057147
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Re': 2},"{'Cu': 1, 'Re': 7}","{'Cu': 2, 'Re': 3}",0.0,-1.317016247018248,-0.2702988,-0.4980562031194039
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Cu': 2},"{'Re': 1, 'Cu': 7}","{'Re': 2, 'Cu': 3}",0.0,-0.5390919951436479,0.19117373,0.03898462687233395
