,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Rh': 4},{'Rh': 2},0.0,-0.8261420628860648,0.58242536,0.3030798405697485
1,mp-10015_5d83020d30582ea2977a44b2,{'Rh': 1},{'Cu': 4},{'Cu': 2},0.0,-1.6050104117894852,0.28458616,-0.08664927699619847
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Rh': 4},{'Rh': 2},0.0,-0.8261420628860648,0.58242536,0.3030798405697485
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Rh': 1},{'Cu': 4},{'Cu': 2},0.0,-1.6050104117894852,0.28458616,-0.08664927699619847
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Rh': 4},"{'Cu': 2, 'Rh': 2}",0.0,-0.6980300782640562,0.62114793,0.4153539501946826
5,mp-1001836_5d83020f30582ea2977ab568,{'Rh': 1},{'Cu': 4},"{'Rh': 2, 'Cu': 2}",0.0,-1.6165846193542517,0.15479548,-0.2264589261863652
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Rh': 3},{'Rh': 9},{'Cu': 7},0.0,-1.5428929899149684,0.53794914,-0.4482398176725321
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Rh': 7},0.0,-0.5692176673321582,0.13472416,0.03459185756713656
8,mp-10032_5d83020e30582ea2977a710a,{'Rh': 3},"{'Cu': 3, 'Rh': 8}","{'Cu': 2, 'Rh': 2}",0.0,-1.6033422406424434,0.49451607,-0.31589960666499733
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Rh': 3, 'Cu': 8}","{'Rh': 2, 'Cu': 2}",0.0,-0.5872214896141797,0.40031025,0.07701612954059943
10,mp-10032_5d83020e30582ea2977a71d5,{'Rh': 2},"{'Cu': 3, 'Rh': 2}","{'Cu': 2, 'Rh': 5}",0.0,-1.701313130282683,-0.15144633,-0.4623703858938573
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Rh': 3, 'Cu': 2}","{'Rh': 2, 'Cu': 5}",0.0,-0.6179839659101679,0.06732292,0.13209257679225841
12,mp-10032_5d83020e30582ea2977a71d6,{'Rh': 1},"{'Cu': 2, 'Rh': 2}","{'Cu': 1, 'Rh': 2}",0.0,-1.5944539643469295,0.28394553,-0.10931584595479521
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Rh': 2, 'Cu': 2}","{'Rh': 1, 'Cu': 2}",0.0,-0.6808490047717535,0.5786186,0.26025390066915244
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'Rh': 4},{'Rh': 1},0.0,-0.8481637074031277,0.4917535,0.2731219133127814
15,mp-10032_5d83020e30582ea2977a71d8,{'Rh': 1},{'Cu': 4},{'Cu': 1},0.0,-1.6573132908832429,0.19671811,-0.08386516953730393
16,mp-10032_5d83020e30582ea2977a71da,{'Rh': 1},"{'Cu': 2, 'Rh': 4}","{'Cu': 1, 'Rh': 2}",0.0,-1.558892412850012,0.5754348,-0.0914091716941066
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'Rh': 2, 'Cu': 4}","{'Rh': 1, 'Cu': 2}",0.0,-0.5279154421028752,0.8185622,0.33375156647898646
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'Rh': 4},{'Rh': 1},0.0,-0.8481637074031277,0.4917535,0.2731219133127814
19,mp-10032_5d83020e30582ea2977a71db,{'Rh': 1},{'Cu': 4},{'Cu': 1},0.0,-1.6573132908832429,0.19671811,-0.08386516953730393
20,mp-10032_5d83020e30582ea2977a71dc,{'Rh': 3},"{'Cu': 3, 'Rh': 6}","{'Cu': 4, 'Rh': 5}",0.0,-1.5249792180415105,0.42571592,-0.4720746114160088
