,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Sb': 4},{'Sb': 2},0.0,-0.2657026368173502,0.65945655,0.6336191943323394
1,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Cu': 4},{'Cu': 2},0.0,0.04631795456273486,0.6066872,0.6630706790251415
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Sb': 4},{'Sb': 2},0.0,-0.2657026368173502,0.65945655,0.6336191943323394
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Cu': 4},{'Cu': 2},0.0,0.04631795456273486,0.6066872,0.6630706790251415
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Sb': 4},"{'Cu': 2, 'Sb': 2}",0.0,-0.3028621470425803,0.5800762,0.4063637025920118
5,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Cu': 4},"{'Sb': 2, 'Cu': 2}",0.0,0.06419400739544415,0.57847583,0.7174527458654689
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Cu': 7},0.0,-0.05310034136012636,0.9219708,1.0149241308263028
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Sb': 7},0.0,-0.3991168935612074,-0.3851203,0.010588320296446695
8,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Cu': 3, 'Sb': 8}","{'Cu': 2, 'Sb': 2}",0.0,0.010444410951307185,0.863273,0.8880649891892884
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Sb': 3, 'Cu': 8}","{'Sb': 2, 'Cu': 2}",0.0,-0.3996053541194185,0.4995337,0.14153896937915922
10,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Cu': 3, 'Sb': 2}","{'Cu': 2, 'Sb': 5}",0.0,0.09388773999860545,0.7044828,0.7065884622031476
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Sb': 3, 'Cu': 2}","{'Sb': 2, 'Cu': 5}",0.0,-0.3425968181439955,0.19044328,-0.07098385030703147
12,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Cu': 2, 'Sb': 2}","{'Cu': 1, 'Sb': 2}",0.0,0.04160171411148546,0.69526076,0.6738866757706267
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Sb': 2, 'Cu': 2}","{'Sb': 1, 'Cu': 2}",0.0,-0.5281441376888096,0.64266557,0.3151261547809651
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'Sb': 4},{'Sb': 1},0.0,-0.29063559774671405,0.6872187,0.6151932279795528
15,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Cu': 4},{'Cu': 1},0.0,0.04578522770704686,0.5852772,0.6859868770827067
16,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Cu': 2, 'Sb': 4}","{'Cu': 1, 'Sb': 2}",0.0,0.16328831427592785,0.7681904,0.7549754560378659
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'Sb': 2, 'Cu': 4}","{'Sb': 1, 'Cu': 2}",0.0,-0.2688081489060805,0.9196628,0.3881042000726275
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'Sb': 4},{'Sb': 1},0.0,-0.29063559774671405,0.6872187,0.6151932279795528
19,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Cu': 4},{'Cu': 1},0.0,0.04578522770704686,0.5852772,0.6859868770827067
20,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Cu': 3, 'Sb': 6}","{'Cu': 4, 'Sb': 5}",0.0,0.01760881612201175,0.7986714,1.0717951658982987
21,mp-10032_5d83020e30582ea2977a71dc,{'Cu': 3},"{'Sb': 3, 'Cu': 6}","{'Sb': 4, 'Cu': 5}",0.0,-0.2075248063042907,0.47877645,0.12717256581097833
22,mp-10032_5d83020e30582ea2977a71e0,{'Sb': 1},"{'Cu': 2, 'Sb': 3}","{'Cu': 1, 'Sb': 2}",0.0,0.08972193619733396,0.70978975,0.6758172529928476
23,mp-10032_5d83020e30582ea2977a71e0,{'Cu': 1},"{'Sb': 2, 'Cu': 3}","{'Sb': 1, 'Cu': 2}",0.0,-0.427895123972514,0.8138829,0.3663478988339612
24,mp-10032_5d83020e30582ea2977a71e1,{'Sb': 2},"{'Cu': 3, 'Sb': 6}","{'Cu': 3, 'Sb': 2}",0.0,0.015283492711595304,0.7476407,0.9848095324475991
25,mp-10032_5d83020e30582ea2977a71e1,{'Cu': 2},"{'Sb': 3, 'Cu': 6}","{'Sb': 3, 'Cu': 2}",0.0,-0.2801060968090493,0.3138229,0.2573399841451812
26,mp-10032_5d83020e30582ea2977a71e2,{'Cu': 1},{'Sb': 4},{'Sb': 1},0.0,-0.29063559774671405,0.6872187,0.6151932279795528
27,mp-10032_5d83020e30582ea2977a71e2,{'Sb': 1},{'Cu': 4},{'Cu': 1},0.0,0.04578522770704686,0.5852772,0.6859868770827067
28,mp-10032_5d83020e30582ea2977a748b,{'Sb': 1},{'Sb': 3},{'Cu': 2},0.0,0.019225985389603538,0.59648204,0.48590980112132054
29,mp-10032_5d83020e30582ea2977a748b,{'Cu': 1},{'Cu': 3},{'Sb': 2},0.0,-0.8265825321909166,0.16089383,0.07200707569645634
30,mp-10032_5d83020e30582ea2977a7490,"{'Cu': 1, 'Sb': 2}","{'Cu': 1, 'Sb': 6}","{'Cu': 4, 'Sb': 3}",0.0,0.03546723737050958,0.40235597,0.5470906356880677
31,mp-10032_5d83020e30582ea2977a7490,"{'Sb': 1, 'Cu': 2}","{'Sb': 1, 'Cu': 6}","{'Sb': 4, 'Cu': 3}",0.0,0.011057374102905752,0.09650409,0.3556136500616512
32,mp-10032_5d83020e30582ea2977a7491,"{'Cu': 1, 'Sb': 2}","{'Cu': 1, 'Sb': 6}","{'Cu': 5, 'Sb': 3}",0.0,0.06015937776231462,0.3829936,0.5964268515513511
33,mp-10032_5d83020e30582ea2977a7491,"{'Sb': 1, 'Cu': 2}","{'Sb': 1, 'Cu': 6}","{'Sb': 5, 'Cu': 3}",0.0,0.050112846708571315,0.046293713,0.38087509945295367
