,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'Sn': 4},{'Sn': 2},0.0,-0.37702861247619057,0.5993211,0.4583214229152015
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'Cu': 4},{'Cu': 2},0.0,0.026155464102434765,0.4259867,0.6432987737561564
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'Sn': 4},{'Sn': 2},0.0,-0.37702861247619057,0.5993211,0.4583214229152015
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'Cu': 4},{'Cu': 2},0.0,0.026155464102434765,0.4259867,0.6432987737561564
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'Sn': 4},"{'Cu': 2, 'Sn': 2}",0.0,-0.2651313082474388,0.47412896,0.4042651941207489
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'Cu': 4},"{'Sn': 2, 'Cu': 2}",0.0,0.05879537521709868,0.30293941,0.7102348755396073
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'Cu': 7},0.0,0.1233717780547505,0.33214346,0.8413983831939932
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'Sn': 7},0.0,-0.39626069495076477,0.084555805,-0.09095753937070206
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'Cu': 3, 'Sn': 8}","{'Cu': 2, 'Sn': 2}",0.0,-0.006217984676463601,0.4773859,0.7477245851948605
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'Sn': 3, 'Cu': 8}","{'Sn': 2, 'Cu': 2}",0.0,-0.3956479224402041,0.5851848,0.1931280569448369
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'Cu': 3, 'Sn': 2}","{'Cu': 2, 'Sn': 5}",0.0,0.05349931525436267,0.3813917,0.543467674143838
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'Sn': 3, 'Cu': 2}","{'Sn': 2, 'Cu': 5}",0.0,-0.3907174920220091,0.020644903,-0.006324209532266146
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'Cu': 2, 'Sn': 2}","{'Cu': 1, 'Sn': 2}",0.0,0.04701645097894228,0.3559282,0.6531918596980211
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'Sn': 2, 'Cu': 2}","{'Sn': 1, 'Cu': 2}",0.0,-0.5264351169211283,0.52721304,0.3972740467485716
