,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Cu': 1},{'W': 4},{'W': 2},0.0,-0.7550576085190219,0.2650315,0.5294190349836199
1,mp-10015_5d83020d30582ea2977a44b2,{'W': 1},{'Cu': 4},{'Cu': 2},0.0,-1.82406403473404,-1.3804581,-0.3949848859054994
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Cu': 1},{'W': 4},{'W': 2},0.0,-0.7550576085190219,0.2650315,0.5294190349836199
3,mp-10015_5d83cd3b4eaf9091a4057182,{'W': 1},{'Cu': 4},{'Cu': 2},0.0,-1.82406403473404,-1.3804581,-0.3949848859054994
4,mp-1001836_5d83020f30582ea2977ab568,{'Cu': 1},{'W': 4},"{'Cu': 2, 'W': 2}",0.0,-0.7998166543775689,0.43817908,0.5586389764083938
5,mp-1001836_5d83020f30582ea2977ab568,{'W': 1},{'Cu': 4},"{'W': 2, 'Cu': 2}",0.0,-1.9179323167837463,-0.9141922,-0.3568910168183647
6,mp-1002114_5d83020f30582ea2977ab8e9,{'W': 3},{'W': 9},{'Cu': 7},0.0,-1.3400114489022301,-1.078501,-0.8100831422589846
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Cu': 3},{'Cu': 9},{'W': 7},0.0,-0.5504899720099374,0.058045477,0.07462430559127708
8,mp-10032_5d83020e30582ea2977a710a,{'W': 3},"{'Cu': 3, 'W': 8}","{'Cu': 2, 'W': 2}",0.0,-1.3219914011631022,-0.4708893,-0.48877824337663245
9,mp-10032_5d83020e30582ea2977a710a,{'Cu': 3},"{'W': 3, 'Cu': 8}","{'W': 2, 'Cu': 2}",0.0,-0.6077109490387151,0.45679775,0.08347953508914835
10,mp-10032_5d83020e30582ea2977a71d5,{'W': 2},"{'Cu': 3, 'W': 2}","{'Cu': 2, 'W': 5}",0.0,-1.6150991710824787,-1.0117126,-0.6827661504280235
11,mp-10032_5d83020e30582ea2977a71d5,{'Cu': 2},"{'W': 3, 'Cu': 2}","{'W': 2, 'Cu': 5}",0.0,-0.7767659613629219,-0.10852722,0.06468360237751743
12,mp-10032_5d83020e30582ea2977a71d6,{'W': 1},"{'Cu': 2, 'W': 2}","{'Cu': 1, 'W': 2}",0.0,-1.7725379171255042,-0.8088381,-0.3381037062879503
13,mp-10032_5d83020e30582ea2977a71d6,{'Cu': 1},"{'W': 2, 'Cu': 2}","{'W': 1, 'Cu': 2}",0.0,-0.7631056924853551,0.544519,0.3187782574361168
14,mp-10032_5d83020e30582ea2977a71d8,{'Cu': 1},{'W': 4},{'W': 1},0.0,-0.811582079535617,0.2702148,0.5053248060177986
15,mp-10032_5d83020e30582ea2977a71d8,{'W': 1},{'Cu': 4},{'Cu': 1},0.0,-1.9092930484196087,-1.4403148,-0.41058524055937373
16,mp-10032_5d83020e30582ea2977a71da,{'W': 1},"{'Cu': 2, 'W': 4}","{'Cu': 1, 'W': 2}",0.0,-1.720415946021178,-0.62115574,-0.3200419138798833
17,mp-10032_5d83020e30582ea2977a71da,{'Cu': 1},"{'W': 2, 'Cu': 4}","{'W': 1, 'Cu': 2}",0.0,-0.6216537293168147,0.8400104,0.41076258650674113
18,mp-10032_5d83020e30582ea2977a71db,{'Cu': 1},{'W': 4},{'W': 1},0.0,-0.811582079535617,0.2702148,0.5053248060177986
19,mp-10032_5d83020e30582ea2977a71db,{'W': 1},{'Cu': 4},{'Cu': 1},0.0,-1.9092930484196087,-1.4403148,-0.41058524055937373
20,mp-10032_5d83020e30582ea2977a71dc,{'W': 3},"{'Cu': 3, 'W': 6}","{'Cu': 4, 'W': 5}",0.0,-1.316406224836033,-0.6501932,-0.5234222343877852
21,mp-10032_5d83020e30582ea2977a71dc,{'Cu': 3},"{'W': 3, 'Cu': 6}","{'W': 4, 'Cu': 5}",0.0,-0.7069472143017348,0.25717536,0.17526032961757781
22,mp-10032_5d83020e30582ea2977a71e0,{'W': 1},"{'Cu': 2, 'W': 3}","{'Cu': 1, 'W': 2}",0.0,-1.6947851078460154,-0.8629697,-0.33202157476723637
23,mp-10032_5d83020e30582ea2977a71e0,{'Cu': 1},"{'W': 2, 'Cu': 3}","{'W': 1, 'Cu': 2}",0.0,-0.7152040755454526,0.6809791,0.31863692800346977
24,mp-10032_5d83020e30582ea2977a71e1,{'W': 2},"{'Cu': 3, 'W': 6}","{'Cu': 3, 'W': 2}",0.0,-1.3951053169792762,-0.64909345,-0.7235658198768321
25,mp-10032_5d83020e30582ea2977a71e1,{'Cu': 2},"{'W': 3, 'Cu': 6}","{'W': 3, 'Cu': 2}",0.0,-0.7053221498844419,0.33303615,0.16516236781643112
26,mp-10032_5d83020e30582ea2977a71e2,{'Cu': 1},{'W': 4},{'W': 1},0.0,-0.811582079535617,0.2702148,0.5053248060177986
27,mp-10032_5d83020e30582ea2977a71e2,{'W': 1},{'Cu': 4},{'Cu': 1},0.0,-1.9092930484196087,-1.4403148,-0.41058524055937373
