,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ga': 1},{'Se': 4},{'Se': 2},0.0,0.00977870962888643,1.4662763,-0.02222967895413867
1,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'Ga': 4},{'Ga': 2},0.0,0.045008214968142994,1.168371,1.0087823049197937
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ga': 1},{'Se': 4},{'Se': 2},0.0,0.00977870962888643,1.4662763,-0.02222967895413867
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'Ga': 4},{'Ga': 2},0.0,0.045008214968142994,1.168371,1.0087823049197937
4,mp-1001836_5d83020f30582ea2977ab568,{'Ga': 1},{'Se': 4},"{'Ga': 2, 'Se': 2}",0.0,-0.00029027084008375595,0.7760532,0.2703722146837798
5,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'Ga': 4},"{'Se': 2, 'Ga': 2}",0.0,-0.025227811662002247,1.0179344,0.6557550052226135
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'Ga': 7},0.0,0.0042469672672308745,2.442556,1.3608012534933471
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ga': 3},{'Ga': 9},{'Se': 7},0.0,-0.07584868047573044,0.24817586,0.6644181757296641
8,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'Ga': 3, 'Se': 8}","{'Ga': 2, 'Se': 2}",0.0,-0.024679043478464027,0.7863546,1.2935096405809534
9,mp-10032_5d83020e30582ea2977a710a,{'Ga': 3},"{'Se': 3, 'Ga': 8}","{'Se': 2, 'Ga': 2}",0.0,-0.07156686893834932,0.30398783,0.43478795109417
10,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'Ga': 3, 'Se': 2}","{'Ga': 2, 'Se': 5}",0.0,-0.020590457739977103,2.120955,0.9134085858282484
11,mp-10032_5d83020e30582ea2977a71d5,{'Ga': 2},"{'Se': 3, 'Ga': 2}","{'Se': 2, 'Ga': 5}",0.0,-0.01858514761468833,0.109892495,0.0909427138520226
12,mp-10032_5d83020e30582ea2977a71d6,{'Se': 1},"{'Ga': 2, 'Se': 2}","{'Ga': 1, 'Se': 2}",0.0,-0.018794282375040827,1.1358087,0.06219345350978618
13,mp-10032_5d83020e30582ea2977a71d6,{'Ga': 1},"{'Se': 2, 'Ga': 2}","{'Se': 1, 'Ga': 2}",0.0,-0.0921543861265195,0.17246927,0.20642149916831845
