,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ga': 1},{'V': 4},{'V': 2},0.0,0.06840307524539534,-0.12177846,0.3821775832711259
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Ga': 4},{'Ga': 2},0.0,-1.502187204903016,-1.032751,0.14137166670825077
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ga': 1},{'V': 4},{'V': 2},0.0,0.06840307524539534,-0.12177846,0.3821775832711259
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Ga': 4},{'Ga': 2},0.0,-1.502187204903016,-1.032751,0.14137166670825077
4,mp-1001836_5d83020f30582ea2977ab568,{'Ga': 1},{'V': 4},"{'Ga': 2, 'V': 2}",0.0,0.019812536600119893,-0.14028634,0.6235002824723027
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Ga': 4},"{'V': 2, 'Ga': 2}",0.0,-1.1731554257966172,-0.8423228,0.12715673707667796
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Ga': 7},0.0,-2.3892803303637664,-1.4263978,-0.7157565719701862
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ga': 3},{'Ga': 9},{'V': 7},0.0,-0.37397010559271243,-0.042954367,0.45575968974300946
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Ga': 3, 'V': 8}","{'Ga': 2, 'V': 2}",0.0,-1.9482565884550054,-0.6341452,-0.7500023320933643
9,mp-10032_5d83020e30582ea2977a710a,{'Ga': 3},"{'V': 3, 'Ga': 8}","{'V': 2, 'Ga': 2}",0.0,0.18202412196558304,0.017349912,0.43381754534600897
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Ga': 3, 'V': 2}","{'Ga': 2, 'V': 5}",0.0,-1.680989285779679,-1.1063144,-0.6757486797025007
11,mp-10032_5d83020e30582ea2977a71d5,{'Ga': 2},"{'V': 3, 'Ga': 2}","{'V': 2, 'Ga': 5}",0.0,0.043355981459379654,-0.25112954,0.5318930766881546
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Ga': 2, 'V': 2}","{'Ga': 1, 'V': 2}",0.0,-1.546577835611662,-1.0411519,-0.2283137152994555
13,mp-10032_5d83020e30582ea2977a71d6,{'Ga': 1},"{'V': 2, 'Ga': 2}","{'V': 1, 'Ga': 2}",0.0,0.07139248548086109,-0.032183222,0.5170465324683092
14,mp-10032_5d83020e30582ea2977a71d8,{'Ga': 1},{'V': 4},{'V': 1},0.0,0.06169436081475969,-0.17756516,0.3807397027918516
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Ga': 4},{'Ga': 1},0.0,-1.6453284523452432,-1.0190048,0.13597045974945596
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Ga': 2, 'V': 4}","{'Ga': 1, 'V': 2}",0.0,-1.5171444549413058,-1.0666733,-0.15088743416803443
17,mp-10032_5d83020e30582ea2977a71da,{'Ga': 1},"{'V': 2, 'Ga': 4}","{'V': 1, 'Ga': 2}",0.0,0.13614256998856888,0.0051803696,0.47928353280850916
