,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ge': 1},{'Se': 4},{'Se': 2},0.0,0.10143872804820006,0.9206064,0.41493788773264717
1,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'Ge': 4},{'Ge': 2},0.0,-0.009988931887667259,1.181284,0.6884207981726561
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ge': 1},{'Se': 4},{'Se': 2},0.0,0.10143872804820006,0.9206064,0.41493788773264717
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'Ge': 4},{'Ge': 2},0.0,-0.009988931887667259,1.181284,0.6884207981726561
4,mp-1001836_5d83020f30582ea2977ab568,{'Ge': 1},{'Se': 4},"{'Ge': 2, 'Se': 2}",0.0,0.025258445839798065,0.60678357,0.6431411396204633
5,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'Ge': 4},"{'Se': 2, 'Ge': 2}",0.0,0.017654536795948448,0.8230766,0.25081045056668294
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'Ge': 7},0.0,-0.02630516616271912,2.0878942,1.419087387435258
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ge': 3},{'Ge': 9},{'Se': 7},0.0,-0.05475595022884492,0.116630375,0.7929463913953697
8,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'Ge': 3, 'Se': 8}","{'Ge': 2, 'Se': 2}",0.0,-0.017712794652478582,0.5279177,1.5455726448851934
9,mp-10032_5d83020e30582ea2977a710a,{'Ge': 3},"{'Se': 3, 'Ge': 8}","{'Se': 2, 'Ge': 2}",0.0,-0.04719654171910948,0.64588267,0.6276326061622525
10,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'Ge': 3, 'Se': 2}","{'Ge': 2, 'Se': 5}",0.0,0.0030215534717645395,1.9162815,0.6368943476409774
11,mp-10032_5d83020e30582ea2977a71d5,{'Ge': 2},"{'Se': 3, 'Ge': 2}","{'Se': 2, 'Ge': 5}",0.0,-0.0051055213172137405,0.24744132,0.21827220478160458
12,mp-10032_5d83020e30582ea2977a71d6,{'Se': 1},"{'Ge': 2, 'Se': 2}","{'Ge': 1, 'Se': 2}",0.0,0.0026709374337381747,0.82292503,0.26045428873525067
13,mp-10032_5d83020e30582ea2977a71d6,{'Ge': 1},"{'Se': 2, 'Ge': 2}","{'Se': 1, 'Ge': 2}",0.0,0.05747835671819082,0.36098555,0.45356964555205814
14,mp-10032_5d83020e30582ea2977a71d8,{'Ge': 1},{'Se': 4},{'Se': 1},0.0,0.07632772132412043,0.22884955,0.40800233076543635
15,mp-10032_5d83020e30582ea2977a71d8,{'Se': 1},{'Ge': 4},{'Ge': 1},0.0,0.007684135466837969,1.5383085,0.558800635057148
16,mp-10032_5d83020e30582ea2977a71da,{'Se': 1},"{'Ge': 2, 'Se': 4}","{'Ge': 1, 'Se': 2}",0.0,0.03131647271466731,0.6688292,0.6008196081382378
17,mp-10032_5d83020e30582ea2977a71da,{'Ge': 1},"{'Se': 2, 'Ge': 4}","{'Se': 1, 'Ge': 2}",0.0,0.021931962933832035,0.488284,0.4971964868239058
18,mp-10032_5d83020e30582ea2977a71db,{'Ge': 1},{'Se': 4},{'Se': 1},0.0,0.07632772132412043,0.22884955,0.40800233076543635
19,mp-10032_5d83020e30582ea2977a71db,{'Se': 1},{'Ge': 4},{'Ge': 1},0.0,0.007684135466837969,1.5383085,0.558800635057148
20,mp-10032_5d83020e30582ea2977a71dc,{'Se': 3},"{'Ge': 3, 'Se': 6}","{'Ge': 4, 'Se': 5}",0.0,-0.019835778881195823,1.8601868,1.7568522039010503
21,mp-10032_5d83020e30582ea2977a71dc,{'Ge': 3},"{'Se': 3, 'Ge': 6}","{'Se': 4, 'Ge': 5}",0.0,-0.05240996198651758,0.3490553,0.7185169020323786
22,mp-10032_5d83020e30582ea2977a71e0,{'Se': 1},"{'Ge': 2, 'Se': 3}","{'Ge': 1, 'Se': 2}",0.0,-0.0011921113928554097,0.81691015,0.20959998861001694
23,mp-10032_5d83020e30582ea2977a71e0,{'Ge': 1},"{'Se': 2, 'Ge': 3}","{'Se': 1, 'Ge': 2}",0.0,-0.014519759960626667,0.26012036,0.2183682453421695
24,mp-10032_5d83020e30582ea2977a71e1,{'Se': 2},"{'Ge': 3, 'Se': 6}","{'Ge': 3, 'Se': 2}",0.0,-0.02637316202421843,1.4177222,1.3023869620863515
25,mp-10032_5d83020e30582ea2977a71e1,{'Ge': 2},"{'Se': 3, 'Ge': 6}","{'Se': 3, 'Ge': 2}",0.0,-0.00819675729798659,0.32592255,0.48636841194326014
26,mp-10032_5d83020e30582ea2977a71e2,{'Ge': 1},{'Se': 4},{'Se': 1},0.0,0.07632772132412043,0.22884955,0.40800233076543635
27,mp-10032_5d83020e30582ea2977a71e2,{'Se': 1},{'Ge': 4},{'Ge': 1},0.0,0.007684135466837969,1.5383085,0.558800635057148
28,mp-10032_5d83020e30582ea2977a748b,{'Se': 1},{'Se': 3},{'Ge': 2},0.0,-0.03474943448366732,1.0240599,0.5329372990095114
29,mp-10032_5d83020e30582ea2977a748b,{'Ge': 1},{'Ge': 3},{'Se': 2},0.0,0.06282807904298668,0.2548045,0.29232570158085663
30,mp-10032_5d83020e30582ea2977a7490,"{'Ge': 1, 'Se': 2}","{'Ge': 1, 'Se': 6}","{'Ge': 4, 'Se': 3}",0.0,-0.014319621735124384,0.9796602,1.385220264281457
31,mp-10032_5d83020e30582ea2977a7490,"{'Se': 1, 'Ge': 2}","{'Se': 1, 'Ge': 6}","{'Se': 4, 'Ge': 3}",0.0,0.015686166189861506,0.7626499,0.8487917206106146
32,mp-10032_5d83020e30582ea2977a7491,"{'Ge': 1, 'Se': 2}","{'Ge': 1, 'Se': 6}","{'Ge': 5, 'Se': 3}",0.0,-0.015125103524423,0.9552783,1.4417176301158336
33,mp-10032_5d83020e30582ea2977a7491,"{'Se': 1, 'Ge': 2}","{'Se': 1, 'Ge': 6}","{'Se': 5, 'Ge': 3}",0.0,0.050312104188383236,0.7079458,0.8624204063268288
34,mp-10032_5d83020e30582ea2977a7492,"{'Ge': 1, 'Se': 4}","{'Ge': 3, 'Se': 8}","{'Ge': 2, 'Se': 5}",0.0,-0.014765182316108589,1.7230797,1.861940704288354
35,mp-10032_5d83020e30582ea2977a7492,"{'Se': 1, 'Ge': 4}","{'Se': 3, 'Ge': 8}","{'Se': 2, 'Ge': 5}",0.0,0.031360784186944664,0.5554471,1.3455880271149905
36,mp-10032_5d83020e30582ea2977a7494,{'Se': 1},"{'Ge': 2, 'Se': 2}",{'Se': 3},0.0,-0.008340053580532362,1.7548604,0.2176324626939075
37,mp-10032_5d83020e30582ea2977a7494,{'Ge': 1},"{'Se': 2, 'Ge': 2}",{'Ge': 3},0.0,-0.022640905904004173,-0.015078211,0.5365951646289554
38,mp-10032_5d83020e30582ea2977a7499,{'Se': 2},"{'Ge': 2, 'Se': 2}",{'Ge': 4},0.0,-0.07491228310769078,1.3605895,0.832592276160036
39,mp-10032_5d83020e30582ea2977a7499,{'Ge': 2},"{'Se': 2, 'Ge': 2}",{'Se': 4},0.0,0.0031764705996591936,0.15446119,0.4898825744246188
40,mp-10032_5d83020e30582ea2977a749b,"{'Ge': 1, 'Se': 3}","{'Ge': 2, 'Se': 7}","{'Ge': 3, 'Se': 4}",0.0,-0.0087219794700955,1.7499261,1.951310555960111
41,mp-10032_5d83020e30582ea2977a749b,"{'Se': 1, 'Ge': 3}","{'Se': 2, 'Ge': 7}","{'Se': 3, 'Ge': 4}",0.0,0.02009823484116421,0.6081656,1.4290177267153263
42,mp-10032_5d83020e30582ea2977a749c,"{'Ge': 1, 'Se': 2}","{'Ge': 1, 'Se': 6}","{'Ge': 5, 'Se': 3}",0.0,-0.015125103524423,0.9552783,1.4417176301158336
43,mp-10032_5d83020e30582ea2977a749c,"{'Se': 1, 'Ge': 2}","{'Se': 1, 'Ge': 6}","{'Se': 5, 'Ge': 3}",0.0,0.050312104188383236,0.7079458,0.8624204063268288
44,mp-10032_5d83020e30582ea2977a749d,"{'Ge': 1, 'Se': 2}","{'Ge': 1, 'Se': 6}","{'Ge': 4, 'Se': 3}",0.0,-0.014319621735124384,0.9796602,1.385220264281457
45,mp-10032_5d83020e30582ea2977a749d,"{'Se': 1, 'Ge': 2}","{'Se': 1, 'Ge': 6}","{'Se': 4, 'Ge': 3}",0.0,0.015686166189861506,0.7626499,0.8487917206106146
46,mp-10032_5d83020e30582ea2977a749f,{'Se': 2},"{'Ge': 3, 'Se': 2}",{'Se': 2},0.0,-0.006830184516544538,1.6391627,0.41975046294369855
47,mp-10032_5d83020e30582ea2977a749f,{'Ge': 2},"{'Se': 3, 'Ge': 2}",{'Ge': 2},0.0,-0.23918565627842864,-0.23182315,0.12725598760634574
48,mp-10032_5d83020e30582ea2977a74a0,{'Se': 2},"{'Ge': 3, 'Se': 2}",{'Se': 2},0.0,-0.006830184516544538,1.6391627,0.41975046294369855
49,mp-10032_5d83020e30582ea2977a74a0,{'Ge': 2},"{'Se': 3, 'Ge': 2}",{'Ge': 2},0.0,-0.23918565627842864,-0.23182315,0.12725598760634574
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Se': 2},"{'Ge': 1, 'Se': 7}","{'Ge': 2, 'Se': 3}",0.0,-0.0251575535990473,1.713215,1.4754291700598183
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Ge': 2},"{'Se': 1, 'Ge': 7}","{'Se': 2, 'Ge': 3}",0.0,-0.06561153747862507,0.24212548,0.5248728704313987
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Se': 2},{'Se': 7},"{'Ge': 3, 'Se': 3}",0.0,-0.01535324675409351,1.7232474,1.2253773798181988
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Ge': 2},{'Ge': 7},"{'Se': 3, 'Ge': 3}",0.0,-0.05990700269549787,-0.014067315,0.22314172544541694
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Se': 3},{'Se': 9},"{'Ge': 2, 'Se': 2}",0.0,-0.019183034676819047,0.5749681,1.4730083953102804
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Ge': 3},{'Ge': 9},"{'Se': 2, 'Ge': 2}",0.0,-0.11635545015180092,0.26805067,0.5623534509610802
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'Se': 3},{'Se': 9},"{'Ge': 3, 'Se': 1}",0.0,-0.006542476737594928,0.6891654,1.374393860773012
57,mp-10032_5d83cd3b4eaf9091a4056b15,{'Ge': 3},{'Ge': 9},"{'Se': 3, 'Ge': 1}",0.0,-0.07354005064302549,0.15308854,0.7004839985500325
58,mp-10032_5d83cd3b4eaf9091a4056b16,{'Se': 1},{'Se': 5},"{'Ge': 2, 'Se': 2}",0.0,-0.0023229668117151843,0.9293535,0.38359606798917345
59,mp-10032_5d83cd3b4eaf9091a4056b16,{'Ge': 1},{'Ge': 5},"{'Se': 2, 'Ge': 2}",0.0,0.059233766155631334,-0.2651673,0.45334670517199777
60,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Se': 3},{'Se': 9},"{'Ge': 2, 'Se': 2}",0.0,-0.019183034676819047,0.5749681,1.4730083953102804
61,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Ge': 3},{'Ge': 9},"{'Se': 2, 'Ge': 2}",0.0,-0.11635545015180092,0.26805067,0.5623534509610802
62,mp-10032_5d83cd3b4eaf9091a4056b1b,{'Se': 2},{'Se': 8},"{'Ge': 2, 'Se': 1}",0.0,-0.007151833993612457,0.4587727,1.0974074626543848
63,mp-10032_5d83cd3b4eaf9091a4056b1b,{'Ge': 2},{'Ge': 8},"{'Se': 2, 'Ge': 1}",0.0,-0.13074616854987667,0.13928904,0.43839752976138263
64,mp-10032_5d83cd3b4eaf9091a4056b1d,{'Se': 3},"{'Ge': 3, 'Se': 10}","{'Ge': 4, 'Se': 4}",0.0,-0.0046105866668011055,1.8157436,1.7165305846771668
65,mp-10032_5d83cd3b4eaf9091a4056b1d,{'Ge': 3},"{'Se': 3, 'Ge': 10}","{'Se': 4, 'Ge': 4}",0.0,-0.0332643652003538,0.6354222,0.7049310704993625
66,mp-10032_5d83cd3b4eaf9091a4056b1e,{'Se': 2},"{'Ge': 1, 'Se': 7}","{'Ge': 2, 'Se': 3}",0.0,-0.0251575535990473,1.713215,1.4754291700598183
67,mp-10032_5d83cd3b4eaf9091a4056b1e,{'Ge': 2},"{'Se': 1, 'Ge': 7}","{'Se': 2, 'Ge': 3}",0.0,-0.06561153747862507,0.24212548,0.5248728704313987
68,mp-10032_5d83cd3b4eaf9091a4056b23,{'Ge': 1},"{'Ge': 1, 'Se': 2}",{'Se': 2},0.0,0.053996710749855396,0.71388274,0.175758148753761
69,mp-10032_5d83cd3b4eaf9091a4056b23,{'Se': 1},"{'Se': 1, 'Ge': 2}",{'Ge': 2},0.0,-0.013763984404733752,0.98843086,0.7251125011581867
