,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ge': 1},{'V': 4},{'V': 2},0.0,0.14714539714800767,0.098045565,0.4474658960520128
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Ge': 4},{'Ge': 2},0.0,-1.4096388675240437,-0.7117905,0.05880569137226921
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ge': 1},{'V': 4},{'V': 2},0.0,0.14714539714800767,0.098045565,0.4474658960520128
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Ge': 4},{'Ge': 2},0.0,-1.4096388675240437,-0.7117905,0.05880569137226921
4,mp-1001836_5d83020f30582ea2977ab568,{'Ge': 1},{'V': 4},"{'Ge': 2, 'V': 2}",0.0,-0.0651513917799335,0.07220118,0.5395024234787102
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Ge': 4},"{'V': 2, 'Ge': 2}",0.0,-1.232247770417109,-0.8568641,-0.1505275789060043
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Ge': 7},0.0,-2.4999239453063367,-1.1945007,-0.6617757322586373
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ge': 3},{'Ge': 9},{'V': 7},0.0,-0.017793968717862495,0.13519554,0.7781197480663105
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Ge': 3, 'V': 8}","{'Ge': 2, 'V': 2}",0.0,-2.0685209037812244,-1.0105733,-0.7593881975976849
9,mp-10032_5d83020e30582ea2977a710a,{'Ge': 3},"{'V': 3, 'Ge': 8}","{'V': 2, 'Ge': 2}",0.0,0.11787407448225395,0.42014658,0.7448064002552419
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Ge': 3, 'V': 2}","{'Ge': 2, 'V': 5}",0.0,-1.6979304541786677,-1.6608547,-0.6599431928857119
11,mp-10032_5d83020e30582ea2977a71d5,{'Ge': 2},"{'V': 3, 'Ge': 2}","{'V': 2, 'Ge': 5}",0.0,-0.04447999993503762,-0.25867486,0.518296871376035
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Ge': 2, 'V': 2}","{'Ge': 1, 'V': 2}",0.0,-1.5430807156430355,-1.1319009,-0.21610338790475705
13,mp-10032_5d83020e30582ea2977a71d6,{'Ge': 1},"{'V': 2, 'Ge': 2}","{'V': 1, 'Ge': 2}",0.0,0.030195494916543445,-0.14233641,0.36941175185044667
14,mp-10032_5d83020e30582ea2977a71d8,{'Ge': 1},{'V': 4},{'V': 1},0.0,0.14134957727845981,0.054404195,0.47370108287483204
