,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'In': 1},{'Sn': 4},{'Sn': 2},0.0,-0.004266962215082571,0.5560161,0.7293026950280729
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'In': 4},{'In': 2},0.0,0.0075097031079433005,0.61667824,0.7251855408590356
2,mp-10015_5d83cd3b4eaf9091a4057182,{'In': 1},{'Sn': 4},{'Sn': 2},0.0,-0.004266962215082571,0.5560161,0.7293026950280729
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'In': 4},{'In': 2},0.0,0.0075097031079433005,0.61667824,0.7251855408590356
4,mp-1001836_5d83020f30582ea2977ab568,{'In': 1},{'Sn': 4},"{'In': 2, 'Sn': 2}",0.0,0.019628089168873833,0.24282672,0.6978314566209314
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'In': 4},"{'Sn': 2, 'In': 2}",0.0,-0.01321818440889916,0.42657605,0.7941260376775688
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'In': 7},0.0,-0.019493570242868068,0.4502006,0.7628862410154145
7,mp-1002114_5d83020f30582ea2977ab8e9,{'In': 3},{'In': 9},{'Sn': 7},0.0,0.022887801186728056,0.2820444,0.6827615697621013
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'In': 3, 'Sn': 8}","{'In': 2, 'Sn': 2}",0.0,-0.02927512974378667,0.3927581,0.7579967597623479
9,mp-10032_5d83020e30582ea2977a710a,{'In': 3},"{'Sn': 3, 'In': 8}","{'Sn': 2, 'In': 2}",0.0,-0.04065886617360297,0.10904471,0.6906338888994029
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'In': 3, 'Sn': 2}","{'In': 2, 'Sn': 5}",0.0,0.0348788265395604,0.3473292,0.5276957657930661
11,mp-10032_5d83020e30582ea2977a71d5,{'In': 2},"{'Sn': 3, 'In': 2}","{'Sn': 2, 'In': 5}",0.0,0.014968715452925658,0.007954375,0.7545378769096773
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'In': 2, 'Sn': 2}","{'In': 1, 'Sn': 2}",0.0,0.004209606925479026,0.3647079,0.5822914292592344
13,mp-10032_5d83020e30582ea2977a71d6,{'In': 1},"{'Sn': 2, 'In': 2}","{'Sn': 1, 'In': 2}",0.0,-0.014080464958025458,0.16201253,0.7972362573976521
14,mp-10032_5d83020e30582ea2977a71d8,{'In': 1},{'Sn': 4},{'Sn': 1},0.0,-0.004015045106186351,0.3352586,0.741527253865754
15,mp-10032_5d83020e30582ea2977a71d8,{'Sn': 1},{'In': 4},{'In': 1},0.0,0.009364648615948344,0.85199183,0.7643491496132971
16,mp-10032_5d83020e30582ea2977a71da,{'Sn': 1},"{'In': 2, 'Sn': 4}","{'In': 1, 'Sn': 2}",0.0,0.11497407238473367,0.3105094,0.7906676879347823
17,mp-10032_5d83020e30582ea2977a71da,{'In': 1},"{'Sn': 2, 'In': 4}","{'Sn': 1, 'In': 2}",0.0,-0.029777749080081784,0.3188575,0.8243086911187205
18,mp-10032_5d83020e30582ea2977a71db,{'In': 1},{'Sn': 4},{'Sn': 1},0.0,-0.004015045106186351,0.3352586,0.741527253865754
19,mp-10032_5d83020e30582ea2977a71db,{'Sn': 1},{'In': 4},{'In': 1},0.0,0.009364648615948344,0.85199183,0.7643491496132971
20,mp-10032_5d83020e30582ea2977a71dc,{'Sn': 3},"{'In': 3, 'Sn': 6}","{'In': 4, 'Sn': 5}",0.0,-0.01242049455807598,0.37969327,0.7875897454856727
21,mp-10032_5d83020e30582ea2977a71dc,{'In': 3},"{'Sn': 3, 'In': 6}","{'Sn': 4, 'In': 5}",0.0,-0.002621493513024695,0.14189506,0.7191833576093504
22,mp-10032_5d83020e30582ea2977a71e0,{'Sn': 1},"{'In': 2, 'Sn': 3}","{'In': 1, 'Sn': 2}",0.0,0.0701574681227803,0.2537248,0.6452915651141747
23,mp-10032_5d83020e30582ea2977a71e0,{'In': 1},"{'Sn': 2, 'In': 3}","{'Sn': 1, 'In': 2}",0.0,-0.027570187499815876,0.17084335,0.7799632790113873
24,mp-10032_5d83020e30582ea2977a71e1,{'Sn': 2},"{'In': 3, 'Sn': 6}","{'In': 3, 'Sn': 2}",0.0,-0.03215289968071024,0.30395898,0.7678558230710465
25,mp-10032_5d83020e30582ea2977a71e1,{'In': 2},"{'Sn': 3, 'In': 6}","{'Sn': 3, 'In': 2}",0.0,-0.008604518748540832,0.039120533,0.6403396325660685
26,mp-10032_5d83020e30582ea2977a71e2,{'In': 1},{'Sn': 4},{'Sn': 1},0.0,-0.004015045106186351,0.3352586,0.741527253865754
27,mp-10032_5d83020e30582ea2977a71e2,{'Sn': 1},{'In': 4},{'In': 1},0.0,0.009364648615948344,0.85199183,0.7643491496132971
28,mp-10032_5d83020e30582ea2977a748b,{'Sn': 1},{'Sn': 3},{'In': 2},0.0,-0.012152514363298042,0.4084618,0.556026298938971
29,mp-10032_5d83020e30582ea2977a748b,{'In': 1},{'In': 3},{'Sn': 2},0.0,-0.03375054753074106,0.3544236,0.6304391180769962
30,mp-10032_5d83020e30582ea2977a7490,"{'In': 1, 'Sn': 2}","{'In': 1, 'Sn': 6}","{'In': 4, 'Sn': 3}",0.0,-0.04396094904256294,0.32930627,0.6544602856694203
31,mp-10032_5d83020e30582ea2977a7490,"{'Sn': 1, 'In': 2}","{'Sn': 1, 'In': 6}","{'Sn': 4, 'In': 3}",0.0,-0.07454494383005203,0.21105585,0.6426630667841907
32,mp-10032_5d83020e30582ea2977a7491,"{'In': 1, 'Sn': 2}","{'In': 1, 'Sn': 6}","{'In': 5, 'Sn': 3}",0.0,-0.030150353293557218,0.3316709,0.6349451523675718
33,mp-10032_5d83020e30582ea2977a7491,"{'Sn': 1, 'In': 2}","{'Sn': 1, 'In': 6}","{'Sn': 5, 'In': 3}",0.0,-0.03887518444435682,0.23577072,0.622370182949623
34,mp-10032_5d83020e30582ea2977a7492,"{'In': 1, 'Sn': 4}","{'In': 3, 'Sn': 8}","{'In': 2, 'Sn': 5}",0.0,0.018653474587388107,0.48974976,0.9015262291397561
35,mp-10032_5d83020e30582ea2977a7492,"{'Sn': 1, 'In': 4}","{'Sn': 3, 'In': 8}","{'Sn': 2, 'In': 5}",0.0,-0.01897248523152524,0.16425852,0.948174782839231
36,mp-10032_5d83020e30582ea2977a7494,{'Sn': 1},"{'In': 2, 'Sn': 2}",{'Sn': 3},0.0,0.03332685126891449,0.3987703,0.5780745156261186
37,mp-10032_5d83020e30582ea2977a7494,{'In': 1},"{'Sn': 2, 'In': 2}",{'In': 3},0.0,-0.03806809978546841,0.2041431,0.7928706098182682
38,mp-10032_5d83020e30582ea2977a7499,{'Sn': 2},"{'In': 2, 'Sn': 2}",{'In': 4},0.0,-0.021885169686032997,0.42063528,0.6202712613322308
39,mp-10032_5d83020e30582ea2977a7499,{'In': 2},"{'Sn': 2, 'In': 2}",{'Sn': 4},0.0,-0.0359295957315985,0.04202933,0.6450095338653444
40,mp-10032_5d83020e30582ea2977a749b,"{'In': 1, 'Sn': 3}","{'In': 2, 'Sn': 7}","{'In': 3, 'Sn': 4}",0.0,0.013482035310410968,0.31487596,0.8850490153002208
41,mp-10032_5d83020e30582ea2977a749b,"{'Sn': 1, 'In': 3}","{'Sn': 2, 'In': 7}","{'Sn': 3, 'In': 4}",0.0,0.0013984343279257732,0.18391784,0.9609785811547117
42,mp-10032_5d83020e30582ea2977a749c,"{'In': 1, 'Sn': 2}","{'In': 1, 'Sn': 6}","{'In': 5, 'Sn': 3}",0.0,-0.030150353293557218,0.3316709,0.6349451523675718
43,mp-10032_5d83020e30582ea2977a749c,"{'Sn': 1, 'In': 2}","{'Sn': 1, 'In': 6}","{'Sn': 5, 'In': 3}",0.0,-0.03887518444435682,0.23577072,0.622370182949623
44,mp-10032_5d83020e30582ea2977a749d,"{'In': 1, 'Sn': 2}","{'In': 1, 'Sn': 6}","{'In': 4, 'Sn': 3}",0.0,-0.04396094904256294,0.32930627,0.6544602856694203
45,mp-10032_5d83020e30582ea2977a749d,"{'Sn': 1, 'In': 2}","{'Sn': 1, 'In': 6}","{'Sn': 4, 'In': 3}",0.0,-0.07454494383005203,0.21105585,0.6426630667841907
46,mp-10032_5d83020e30582ea2977a749f,{'Sn': 2},"{'In': 3, 'Sn': 2}",{'Sn': 2},0.0,0.036544080739747034,0.30123666,0.6136955398530538
47,mp-10032_5d83020e30582ea2977a749f,{'In': 2},"{'Sn': 3, 'In': 2}",{'In': 2},0.0,-0.0248218686539574,-0.07122176,0.625572705064393
48,mp-10032_5d83020e30582ea2977a74a0,{'Sn': 2},"{'In': 3, 'Sn': 2}",{'Sn': 2},0.0,0.036544080739747034,0.30123666,0.6136955398530538
49,mp-10032_5d83020e30582ea2977a74a0,{'In': 2},"{'Sn': 3, 'In': 2}",{'In': 2},0.0,-0.0248218686539574,-0.07122176,0.625572705064393
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Sn': 2},"{'In': 1, 'Sn': 7}","{'In': 2, 'Sn': 3}",0.0,-0.0033828124070779575,0.37324592,0.6417132732638113
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'In': 2},"{'Sn': 1, 'In': 7}","{'Sn': 2, 'In': 3}",0.0,-0.00031336177586876226,0.11002184,0.6307275052591078
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Sn': 2},{'Sn': 7},"{'In': 3, 'Sn': 3}",0.0,-0.04355787263069097,0.3344065,0.6177580522058198
