,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ir': 1},{'Pd': 4},{'Pd': 2},0.0,-1.6804730879558123,0.48956004,-0.36151664447024834
1,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Ir': 4},{'Ir': 2},0.0,-1.3397581417892392,0.8058985,-0.15720686083130703
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ir': 1},{'Pd': 4},{'Pd': 2},0.0,-1.6804730879558123,0.48956004,-0.36151664447024834
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Ir': 4},{'Ir': 2},0.0,-1.3397581417892392,0.8058985,-0.15720686083130703
4,mp-1001836_5d83020f30582ea2977ab568,{'Ir': 1},{'Pd': 4},"{'Ir': 2, 'Pd': 2}",0.0,-1.7248327402565837,0.60218984,-0.37628752109983943
5,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Ir': 4},"{'Pd': 2, 'Ir': 2}",0.0,-1.348706719162827,0.9063717,-0.08655669616502808
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Ir': 7},0.0,-1.313889511223472,0.57752925,-0.4073635713092666
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ir': 3},{'Ir': 9},{'Pd': 7},0.0,-1.3184926475898218,1.0441183,-0.3653152639130546
8,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'Ir': 3, 'Pd': 8}","{'Ir': 2, 'Pd': 2}",0.0,-1.1053836380589293,0.6451293,-0.21017425004669346
9,mp-10032_5d83020e30582ea2977a710a,{'Ir': 3},"{'Pd': 3, 'Ir': 8}","{'Pd': 2, 'Ir': 2}",0.0,-1.1270081731181927,0.7672281,-0.11696115738021488
10,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'Ir': 3, 'Pd': 2}","{'Ir': 2, 'Pd': 5}",0.0,-1.3935420378771681,0.49415246,-0.355375661865926
