,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ir': 1},{'Se': 4},{'Se': 2},0.0,-1.401679259269246,-0.08282324,-0.10989028322821974
1,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'Ir': 4},{'Ir': 2},0.0,0.0351611888509779,1.4537127,0.7618398341237088
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ir': 1},{'Se': 4},{'Se': 2},0.0,-1.401679259269246,-0.08282324,-0.10989028322821974
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'Ir': 4},{'Ir': 2},0.0,0.0351611888509779,1.4537127,0.7618398341237088
4,mp-1001836_5d83020f30582ea2977ab568,{'Ir': 1},{'Se': 4},"{'Ir': 2, 'Se': 2}",0.0,-1.3060522968338848,0.2017538,-0.015028921758546763
5,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'Ir': 4},"{'Se': 2, 'Ir': 2}",0.0,0.05674590055767378,0.7516647,0.6559791556973881
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'Ir': 7},0.0,-0.04371148993595373,2.4151917,1.1297756113723294
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ir': 3},{'Ir': 9},{'Se': 7},0.0,-1.5387157338326352,0.43271914,-0.2082389018711386
8,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'Ir': 3, 'Se': 8}","{'Ir': 2, 'Se': 2}",0.0,0.005744335957418517,0.8567285,0.901084847235471
9,mp-10032_5d83020e30582ea2977a710a,{'Ir': 3},"{'Se': 3, 'Ir': 8}","{'Se': 2, 'Ir': 2}",0.0,-1.2849050517241831,0.35895586,-0.22526871591152833
10,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'Ir': 3, 'Se': 2}","{'Ir': 2, 'Se': 5}",0.0,0.004874266798909731,1.9835126,0.6685197889394863
11,mp-10032_5d83020e30582ea2977a71d5,{'Ir': 2},"{'Se': 3, 'Ir': 2}","{'Se': 2, 'Ir': 5}",0.0,-1.5543571551681425,-0.013326676,-0.33430484467092036
