,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ir': 1},{'Ti': 4},{'Ti': 2},0.0,-1.4097786635527725,0.24109441,-0.44954130332419895
1,mp-10015_5d83020d30582ea2977a44b2,{'Ti': 1},{'Ir': 4},{'Ir': 2},0.0,-1.3208402890409996,-0.91319907,0.12456608692287503
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ir': 1},{'Ti': 4},{'Ti': 2},0.0,-1.4097786635527725,0.24109441,-0.44954130332419895
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ti': 1},{'Ir': 4},{'Ir': 2},0.0,-1.3208402890409996,-0.91319907,0.12456608692287503
4,mp-1001836_5d83020f30582ea2977ab568,{'Ir': 1},{'Ti': 4},"{'Ir': 2, 'Ti': 2}",0.0,-1.3843819787269904,0.17246012,-0.4684952741382436
5,mp-1001836_5d83020f30582ea2977ab568,{'Ti': 1},{'Ir': 4},"{'Ti': 2, 'Ir': 2}",0.0,-1.27867452986227,-1.0236027,0.2705089511166512
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ti': 3},{'Ti': 9},{'Ir': 7},0.0,-2.3574307899331406,-1.6738839,-0.5621741051943783
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ir': 3},{'Ir': 9},{'Ti': 7},0.0,-1.0771675742626812,0.68396467,-0.5198831677784982
8,mp-10032_5d83020e30582ea2977a710a,{'Ti': 3},"{'Ir': 3, 'Ti': 8}","{'Ir': 2, 'Ti': 2}",0.0,-2.0499490781412475,-1.6061332,-0.558140162601134
9,mp-10032_5d83020e30582ea2977a710a,{'Ir': 3},"{'Ti': 3, 'Ir': 8}","{'Ti': 2, 'Ir': 2}",0.0,-1.0437884181286816,0.70057577,-0.259134038829127
10,mp-10032_5d83020e30582ea2977a71d5,{'Ti': 2},"{'Ir': 3, 'Ti': 2}","{'Ir': 2, 'Ti': 5}",0.0,-1.588596508283097,-1.8915617,-0.6604057558822708
11,mp-10032_5d83020e30582ea2977a71d5,{'Ir': 2},"{'Ti': 3, 'Ir': 2}","{'Ti': 2, 'Ir': 5}",0.0,-1.6220412916244558,-0.24836512,-0.4951753491490733
12,mp-10032_5d83020e30582ea2977a71d6,{'Ti': 1},"{'Ir': 2, 'Ti': 2}","{'Ir': 1, 'Ti': 2}",0.0,-1.2250402828439917,-1.4091086,-0.046424324996366124
13,mp-10032_5d83020e30582ea2977a71d6,{'Ir': 1},"{'Ti': 2, 'Ir': 2}","{'Ti': 1, 'Ir': 2}",0.0,-1.6873025228894245,-0.19931772,-0.4665525984086398
14,mp-10032_5d83020e30582ea2977a71d8,{'Ir': 1},{'Ti': 4},{'Ti': 1},0.0,-1.5995166240678775,-0.40616927,-0.4058473115994439
15,mp-10032_5d83020e30582ea2977a71d8,{'Ti': 1},{'Ir': 4},{'Ir': 1},0.0,-1.3526526134178227,-0.7981608,0.14610866207252304
16,mp-10032_5d83020e30582ea2977a71da,{'Ti': 1},"{'Ir': 2, 'Ti': 4}","{'Ir': 1, 'Ti': 2}",0.0,-1.4632683417600671,-1.3290046,0.03204051377011694
17,mp-10032_5d83020e30582ea2977a71da,{'Ir': 1},"{'Ti': 2, 'Ir': 4}","{'Ti': 1, 'Ir': 2}",0.0,-1.5535112982068056,0.28039318,-0.47627874040417506
18,mp-10032_5d83020e30582ea2977a71db,{'Ir': 1},{'Ti': 4},{'Ti': 1},0.0,-1.5995166240678775,-0.40616927,-0.4058473115994439
19,mp-10032_5d83020e30582ea2977a71db,{'Ti': 1},{'Ir': 4},{'Ir': 1},0.0,-1.3526526134178227,-0.7981608,0.14610866207252304
20,mp-10032_5d83020e30582ea2977a71dc,{'Ti': 3},"{'Ir': 3, 'Ti': 6}","{'Ir': 4, 'Ti': 5}",0.0,-1.8691975581478513,-1.8910321,-0.6963798674310638
21,mp-10032_5d83020e30582ea2977a71dc,{'Ir': 3},"{'Ti': 3, 'Ir': 6}","{'Ti': 4, 'Ir': 5}",0.0,-1.0401311307053738,0.8081004,-0.26363490634993164
22,mp-10032_5d83020e30582ea2977a71e0,{'Ti': 1},"{'Ir': 2, 'Ti': 3}","{'Ir': 1, 'Ti': 2}",0.0,-1.3258333154490596,-1.4261559,-0.06052728486078806
23,mp-10032_5d83020e30582ea2977a71e0,{'Ir': 1},"{'Ti': 2, 'Ir': 3}","{'Ti': 1, 'Ir': 2}",0.0,-1.660979868354234,-0.07512927,-0.4980802958128024
24,mp-10032_5d83020e30582ea2977a71e1,{'Ti': 2},"{'Ir': 3, 'Ti': 6}","{'Ir': 3, 'Ti': 2}",0.0,-1.9414145122356752,-1.8772665,-0.5064780883536345
