,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mn': 1},{'Sb': 4},{'Sb': 2},0.0,-1.5493258367602785,0.11217853,-0.22342626216533443
1,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Mn': 4},{'Mn': 2},0.0,0.04588160229258793,0.3198733,0.4966943914728592
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mn': 1},{'Sb': 4},{'Sb': 2},0.0,-1.5493258367602785,0.11217853,-0.22342626216533443
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Mn': 4},{'Mn': 2},0.0,0.04588160229258793,0.3198733,0.4966943914728592
4,mp-1001836_5d83020f30582ea2977ab568,{'Mn': 1},{'Sb': 4},"{'Mn': 2, 'Sb': 2}",0.0,-1.61498375695553,-0.06374022,-0.28684116846812113
5,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Mn': 4},"{'Sb': 2, 'Mn': 2}",0.0,0.13308974520953976,0.5920264,0.5383944184825288
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Mn': 7},0.0,0.03659037877581246,1.1109548,0.9096175047986543
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mn': 3},{'Mn': 9},{'Sb': 7},0.0,-2.0684410960084256,-0.5879826,-0.42774635232306507
8,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Mn': 3, 'Sb': 8}","{'Mn': 2, 'Sb': 2}",0.0,0.04991310662807235,0.7123749,1.0388818881685369
9,mp-10032_5d83020e30582ea2977a710a,{'Mn': 3},"{'Sb': 3, 'Mn': 8}","{'Sb': 2, 'Mn': 2}",0.0,-2.0218065558661125,0.14370474,-0.4358869115514321
10,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Mn': 3, 'Sb': 2}","{'Mn': 2, 'Sb': 5}",0.0,0.05809754058464119,0.654903,0.6799115812344473
11,mp-10032_5d83020e30582ea2977a71d5,{'Mn': 2},"{'Sb': 3, 'Mn': 2}","{'Sb': 2, 'Mn': 5}",0.0,-2.008547774210398,-0.6990042,-0.5822709147739937
12,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Mn': 2, 'Sb': 2}","{'Mn': 1, 'Sb': 2}",0.0,0.036883328535944476,0.7093439,0.5914092113038427
13,mp-10032_5d83020e30582ea2977a71d6,{'Mn': 1},"{'Sb': 2, 'Mn': 2}","{'Sb': 1, 'Mn': 2}",0.0,-1.9188977608173938,-0.3606759,-0.15668515452937762
