,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mn': 1},{'Sn': 4},{'Sn': 2},0.0,-1.6194451282677362,-0.14760578,-0.27879612196185327
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'Mn': 4},{'Mn': 2},0.0,0.002656080873298932,0.23049001,0.551913995025317
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mn': 1},{'Sn': 4},{'Sn': 2},0.0,-1.6194451282677362,-0.14760578,-0.27879612196185327
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'Mn': 4},{'Mn': 2},0.0,0.002656080873298932,0.23049001,0.551913995025317
4,mp-1001836_5d83020f30582ea2977ab568,{'Mn': 1},{'Sn': 4},"{'Mn': 2, 'Sn': 2}",0.0,-1.8249987704097363,-0.32220277,-0.2850887441212862
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'Mn': 4},"{'Sn': 2, 'Mn': 2}",0.0,0.034530356931003245,0.35980147,0.5242286274327635
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'Mn': 7},0.0,0.1757951693015701,0.3223372,0.7323919271761623
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mn': 3},{'Mn': 9},{'Sn': 7},0.0,-1.8855092560232474,-0.5416549,-0.4958830121521343
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'Mn': 3, 'Sn': 8}","{'Mn': 2, 'Sn': 2}",0.0,0.0566423186641772,0.20996572,0.6632847436111972
9,mp-10032_5d83020e30582ea2977a710a,{'Mn': 3},"{'Sn': 3, 'Mn': 8}","{'Sn': 2, 'Mn': 2}",0.0,-2.1110651375384983,0.2504006,-0.5618605128784203
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'Mn': 3, 'Sn': 2}","{'Mn': 2, 'Sn': 5}",0.0,-0.008580631837228427,0.36277273,0.5416856807683867
11,mp-10032_5d83020e30582ea2977a71d5,{'Mn': 2},"{'Sn': 3, 'Mn': 2}","{'Sn': 2, 'Mn': 5}",0.0,-1.8549441206665007,-0.70567334,-0.662526588442617
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'Mn': 2, 'Sn': 2}","{'Mn': 1, 'Sn': 2}",0.0,-0.008977952594234735,0.3920325,0.6080166234888176
13,mp-10032_5d83020e30582ea2977a71d6,{'Mn': 1},"{'Sn': 2, 'Mn': 2}","{'Sn': 1, 'Mn': 2}",0.0,-1.84571972124445,-0.3227337,-0.330341611841078
14,mp-10032_5d83020e30582ea2977a71d8,{'Mn': 1},{'Sn': 4},{'Sn': 1},0.0,-1.6595778830230499,-0.36803317,-0.33411160789722916
15,mp-10032_5d83020e30582ea2977a71d8,{'Sn': 1},{'Mn': 4},{'Mn': 1},0.0,-0.002876361607736467,0.17486499,0.5404139875113856
16,mp-10032_5d83020e30582ea2977a71da,{'Sn': 1},"{'Mn': 2, 'Sn': 4}","{'Mn': 1, 'Sn': 2}",0.0,0.08155182260067312,0.30685443,0.6689169599895938
17,mp-10032_5d83020e30582ea2977a71da,{'Mn': 1},"{'Sn': 2, 'Mn': 4}","{'Sn': 1, 'Mn': 2}",0.0,-1.7213819789759075,-0.3291282,-0.19030282390049982
18,mp-10032_5d83020e30582ea2977a71db,{'Mn': 1},{'Sn': 4},{'Sn': 1},0.0,-1.6595778830230499,-0.36803317,-0.33411160789722916
19,mp-10032_5d83020e30582ea2977a71db,{'Sn': 1},{'Mn': 4},{'Mn': 1},0.0,-0.002876361607736467,0.17486499,0.5404139875113856
20,mp-10032_5d83020e30582ea2977a71dc,{'Sn': 3},"{'Mn': 3, 'Sn': 6}","{'Mn': 4, 'Sn': 5}",0.0,0.08205160968651871,0.27310076,0.7255061323196225
21,mp-10032_5d83020e30582ea2977a71dc,{'Mn': 3},"{'Sn': 3, 'Mn': 6}","{'Sn': 4, 'Mn': 5}",0.0,-2.0527506955339914,-0.32327515,-0.47170053917488175
22,mp-10032_5d83020e30582ea2977a71e0,{'Sn': 1},"{'Mn': 2, 'Sn': 3}","{'Mn': 1, 'Sn': 2}",0.0,-0.01777876346391195,0.3498584,0.628963962997424
23,mp-10032_5d83020e30582ea2977a71e0,{'Mn': 1},"{'Sn': 2, 'Mn': 3}","{'Sn': 1, 'Mn': 2}",0.0,-1.7326049066864695,-0.31787652,-0.2829165059629398
24,mp-10032_5d83020e30582ea2977a71e1,{'Sn': 2},"{'Mn': 3, 'Sn': 6}","{'Mn': 3, 'Sn': 2}",0.0,0.1409883852566072,0.28466356,0.566523532543803
25,mp-10032_5d83020e30582ea2977a71e1,{'Mn': 2},"{'Sn': 3, 'Mn': 6}","{'Sn': 3, 'Mn': 2}",0.0,-2.0054927159235185,-0.57309467,-0.2996989688504887
26,mp-10032_5d83020e30582ea2977a71e2,{'Mn': 1},{'Sn': 4},{'Sn': 1},0.0,-1.6595778830230499,-0.36803317,-0.33411160789722916
27,mp-10032_5d83020e30582ea2977a71e2,{'Sn': 1},{'Mn': 4},{'Mn': 1},0.0,-0.002876361607736467,0.17486499,0.5404139875113856
28,mp-10032_5d83020e30582ea2977a748b,{'Sn': 1},{'Sn': 3},{'Mn': 2},0.0,0.14442538643284988,0.18811347,0.3249495120422637
29,mp-10032_5d83020e30582ea2977a748b,{'Mn': 1},{'Mn': 3},{'Sn': 2},0.0,-1.9589604881178562,-0.33719817,-0.2882274061777653
30,mp-10032_5d83020e30582ea2977a7490,"{'Mn': 1, 'Sn': 2}","{'Mn': 1, 'Sn': 6}","{'Mn': 4, 'Sn': 3}",0.0,-0.11282801021236594,0.11672626,0.2854422310624352
31,mp-10032_5d83020e30582ea2977a7490,"{'Sn': 1, 'Mn': 2}","{'Sn': 1, 'Mn': 6}","{'Sn': 4, 'Mn': 3}",0.0,-0.4625580992248992,-0.61979914,0.43730095088850623
32,mp-10032_5d83020e30582ea2977a7491,"{'Mn': 1, 'Sn': 2}","{'Mn': 1, 'Sn': 6}","{'Mn': 5, 'Sn': 3}",0.0,-0.10984371540267966,0.14921668,0.3076281694244041
33,mp-10032_5d83020e30582ea2977a7491,"{'Sn': 1, 'Mn': 2}","{'Sn': 1, 'Mn': 6}","{'Sn': 5, 'Mn': 3}",0.0,-0.44095266219902585,-0.52582407,0.46249728067910856
34,mp-10032_5d83020e30582ea2977a7492,"{'Mn': 1, 'Sn': 4}","{'Mn': 3, 'Sn': 8}","{'Mn': 2, 'Sn': 5}",0.0,0.08157906915085436,0.5439927,0.5150362866475522
35,mp-10032_5d83020e30582ea2977a7492,"{'Sn': 1, 'Mn': 4}","{'Sn': 3, 'Mn': 8}","{'Sn': 2, 'Mn': 5}",0.0,-0.7617756144794741,0.06418519,0.10068877474392368
36,mp-10032_5d83020e30582ea2977a7494,{'Sn': 1},"{'Mn': 2, 'Sn': 2}",{'Sn': 3},0.0,0.04569221677512566,0.23911802,0.6055841182331797
37,mp-10032_5d83020e30582ea2977a7494,{'Mn': 1},"{'Sn': 2, 'Mn': 2}",{'Mn': 3},0.0,-1.8181803005952313,-0.24858665,-0.30988502374151294
38,mp-10032_5d83020e30582ea2977a7499,{'Sn': 2},"{'Mn': 2, 'Sn': 2}",{'Mn': 4},0.0,0.06591066811130092,0.41783485,0.43025491700536783
39,mp-10032_5d83020e30582ea2977a7499,{'Mn': 2},"{'Sn': 2, 'Mn': 2}",{'Sn': 4},0.0,-2.027451732834536,-0.56250995,-0.6280644642979001
40,mp-10032_5d83020e30582ea2977a749b,"{'Mn': 1, 'Sn': 3}","{'Mn': 2, 'Sn': 7}","{'Mn': 3, 'Sn': 4}",0.0,0.05041098563603952,0.42547077,0.4911449263393449
41,mp-10032_5d83020e30582ea2977a749b,"{'Sn': 1, 'Mn': 3}","{'Sn': 2, 'Mn': 7}","{'Sn': 3, 'Mn': 4}",0.0,-0.6759820376377671,-0.48973075,0.5269464214830964
42,mp-10032_5d83020e30582ea2977a749c,"{'Mn': 1, 'Sn': 2}","{'Mn': 1, 'Sn': 6}","{'Mn': 5, 'Sn': 3}",0.0,-0.10984371540267966,0.14921668,0.3076281694244041
43,mp-10032_5d83020e30582ea2977a749c,"{'Sn': 1, 'Mn': 2}","{'Sn': 1, 'Mn': 6}","{'Sn': 5, 'Mn': 3}",0.0,-0.44095266219902585,-0.52582407,0.46249728067910856
44,mp-10032_5d83020e30582ea2977a749d,"{'Mn': 1, 'Sn': 2}","{'Mn': 1, 'Sn': 6}","{'Mn': 4, 'Sn': 3}",0.0,-0.11282801021236594,0.11672626,0.2854422310624352
45,mp-10032_5d83020e30582ea2977a749d,"{'Sn': 1, 'Mn': 2}","{'Sn': 1, 'Mn': 6}","{'Sn': 4, 'Mn': 3}",0.0,-0.4625580992248992,-0.61979914,0.43730095088850623
46,mp-10032_5d83020e30582ea2977a749f,{'Sn': 2},"{'Mn': 3, 'Sn': 2}",{'Sn': 2},0.0,0.029267987451522127,0.2629792,0.6039806544062978
47,mp-10032_5d83020e30582ea2977a749f,{'Mn': 2},"{'Sn': 3, 'Mn': 2}",{'Mn': 2},0.0,-1.6990467382555978,-0.76392704,-0.5139098036414147
48,mp-10032_5d83020e30582ea2977a74a0,{'Sn': 2},"{'Mn': 3, 'Sn': 2}",{'Sn': 2},0.0,0.029267987451522127,0.2629792,0.6039806544062978
49,mp-10032_5d83020e30582ea2977a74a0,{'Mn': 2},"{'Sn': 3, 'Mn': 2}",{'Mn': 2},0.0,-1.6990467382555978,-0.76392704,-0.5139098036414147
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Sn': 2},"{'Mn': 1, 'Sn': 7}","{'Mn': 2, 'Sn': 3}",0.0,0.06717582106601815,0.25720015,0.5440254343596421
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Mn': 2},"{'Sn': 1, 'Mn': 7}","{'Sn': 2, 'Mn': 3}",0.0,-1.9045559165205335,-0.5652114,-0.37270402766125826
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Sn': 2},{'Sn': 7},"{'Mn': 3, 'Sn': 3}",0.0,0.05884331444289884,0.096435495,0.5417471034705856
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Mn': 2},{'Mn': 7},"{'Sn': 3, 'Mn': 3}",0.0,-1.9624357438545283,-0.73816615,-0.4457546096801305
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Sn': 3},{'Sn': 9},"{'Mn': 2, 'Sn': 2}",0.0,0.052573372209816824,0.14733656,0.770737994152734
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Mn': 3},{'Mn': 9},"{'Sn': 2, 'Mn': 2}",0.0,-1.9720415990227826,-0.5197713,-0.5730019000455577
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'Sn': 3},{'Sn': 9},"{'Mn': 3, 'Sn': 1}",0.0,0.09380508136750472,0.11112961,0.7596367695290157
57,mp-10032_5d83cd3b4eaf9091a4056b15,{'Mn': 3},{'Mn': 9},"{'Sn': 3, 'Mn': 1}",0.0,-1.8432793959473686,-0.565856,-0.4919691775575311
58,mp-10032_5d83cd3b4eaf9091a4056b16,{'Sn': 1},{'Sn': 5},"{'Mn': 2, 'Sn': 2}",0.0,0.16169807423265453,0.086487696,0.6336132388952228
59,mp-10032_5d83cd3b4eaf9091a4056b16,{'Mn': 1},{'Mn': 5},"{'Sn': 2, 'Mn': 2}",0.0,-1.8103702994688589,-0.3240001,-0.2428266744616085
60,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Sn': 3},{'Sn': 9},"{'Mn': 2, 'Sn': 2}",0.0,0.052573372209816824,0.14733656,0.770737994152734
61,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Mn': 3},{'Mn': 9},"{'Sn': 2, 'Mn': 2}",0.0,-1.9720415990227826,-0.5197713,-0.5730019000455577
62,mp-10032_5d83cd3b4eaf9091a4056b1b,{'Sn': 2},{'Sn': 8},"{'Mn': 2, 'Sn': 1}",0.0,0.0880773215366116,0.09666893,0.5879118077373391
