,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mn': 1},{'V': 4},{'V': 2},0.0,-1.6266795014302502,-0.41734776,-0.11922288566340623
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Mn': 4},{'Mn': 2},0.0,-1.6394598221896657,-1.6283005,-0.09257362464198945
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mn': 1},{'V': 4},{'V': 2},0.0,-1.6266795014302502,-0.41734776,-0.11922288566340623
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Mn': 4},{'Mn': 2},0.0,-1.6394598221896657,-1.6283005,-0.09257362464198945
4,mp-1001836_5d83020f30582ea2977ab568,{'Mn': 1},{'V': 4},"{'Mn': 2, 'V': 2}",0.0,-1.8102907200115812,-0.5023761,-0.10118102618430246
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Mn': 4},"{'V': 2, 'Mn': 2}",0.0,-1.492618186296892,-1.3489169,-0.10223289616999667
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Mn': 7},0.0,-2.2704981082894875,-1.4652568,-0.7661956065331997
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mn': 3},{'Mn': 9},{'V': 7},0.0,-2.5835703036912894,-0.43729997,-0.39020164473290125
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Mn': 3, 'V': 8}","{'Mn': 2, 'V': 2}",0.0,-1.944881579418248,-0.35195947,-0.6733752367469626
9,mp-10032_5d83020e30582ea2977a710a,{'Mn': 3},"{'V': 3, 'Mn': 8}","{'V': 2, 'Mn': 2}",0.0,-2.2805058677621974,0.33505425,-0.4642421626829756
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Mn': 3, 'V': 2}","{'Mn': 2, 'V': 5}",0.0,-1.8735228286587355,-1.3401986,-0.6432446886499958
11,mp-10032_5d83020e30582ea2977a71d5,{'Mn': 2},"{'V': 3, 'Mn': 2}","{'V': 2, 'Mn': 5}",0.0,-2.036989753321766,-0.79480886,-0.41008568675512114
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Mn': 2, 'V': 2}","{'Mn': 1, 'V': 2}",0.0,-1.4395915717412184,-1.2784821,-0.06178595043655074
13,mp-10032_5d83020e30582ea2977a71d6,{'Mn': 1},"{'V': 2, 'Mn': 2}","{'V': 1, 'Mn': 2}",0.0,-1.8629918063039999,-0.47687376,-0.07117943250423774
14,mp-10032_5d83020e30582ea2977a71d8,{'Mn': 1},{'V': 4},{'V': 1},0.0,-1.6330911490940943,-0.4499348,-0.15863252748071177
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Mn': 4},{'Mn': 1},0.0,-1.7279428779123795,-1.6094668,-0.018040544992008203
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Mn': 2, 'V': 4}","{'Mn': 1, 'V': 2}",0.0,-1.4777990814998248,-1.0185341,0.02258569811547582
17,mp-10032_5d83020e30582ea2977a71da,{'Mn': 1},"{'V': 2, 'Mn': 4}","{'V': 1, 'Mn': 2}",0.0,-1.7314579247756587,-0.38462543,-0.09145329679216843
18,mp-10032_5d83020e30582ea2977a71db,{'Mn': 1},{'V': 4},{'V': 1},0.0,-1.6330911490940943,-0.4499348,-0.15863252748071177
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Mn': 4},{'Mn': 1},0.0,-1.7279428779123795,-1.6094668,-0.018040544992008203
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Mn': 3, 'V': 6}","{'Mn': 4, 'V': 5}",0.0,-1.966845034294702,-0.9994248,-0.6526094028868737
21,mp-10032_5d83020e30582ea2977a71dc,{'Mn': 3},"{'V': 3, 'Mn': 6}","{'V': 4, 'Mn': 5}",0.0,-2.2602789855206704,-0.42189115,-0.586159033608414
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Mn': 2, 'V': 3}","{'Mn': 1, 'V': 2}",0.0,-1.4591204608698218,-0.9705278,-0.07891909151528964
23,mp-10032_5d83020e30582ea2977a71e0,{'Mn': 1},"{'V': 2, 'Mn': 3}","{'V': 1, 'Mn': 2}",0.0,-1.7332445140119737,-0.33879122,-0.07644142348526192
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Mn': 3, 'V': 6}","{'Mn': 3, 'V': 2}",0.0,-1.7083039819887742,-1.2659658,-0.6441840927694229
25,mp-10032_5d83020e30582ea2977a71e1,{'Mn': 2},"{'V': 3, 'Mn': 6}","{'V': 3, 'Mn': 2}",0.0,-2.162638743477719,-0.7626097,-0.41544634878761133
26,mp-10032_5d83020e30582ea2977a71e2,{'Mn': 1},{'V': 4},{'V': 1},0.0,-1.6330911490940943,-0.4499348,-0.15863252748071177
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Mn': 4},{'Mn': 1},0.0,-1.7279428779123795,-1.6094668,-0.018040544992008203
28,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'Mn': 2},0.0,-1.7172523975176726,-1.8584585,-0.1706056521191913
29,mp-10032_5d83020e30582ea2977a748b,{'Mn': 1},{'Mn': 3},{'V': 2},0.0,-2.079586086405392,-0.28462687,-0.13169542776874862
30,mp-10032_5d83020e30582ea2977a7490,"{'Mn': 1, 'V': 2}","{'Mn': 1, 'V': 6}","{'Mn': 4, 'V': 3}",0.0,-2.0727005979730135,-1.027764,-0.7553753545646851
31,mp-10032_5d83020e30582ea2977a7490,"{'V': 1, 'Mn': 2}","{'V': 1, 'Mn': 6}","{'V': 4, 'Mn': 3}",0.0,-2.2164346414178198,-0.9114115,-0.5369584389644106
32,mp-10032_5d83020e30582ea2977a7491,"{'Mn': 1, 'V': 2}","{'Mn': 1, 'V': 6}","{'Mn': 5, 'V': 3}",0.0,-1.9914276910999071,-1.0998666,-0.7410612414871495
33,mp-10032_5d83020e30582ea2977a7491,"{'V': 1, 'Mn': 2}","{'V': 1, 'Mn': 6}","{'V': 5, 'Mn': 3}",0.0,-2.2655603229752614,-0.8548526,-0.5220026487704517
34,mp-10032_5d83020e30582ea2977a7492,"{'Mn': 1, 'V': 4}","{'Mn': 3, 'V': 8}","{'Mn': 2, 'V': 5}",0.0,-2.6343827874921475,-0.49844235,-0.5912978866980932
35,mp-10032_5d83020e30582ea2977a7492,"{'V': 1, 'Mn': 4}","{'V': 3, 'Mn': 8}","{'V': 2, 'Mn': 5}",0.0,-2.4476141084485628,-0.11324865,-0.5042468995618924
36,mp-10032_5d83020e30582ea2977a7494,{'V': 1},"{'Mn': 2, 'V': 2}",{'V': 3},0.0,-1.5479649874130312,-1.164692,-0.0013351361893644141
37,mp-10032_5d83020e30582ea2977a7494,{'Mn': 1},"{'V': 2, 'Mn': 2}",{'Mn': 3},0.0,-1.769606157223492,-0.2922718,-0.03960965156549614
