,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
1,mp-10015_5d83020d30582ea2977a44b2,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
4,mp-1001836_5d83020f30582ea2977ab568,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
5,mp-1001836_5d83020f30582ea2977ab568,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Mo': 3},{'Mo': 9},{'Mo': 7},0.0,-1.4484319260543936,-0.8629086,-0.43795001763624036
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mo': 3},{'Mo': 9},{'Mo': 7},0.0,-1.4484319260543936,-0.8629086,-0.43795001763624036
8,mp-10032_5d83020e30582ea2977a710a,{'Mo': 3},{'Mo': 8},{'Mo': 2},0.0,-1.492930468851852,-1.4306649,-0.5226683495630752
9,mp-10032_5d83020e30582ea2977a710a,{'Mo': 3},{'Mo': 8},{'Mo': 2},0.0,-1.492930468851852,-1.4306649,-0.5226683495630752
10,mp-10032_5d83020e30582ea2977a71d5,{'Mo': 2},{'Mo': 2},{'Mo': 5},0.0,-1.4719978772584954,-1.290877,-0.6966435742715268
11,mp-10032_5d83020e30582ea2977a71d5,{'Mo': 2},{'Mo': 2},{'Mo': 5},0.0,-1.4719978772584954,-1.290877,-0.6966435742715268
12,mp-10032_5d83020e30582ea2977a71d6,{'Mo': 1},{'Mo': 2},{'Mo': 2},0.0,-1.4312422178574278,-0.97330695,-0.08159701637206623
13,mp-10032_5d83020e30582ea2977a71d6,{'Mo': 1},{'Mo': 2},{'Mo': 2},0.0,-1.4312422178574278,-0.97330695,-0.08159701637206623
14,mp-10032_5d83020e30582ea2977a71d8,{'Mo': 1},{'Mo': 4},{'Mo': 1},0.0,-1.494637687058112,-1.0103841,0.1778426377376993
15,mp-10032_5d83020e30582ea2977a71d8,{'Mo': 1},{'Mo': 4},{'Mo': 1},0.0,-1.494637687058112,-1.0103841,0.1778426377376993
16,mp-10032_5d83020e30582ea2977a71da,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
17,mp-10032_5d83020e30582ea2977a71da,{'Mo': 1},{'Mo': 4},{'Mo': 2},0.0,-1.461387034004326,-1.0529189,0.10137869051541883
18,mp-10032_5d83020e30582ea2977a71db,{'Mo': 1},{'Mo': 4},{'Mo': 1},0.0,-1.494637687058112,-1.0103841,0.1778426377376993
19,mp-10032_5d83020e30582ea2977a71db,{'Mo': 1},{'Mo': 4},{'Mo': 1},0.0,-1.494637687058112,-1.0103841,0.1778426377376993
20,mp-10032_5d83020e30582ea2977a71dc,{'Mo': 3},{'Mo': 6},{'Mo': 5},0.0,-1.4188282705605497,-1.2399265,-0.665379045884754
21,mp-10032_5d83020e30582ea2977a71dc,{'Mo': 3},{'Mo': 6},{'Mo': 5},0.0,-1.4188282705605497,-1.2399265,-0.665379045884754
22,mp-10032_5d83020e30582ea2977a71e0,{'Mo': 1},{'Mo': 3},{'Mo': 2},0.0,-1.3983115645958542,-0.908335,0.07277058148770862
23,mp-10032_5d83020e30582ea2977a71e0,{'Mo': 1},{'Mo': 3},{'Mo': 2},0.0,-1.3983115645958542,-0.908335,0.07277058148770862
24,mp-10032_5d83020e30582ea2977a71e1,{'Mo': 2},{'Mo': 6},{'Mo': 2},0.0,-1.4854103345498024,-1.4411322,-0.6084706740625357
25,mp-10032_5d83020e30582ea2977a71e1,{'Mo': 2},{'Mo': 6},{'Mo': 2},0.0,-1.4854103345498024,-1.4411322,-0.6084706740625357
26,mp-10032_5d83020e30582ea2977a71e2,{'Mo': 1},{'Mo': 4},{'Mo': 1},0.0,-1.494637687058112,-1.0103841,0.1778426377376993
27,mp-10032_5d83020e30582ea2977a71e2,{'Mo': 1},{'Mo': 4},{'Mo': 1},0.0,-1.494637687058112,-1.0103841,0.1778426377376993
28,mp-10032_5d83020e30582ea2977a748b,{'Mo': 1},{'Mo': 3},{'Mo': 2},0.0,-1.3983115645958542,-0.908335,0.07277058148770862
29,mp-10032_5d83020e30582ea2977a748b,{'Mo': 1},{'Mo': 3},{'Mo': 2},0.0,-1.3983115645958542,-0.908335,0.07277058148770862
30,mp-10032_5d83020e30582ea2977a7490,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
31,mp-10032_5d83020e30582ea2977a7490,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
32,mp-10032_5d83020e30582ea2977a7491,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
33,mp-10032_5d83020e30582ea2977a7491,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
34,mp-10032_5d83020e30582ea2977a7492,{'Mo': 4},{'Mo': 8},{'Mo': 5},0.0,-1.4836351158068424,-1.1280261,-0.5111368981121389
35,mp-10032_5d83020e30582ea2977a7492,{'Mo': 4},{'Mo': 8},{'Mo': 5},0.0,-1.4836351158068424,-1.1280261,-0.5111368981121389
36,mp-10032_5d83020e30582ea2977a7494,{'Mo': 1},{'Mo': 2},{'Mo': 3},0.0,-1.443642161660567,-0.9728158,-0.11497025418039586
37,mp-10032_5d83020e30582ea2977a7494,{'Mo': 1},{'Mo': 2},{'Mo': 3},0.0,-1.443642161660567,-0.9728158,-0.11497025418039586
38,mp-10032_5d83020e30582ea2977a7499,{'Mo': 2},{'Mo': 2},{'Mo': 4},0.0,-1.4707835177807058,-1.2647839,-0.6768293216217705
39,mp-10032_5d83020e30582ea2977a7499,{'Mo': 2},{'Mo': 2},{'Mo': 4},0.0,-1.4707835177807058,-1.2647839,-0.6768293216217705
40,mp-10032_5d83020e30582ea2977a749b,{'Mo': 3},{'Mo': 7},{'Mo': 4},0.0,-1.4128303789856351,-1.2189835,-0.564034940128732
41,mp-10032_5d83020e30582ea2977a749b,{'Mo': 3},{'Mo': 7},{'Mo': 4},0.0,-1.4128303789856351,-1.2189835,-0.564034940128732
42,mp-10032_5d83020e30582ea2977a749c,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
43,mp-10032_5d83020e30582ea2977a749c,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
44,mp-10032_5d83020e30582ea2977a749d,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
45,mp-10032_5d83020e30582ea2977a749d,{'Mo': 2},{'Mo': 6},{'Mo': 3},0.0,-1.4622124083933614,-1.3664757,-0.6133051545266043
46,mp-10032_5d83020e30582ea2977a749f,{'Mo': 2},{'Mo': 2},{'Mo': 2},0.0,-1.4609826474182228,-1.3559923,-0.6204297950229423
47,mp-10032_5d83020e30582ea2977a749f,{'Mo': 2},{'Mo': 2},{'Mo': 2},0.0,-1.4609826474182228,-1.3559923,-0.6204297950229423
48,mp-10032_5d83020e30582ea2977a74a0,{'Mo': 2},{'Mo': 2},{'Mo': 2},0.0,-1.4609826474182228,-1.3559923,-0.6204297950229423
49,mp-10032_5d83020e30582ea2977a74a0,{'Mo': 2},{'Mo': 2},{'Mo': 2},0.0,-1.4609826474182228,-1.3559923,-0.6204297950229423
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Mo': 2},{'Mo': 7},{'Mo': 3},0.0,-1.462197799690009,-1.3463184,-0.5502515206477688
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Mo': 2},{'Mo': 7},{'Mo': 3},0.0,-1.462197799690009,-1.3463184,-0.5502515206477688
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Mo': 2},{'Mo': 7},{'Mo': 3},0.0,-1.462197799690009,-1.3463184,-0.5502515206477688
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Mo': 2},{'Mo': 7},{'Mo': 3},0.0,-1.462197799690009,-1.3463184,-0.5502515206477688
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Mo': 3},{'Mo': 9},{'Mo': 2},0.0,-1.5032378470925145,-1.3486377,-0.5064881413316499
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Mo': 3},{'Mo': 9},{'Mo': 2},0.0,-1.5032378470925145,-1.3486377,-0.5064881413316499
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'Mo': 3},{'Mo': 9},{'Mo': 1},0.0,-1.5227595197295904,-1.4068246,-0.34715207444568347
57,mp-10032_5d83cd3b4eaf9091a4056b15,{'Mo': 3},{'Mo': 9},{'Mo': 1},0.0,-1.5227595197295904,-1.4068246,-0.34715207444568347
