,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mo': 1},{'Pb': 4},{'Pb': 2},0.0,-1.8021366407141732,-0.69622356,-0.09195548817862229
1,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Mo': 4},{'Mo': 2},0.0,-0.0809734778635838,0.6988102,1.1476527120576543
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mo': 1},{'Pb': 4},{'Pb': 2},0.0,-1.8021366407141732,-0.69622356,-0.09195548817862229
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Mo': 4},{'Mo': 2},0.0,-0.0809734778635838,0.6988102,1.1476527120576543
4,mp-1001836_5d83020f30582ea2977ab568,{'Mo': 1},{'Pb': 4},"{'Mo': 2, 'Pb': 2}",0.0,-1.6660943996587374,-0.73509383,-0.17605283590732057
5,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Mo': 4},"{'Pb': 2, 'Mo': 2}",0.0,-0.01704605855404634,0.7614633,0.9405799118765846
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Mo': 7},0.0,-0.10862225931667119,0.6115576,0.7431931194337621
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mo': 3},{'Mo': 9},{'Pb': 7},0.0,-1.6368108944100932,-1.2079971,-0.42507777952619163
8,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Mo': 3, 'Pb': 8}","{'Mo': 2, 'Pb': 2}",0.0,-0.03955409512755915,0.57939506,0.7106095085392674
9,mp-10032_5d83020e30582ea2977a710a,{'Mo': 3},"{'Pb': 3, 'Mo': 8}","{'Pb': 2, 'Mo': 2}",0.0,-1.381635580246286,-0.2692846,-0.46963502239954524
10,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Mo': 3, 'Pb': 2}","{'Mo': 2, 'Pb': 5}",0.0,0.02774281944786602,0.5050417,0.7563002091325273
11,mp-10032_5d83020e30582ea2977a71d5,{'Mo': 2},"{'Pb': 3, 'Mo': 2}","{'Pb': 2, 'Mo': 5}",0.0,-1.6166481228637168,-1.0306425,-0.42701896173386994
12,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Mo': 2, 'Pb': 2}","{'Mo': 1, 'Pb': 2}",0.0,0.040857518256948555,0.5125924,0.7903083785003683
13,mp-10032_5d83020e30582ea2977a71d6,{'Mo': 1},"{'Pb': 2, 'Mo': 2}","{'Pb': 1, 'Mo': 2}",0.0,-1.5852783107904795,-0.92332333,-0.18507502314535193
14,mp-10032_5d83020e30582ea2977a71d8,{'Mo': 1},{'Pb': 4},{'Pb': 1},0.0,-1.898349589921159,-0.7327551,-0.08733530957926984
15,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Mo': 4},{'Mo': 1},0.0,-0.0841374946538079,0.59562695,1.1989572323993842
16,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Mo': 2, 'Pb': 4}","{'Mo': 1, 'Pb': 2}",0.0,0.10661557630513095,0.67245847,0.7887168380129493
17,mp-10032_5d83020e30582ea2977a71da,{'Mo': 1},"{'Pb': 2, 'Mo': 4}","{'Pb': 1, 'Mo': 2}",0.0,-1.4872523616410258,-0.84498614,-0.07783639261827889
18,mp-10032_5d83020e30582ea2977a71db,{'Mo': 1},{'Pb': 4},{'Pb': 1},0.0,-1.898349589921159,-0.7327551,-0.08733530957926984
