,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mo': 1},{'Pd': 4},{'Pd': 2},0.0,-1.4788461254342267,-0.8328131,-0.25484254821823166
1,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Mo': 4},{'Mo': 2},0.0,-1.3522657693102427,0.6018877,0.1055415653377952
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mo': 1},{'Pd': 4},{'Pd': 2},0.0,-1.4788461254342267,-0.8328131,-0.25484254821823166
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Mo': 4},{'Mo': 2},0.0,-1.3522657693102427,0.6018877,0.1055415653377952
4,mp-1001836_5d83020f30582ea2977ab568,{'Mo': 1},{'Pd': 4},"{'Mo': 2, 'Pd': 2}",0.0,-1.5567358076533753,-0.69482535,-0.08271382414402714
5,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Mo': 4},"{'Pd': 2, 'Mo': 2}",0.0,-1.3868079326043004,0.7459917,-0.14245573116353272
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Mo': 7},0.0,-1.125786547880398,0.8021304,-0.2683593485905533
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mo': 3},{'Mo': 9},{'Pd': 7},0.0,-1.746144068944323,-1.1406984,-0.5536207683543725
8,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'Mo': 3, 'Pd': 8}","{'Mo': 2, 'Pd': 2}",0.0,-1.0977904695688008,0.7131399,-0.11590316526301596
9,mp-10032_5d83020e30582ea2977a710a,{'Mo': 3},"{'Pd': 3, 'Mo': 8}","{'Pd': 2, 'Mo': 2}",0.0,-1.5555586991892638,-0.40559557,-0.4867437128771768
10,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'Mo': 3, 'Pd': 2}","{'Mo': 2, 'Pd': 5}",0.0,-1.4087942844912562,0.31802163,-0.33395646738124946
11,mp-10032_5d83020e30582ea2977a71d5,{'Mo': 2},"{'Pd': 3, 'Mo': 2}","{'Pd': 2, 'Mo': 5}",0.0,-1.5354249492677747,-1.1336014,-0.47475362079187927
12,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},"{'Mo': 2, 'Pd': 2}","{'Mo': 1, 'Pd': 2}",0.0,-1.3506920710796222,0.5898802,-0.08265993235871556
13,mp-10032_5d83020e30582ea2977a71d6,{'Mo': 1},"{'Pd': 2, 'Mo': 2}","{'Pd': 1, 'Mo': 2}",0.0,-1.5776895156338389,-0.9952528,-0.1280710592463362
14,mp-10032_5d83020e30582ea2977a71d8,{'Mo': 1},{'Pd': 4},{'Pd': 1},0.0,-1.5916201247523611,-0.81962365,-0.19626922848763423
15,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Mo': 4},{'Mo': 1},0.0,-1.380437224406521,0.4621452,0.11710812645620838
