,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Mo': 1},{'Sb': 4},{'Sb': 2},0.0,-1.8217030516202746,-0.1440551,-0.019994581072138442
1,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Mo': 4},{'Mo': 2},0.0,-0.011325467623026447,0.5975986,0.7632048743444648
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Mo': 1},{'Sb': 4},{'Sb': 2},0.0,-1.8217030516202746,-0.1440551,-0.019994581072138442
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Mo': 4},{'Mo': 2},0.0,-0.011325467623026447,0.5975986,0.7632048743444648
4,mp-1001836_5d83020f30582ea2977ab568,{'Mo': 1},{'Sb': 4},"{'Mo': 2, 'Sb': 2}",0.0,-1.5765792545487554,-0.1567926,-0.11946328449428632
5,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Mo': 4},"{'Sb': 2, 'Mo': 2}",0.0,0.023778904089757136,0.7221214,0.5743616337075215
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Mo': 7},0.0,-0.07062740624662169,0.98412883,0.9901896140520497
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Mo': 3},{'Mo': 9},{'Sb': 7},0.0,-1.7396011222923684,-1.2328819,-0.5676244442685245
8,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Mo': 3, 'Sb': 8}","{'Mo': 2, 'Sb': 2}",0.0,-0.02704233018297675,0.72532344,0.8796123694640954
9,mp-10032_5d83020e30582ea2977a710a,{'Mo': 3},"{'Sb': 3, 'Mo': 8}","{'Sb': 2, 'Mo': 2}",0.0,-1.5164748432316326,-0.38810953,-0.603295956717424
10,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Mo': 3, 'Sb': 2}","{'Mo': 2, 'Sb': 5}",0.0,0.050921377663315205,0.55543894,0.7194252676523459
11,mp-10032_5d83020e30582ea2977a71d5,{'Mo': 2},"{'Sb': 3, 'Mo': 2}","{'Sb': 2, 'Mo': 5}",0.0,-1.7320926407974337,-1.0676786,-0.5336956180629624
12,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Mo': 2, 'Sb': 2}","{'Mo': 1, 'Sb': 2}",0.0,-0.003383865658602011,0.52459973,0.5181080771453678
13,mp-10032_5d83020e30582ea2977a71d6,{'Mo': 1},"{'Sb': 2, 'Mo': 2}","{'Sb': 1, 'Mo': 2}",0.0,-1.7300763284306004,-0.92057306,-0.23998278760838634
14,mp-10032_5d83020e30582ea2977a71d8,{'Mo': 1},{'Sb': 4},{'Sb': 1},0.0,-1.7458098234686934,-0.22684363,-0.07740658026970496
15,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Mo': 4},{'Mo': 1},0.0,0.002256101097580529,0.49954674,0.8140123464723433
16,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Mo': 2, 'Sb': 4}","{'Mo': 1, 'Sb': 2}",0.0,0.09956853485538376,0.59311223,0.6175682486126605
17,mp-10032_5d83020e30582ea2977a71da,{'Mo': 1},"{'Sb': 2, 'Mo': 4}","{'Sb': 1, 'Mo': 2}",0.0,-1.5675768112436124,-0.7441371,-0.08879127315026832
18,mp-10032_5d83020e30582ea2977a71db,{'Mo': 1},{'Sb': 4},{'Sb': 1},0.0,-1.7458098234686934,-0.22684363,-0.07740658026970496
19,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Mo': 4},{'Mo': 1},0.0,0.002256101097580529,0.49954674,0.8140123464723433
20,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Mo': 3, 'Sb': 6}","{'Mo': 4, 'Sb': 5}",0.0,0.023824666619896906,0.8625924,1.00986682217881
21,mp-10032_5d83020e30582ea2977a71dc,{'Mo': 3},"{'Sb': 3, 'Mo': 6}","{'Sb': 4, 'Mo': 5}",0.0,-1.435240754057034,-0.88911927,-0.5170961982079905
22,mp-10032_5d83020e30582ea2977a71e0,{'Sb': 1},"{'Mo': 2, 'Sb': 3}","{'Mo': 1, 'Sb': 2}",0.0,0.019896033486105573,0.54992867,0.46510950115331756
23,mp-10032_5d83020e30582ea2977a71e0,{'Mo': 1},"{'Sb': 2, 'Mo': 3}","{'Sb': 1, 'Mo': 2}",0.0,-1.6474207572632449,-0.873682,-0.1818341046224595
24,mp-10032_5d83020e30582ea2977a71e1,{'Sb': 2},"{'Mo': 3, 'Sb': 6}","{'Mo': 3, 'Sb': 2}",0.0,0.04696543461537846,0.7853388,0.8670404038969115
25,mp-10032_5d83020e30582ea2977a71e1,{'Mo': 2},"{'Sb': 3, 'Mo': 6}","{'Sb': 3, 'Mo': 2}",0.0,-1.4524716549902055,-0.9317315,-0.5260098106612027
26,mp-10032_5d83020e30582ea2977a71e2,{'Mo': 1},{'Sb': 4},{'Sb': 1},0.0,-1.7458098234686934,-0.22684363,-0.07740658026970496
27,mp-10032_5d83020e30582ea2977a71e2,{'Sb': 1},{'Mo': 4},{'Mo': 1},0.0,0.002256101097580529,0.49954674,0.8140123464723433
28,mp-10032_5d83020e30582ea2977a748b,{'Sb': 1},{'Sb': 3},{'Mo': 2},0.0,0.003926028732509926,0.45368683,0.4229120743860611
29,mp-10032_5d83020e30582ea2977a748b,{'Mo': 1},{'Mo': 3},{'Sb': 2},0.0,-1.8157209131264813,-1.0749736,-0.21064292549560215
30,mp-10032_5d83020e30582ea2977a7490,"{'Mo': 1, 'Sb': 2}","{'Mo': 1, 'Sb': 6}","{'Mo': 4, 'Sb': 3}",0.0,-0.017460705468479464,0.588403,0.38183422174738957
31,mp-10032_5d83020e30582ea2977a7490,"{'Sb': 1, 'Mo': 2}","{'Sb': 1, 'Mo': 6}","{'Sb': 4, 'Mo': 3}",0.0,-1.5932763703191466,0.19994052,-0.2583749481544333
