,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ni': 1},{'Pb': 4},{'Pb': 2},0.0,-0.6955013803265602,0.49697402,0.16977794894895365
1,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Ni': 4},{'Ni': 2},0.0,-0.014856380361035275,0.66395247,0.9457210865438669
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ni': 1},{'Pb': 4},{'Pb': 2},0.0,-0.6955013803265602,0.49697402,0.16977794894895365
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Ni': 4},{'Ni': 2},0.0,-0.014856380361035275,0.66395247,0.9457210865438669
4,mp-1001836_5d83020f30582ea2977ab568,{'Ni': 1},{'Pb': 4},"{'Ni': 2, 'Pb': 2}",0.0,-0.7255959468720999,0.41606355,0.1732928592140552
5,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Ni': 4},"{'Pb': 2, 'Ni': 2}",0.0,-0.038872986078086626,0.6567564,0.9860881856065014
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Ni': 7},0.0,-0.06634891634457428,0.48268113,0.6666774341277615
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ni': 3},{'Ni': 9},{'Pb': 7},0.0,-1.4974487596409254,0.09442078,-0.20922839784712705
8,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Ni': 3, 'Pb': 8}","{'Ni': 2, 'Pb': 2}",0.0,0.02724328664567662,0.51912445,0.7381899086762118
9,mp-10032_5d83020e30582ea2977a710a,{'Ni': 3},"{'Pb': 3, 'Ni': 8}","{'Pb': 2, 'Ni': 2}",0.0,-1.5534135142790098,0.42728528,-0.34858318830540497
10,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Ni': 3, 'Pb': 2}","{'Ni': 2, 'Pb': 5}",0.0,0.009155594046335556,0.49468037,0.7655023496119187
11,mp-10032_5d83020e30582ea2977a71d5,{'Ni': 2},"{'Pb': 3, 'Ni': 2}","{'Pb': 2, 'Ni': 5}",0.0,-1.337828335546929,-0.030129172,-0.23052103435190205
12,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Ni': 2, 'Pb': 2}","{'Ni': 1, 'Pb': 2}",0.0,0.011460912639170921,0.50154895,0.7525941729064917
13,mp-10032_5d83020e30582ea2977a71d6,{'Ni': 1},"{'Pb': 2, 'Ni': 2}","{'Pb': 1, 'Ni': 2}",0.0,-1.1629230325151008,0.37523058,0.19978562168508637
14,mp-10032_5d83020e30582ea2977a71d8,{'Ni': 1},{'Pb': 4},{'Pb': 1},0.0,-0.8094474488774821,0.43099558,0.15988420743514375
15,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Ni': 4},{'Ni': 1},0.0,-0.060062656955968886,0.63296443,0.9277791973526083
16,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Ni': 2, 'Pb': 4}","{'Ni': 1, 'Pb': 2}",0.0,0.08474527502904436,0.6102182,0.9003388887341102
17,mp-10032_5d83020e30582ea2977a71da,{'Ni': 1},"{'Pb': 2, 'Ni': 4}","{'Pb': 1, 'Ni': 2}",0.0,-1.12728427931233,0.50103766,0.18146149450216026
