,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ni': 1},{'Sb': 4},{'Sb': 2},0.0,-0.5402430110458891,0.91102445,0.3822999084067872
1,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Ni': 4},{'Ni': 2},0.0,0.06612607311425119,0.786187,0.7677797762103374
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ni': 1},{'Sb': 4},{'Sb': 2},0.0,-0.5402430110458891,0.91102445,0.3822999084067872
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Ni': 4},{'Ni': 2},0.0,0.06612607311425119,0.786187,0.7677797762103374
4,mp-1001836_5d83020f30582ea2977ab568,{'Ni': 1},{'Sb': 4},"{'Ni': 2, 'Sb': 2}",0.0,-0.7787656819482959,0.47954175,0.3116529288828529
5,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Ni': 4},"{'Sb': 2, 'Ni': 2}",0.0,0.1258507067337836,0.6924885,0.8319132637842039
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Ni': 7},0.0,-0.00596347220176504,0.7778424,0.9037064553587163
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ni': 3},{'Ni': 9},{'Sb': 7},0.0,-1.3863055039229295,0.11284786,-0.340847628399345
8,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Ni': 3, 'Sb': 8}","{'Ni': 2, 'Sb': 2}",0.0,0.006628733771809765,0.86834043,0.9582651384718807
9,mp-10032_5d83020e30582ea2977a710a,{'Ni': 3},"{'Sb': 3, 'Ni': 8}","{'Sb': 2, 'Ni': 2}",0.0,-1.5614432151136823,0.72640574,-0.43708000608954045
10,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Ni': 3, 'Sb': 2}","{'Ni': 2, 'Sb': 5}",0.0,0.0534161025013504,0.6256483,0.7833576725661882
11,mp-10032_5d83020e30582ea2977a71d5,{'Ni': 2},"{'Sb': 3, 'Ni': 2}","{'Sb': 2, 'Ni': 5}",0.0,-1.389312620265968,0.08878008,-0.26942739302987656
12,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Ni': 2, 'Sb': 2}","{'Ni': 1, 'Sb': 2}",0.0,0.015657441110451042,0.5787274,0.6186976133099653
13,mp-10032_5d83020e30582ea2977a71d6,{'Ni': 1},"{'Sb': 2, 'Ni': 2}","{'Sb': 1, 'Ni': 2}",0.0,-1.2166124715466065,0.54085225,0.2081994183620897
14,mp-10032_5d83020e30582ea2977a71d8,{'Ni': 1},{'Sb': 4},{'Sb': 1},0.0,-0.7082228785441043,0.7968884,0.35930433450748717
15,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Ni': 4},{'Ni': 1},0.0,0.05874154887878187,0.69003344,0.7493356617301796
16,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Ni': 2, 'Sb': 4}","{'Ni': 1, 'Sb': 2}",0.0,0.15232061164368266,0.7281057,0.6486867853444485
17,mp-10032_5d83020e30582ea2977a71da,{'Ni': 1},"{'Sb': 2, 'Ni': 4}","{'Sb': 1, 'Ni': 2}",0.0,-1.2179052348859127,0.75057423,0.14506631330503253
18,mp-10032_5d83020e30582ea2977a71db,{'Ni': 1},{'Sb': 4},{'Sb': 1},0.0,-0.7082228785441043,0.7968884,0.35930433450748717
19,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Ni': 4},{'Ni': 1},0.0,0.05874154887878187,0.69003344,0.7493356617301796
20,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Ni': 3, 'Sb': 6}","{'Ni': 4, 'Sb': 5}",0.0,0.038148325935221106,0.94327086,1.0163404299957741
21,mp-10032_5d83020e30582ea2977a71dc,{'Ni': 3},"{'Sb': 3, 'Ni': 6}","{'Sb': 4, 'Ni': 5}",0.0,-1.2689320946385647,0.5114497,-0.5101458038590313
22,mp-10032_5d83020e30582ea2977a71e0,{'Sb': 1},"{'Ni': 2, 'Sb': 3}","{'Ni': 1, 'Sb': 2}",0.0,0.05317258373682273,0.67879456,0.5909844106172729
23,mp-10032_5d83020e30582ea2977a71e0,{'Ni': 1},"{'Sb': 2, 'Ni': 3}","{'Sb': 1, 'Ni': 2}",0.0,-1.293217898679033,0.4601527,0.20654711554034594
24,mp-10032_5d83020e30582ea2977a71e1,{'Sb': 2},"{'Ni': 3, 'Sb': 6}","{'Ni': 3, 'Sb': 2}",0.0,0.03248748542900652,0.9052188,0.906859644311755
25,mp-10032_5d83020e30582ea2977a71e1,{'Ni': 2},"{'Sb': 3, 'Ni': 6}","{'Sb': 3, 'Ni': 2}",0.0,-1.3219379109640508,0.4617789,-0.30135403603124156
26,mp-10032_5d83020e30582ea2977a71e2,{'Ni': 1},{'Sb': 4},{'Sb': 1},0.0,-0.7082228785441043,0.7968884,0.35930433450748717
27,mp-10032_5d83020e30582ea2977a71e2,{'Sb': 1},{'Ni': 4},{'Ni': 1},0.0,0.05874154887878187,0.69003344,0.7493356617301796
28,mp-10032_5d83020e30582ea2977a748b,{'Sb': 1},{'Sb': 3},{'Ni': 2},0.0,-0.011354330544039018,0.25372663,0.38024329137449553
29,mp-10032_5d83020e30582ea2977a748b,{'Ni': 1},{'Ni': 3},{'Sb': 2},0.0,-1.4634522376934571,0.16360223,0.025129582593452257
30,mp-10032_5d83020e30582ea2977a7490,"{'Ni': 1, 'Sb': 2}","{'Ni': 1, 'Sb': 6}","{'Ni': 4, 'Sb': 3}",0.0,0.09947795101294041,0.51749945,0.5849064891061099
31,mp-10032_5d83020e30582ea2977a7490,"{'Sb': 1, 'Ni': 2}","{'Sb': 1, 'Ni': 6}","{'Sb': 4, 'Ni': 3}",0.0,-0.1737359655803423,0.14519049,0.2181347648903496
32,mp-10032_5d83020e30582ea2977a7491,"{'Ni': 1, 'Sb': 2}","{'Ni': 1, 'Sb': 6}","{'Ni': 5, 'Sb': 3}",0.0,0.12386861309178797,0.6098719,0.599145620540648
33,mp-10032_5d83020e30582ea2977a7491,"{'Sb': 1, 'Ni': 2}","{'Sb': 1, 'Ni': 6}","{'Sb': 5, 'Ni': 3}",0.0,-0.11102351532802883,0.10929643,0.2142271069228117
34,mp-10032_5d83020e30582ea2977a7492,"{'Ni': 1, 'Sb': 4}","{'Ni': 3, 'Sb': 8}","{'Ni': 2, 'Sb': 5}",0.0,0.09322146160456218,0.82253927,0.8481141084295798
35,mp-10032_5d83020e30582ea2977a7492,"{'Sb': 1, 'Ni': 4}","{'Sb': 3, 'Ni': 8}","{'Sb': 2, 'Ni': 5}",0.0,-0.29036641499830385,0.5162203,0.39675590775823155
36,mp-10032_5d83020e30582ea2977a7494,{'Sb': 1},"{'Ni': 2, 'Sb': 2}",{'Sb': 3},0.0,0.030792755381881386,0.42817092,0.5425793938169488
37,mp-10032_5d83020e30582ea2977a7494,{'Ni': 1},"{'Sb': 2, 'Ni': 2}",{'Ni': 3},0.0,-1.5062125017553585,0.39774254,-0.03464619222192165
38,mp-10032_5d83020e30582ea2977a7499,{'Sb': 2},"{'Ni': 2, 'Sb': 2}",{'Ni': 4},0.0,0.08898095147199868,0.7079917,0.6151590405122767
39,mp-10032_5d83020e30582ea2977a7499,{'Ni': 2},"{'Sb': 2, 'Ni': 2}",{'Sb': 4},0.0,-1.1797947856555386,-0.008769363,-0.05097596922417997
40,mp-10032_5d83020e30582ea2977a749b,"{'Ni': 1, 'Sb': 3}","{'Ni': 2, 'Sb': 7}","{'Ni': 3, 'Sb': 4}",0.0,0.11147182194802335,0.76053214,0.7899302983170159
41,mp-10032_5d83020e30582ea2977a749b,"{'Sb': 1, 'Ni': 3}","{'Sb': 2, 'Ni': 7}","{'Sb': 3, 'Ni': 4}",0.0,-0.24785161073066073,0.27854142,0.4361650653417606
42,mp-10032_5d83020e30582ea2977a749c,"{'Ni': 1, 'Sb': 2}","{'Ni': 1, 'Sb': 6}","{'Ni': 5, 'Sb': 3}",0.0,0.12386861309178797,0.6098719,0.599145620540648
43,mp-10032_5d83020e30582ea2977a749c,"{'Sb': 1, 'Ni': 2}","{'Sb': 1, 'Ni': 6}","{'Sb': 5, 'Ni': 3}",0.0,-0.11102351532802883,0.10929643,0.2142271069228117
44,mp-10032_5d83020e30582ea2977a749d,"{'Ni': 1, 'Sb': 2}","{'Ni': 1, 'Sb': 6}","{'Ni': 4, 'Sb': 3}",0.0,0.09947795101294041,0.51749945,0.5849064891061099
45,mp-10032_5d83020e30582ea2977a749d,"{'Sb': 1, 'Ni': 2}","{'Sb': 1, 'Ni': 6}","{'Sb': 4, 'Ni': 3}",0.0,-0.1737359655803423,0.14519049,0.2181347648903496
46,mp-10032_5d83020e30582ea2977a749f,{'Sb': 2},"{'Ni': 3, 'Sb': 2}",{'Sb': 2},0.0,-0.013492309866315803,0.46006778,0.730955413009352
47,mp-10032_5d83020e30582ea2977a749f,{'Ni': 2},"{'Sb': 3, 'Ni': 2}",{'Ni': 2},0.0,-1.4101291756025427,0.066592574,-0.40660385740976984
48,mp-10032_5d83020e30582ea2977a74a0,{'Sb': 2},"{'Ni': 3, 'Sb': 2}",{'Sb': 2},0.0,-0.013492309866315803,0.46006778,0.730955413009352
49,mp-10032_5d83020e30582ea2977a74a0,{'Ni': 2},"{'Sb': 3, 'Ni': 2}",{'Ni': 2},0.0,-1.4101291756025427,0.066592574,-0.40660385740976984
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Sb': 2},"{'Ni': 1, 'Sb': 7}","{'Ni': 2, 'Sb': 3}",0.0,0.01560418632415218,0.7694463,0.7575406644987902
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Ni': 2},"{'Sb': 1, 'Ni': 7}","{'Sb': 2, 'Ni': 3}",0.0,-1.5057474926911312,0.28737617,-0.42494533631631454
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Sb': 2},{'Sb': 7},"{'Ni': 3, 'Sb': 3}",0.0,0.008837365937017781,0.5591023,0.733550581885106
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Ni': 2},{'Ni': 7},"{'Sb': 3, 'Ni': 3}",0.0,-1.7535879165861756,-0.11882772,-0.3848200648889756
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Sb': 3},{'Sb': 9},"{'Ni': 2, 'Sb': 2}",0.0,-0.07041283227117083,0.6528313,0.9735093670780353
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Ni': 3},{'Ni': 9},"{'Sb': 2, 'Ni': 2}",0.0,-1.7166919918860009,0.22291695,-0.4564465770843898
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'Sb': 3},{'Sb': 9},"{'Ni': 3, 'Sb': 1}",0.0,0.013299803156401172,0.80910844,0.9883385529171604
57,mp-10032_5d83cd3b4eaf9091a4056b15,{'Ni': 3},{'Ni': 9},"{'Sb': 3, 'Ni': 1}",0.0,-1.4794103621623453,0.18452719,-0.34995792303246104
58,mp-10032_5d83cd3b4eaf9091a4056b16,{'Sb': 1},{'Sb': 5},"{'Ni': 2, 'Sb': 2}",0.0,-0.015754803302596466,0.5486817,0.5721387323962143
59,mp-10032_5d83cd3b4eaf9091a4056b16,{'Ni': 1},{'Ni': 5},"{'Sb': 2, 'Ni': 2}",0.0,-1.4617339645605174,0.3269482,0.029084790105761992
60,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Sb': 3},{'Sb': 9},"{'Ni': 2, 'Sb': 2}",0.0,-0.07041283227117083,0.6528313,0.9735093670780353
61,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Ni': 3},{'Ni': 9},"{'Sb': 2, 'Ni': 2}",0.0,-1.7166919918860009,0.22291695,-0.4564465770843898
62,mp-10032_5d83cd3b4eaf9091a4056b1b,{'Sb': 2},{'Sb': 8},"{'Ni': 2, 'Sb': 1}",0.0,0.027772219992948304,0.6821293,0.789045801196877
63,mp-10032_5d83cd3b4eaf9091a4056b1b,{'Ni': 2},{'Ni': 8},"{'Sb': 2, 'Ni': 1}",0.0,-1.5427048670684282,-0.068422385,-0.3581788825199393
64,mp-10032_5d83cd3b4eaf9091a4056b1d,{'Sb': 3},"{'Ni': 3, 'Sb': 10}","{'Ni': 4, 'Sb': 4}",0.0,0.05544878651613566,0.84875625,1.0969348674923314
65,mp-10032_5d83cd3b4eaf9091a4056b1d,{'Ni': 3},"{'Sb': 3, 'Ni': 10}","{'Sb': 4, 'Ni': 4}",0.0,-1.3667813919036913,0.72595876,-0.46328934596930244
66,mp-10032_5d83cd3b4eaf9091a4056b1e,{'Sb': 2},"{'Ni': 1, 'Sb': 7}","{'Ni': 2, 'Sb': 3}",0.0,0.01560418632415218,0.7694463,0.7575406644987902
67,mp-10032_5d83cd3b4eaf9091a4056b1e,{'Ni': 2},"{'Sb': 1, 'Ni': 7}","{'Sb': 2, 'Ni': 3}",0.0,-1.5057474926911312,0.28737617,-0.42494533631631454
68,mp-10032_5d83cd3b4eaf9091a4056b23,{'Ni': 1},"{'Ni': 1, 'Sb': 2}",{'Sb': 2},0.0,-1.1223270230953928,0.6856023,0.1352609227288545
69,mp-10032_5d83cd3b4eaf9091a4056b23,{'Sb': 1},"{'Sb': 1, 'Ni': 2}",{'Ni': 2},0.0,0.07829646373333367,0.47534573,0.5456126718794061
70,mp-10032_5d83cd3b4eaf9091a4056b24,{'Ni': 1},"{'Ni': 1, 'Sb': 2}",{'Sb': 2},0.0,-1.1223270230953928,0.6856023,0.1352609227288545
71,mp-10032_5d83cd3b4eaf9091a4056b24,{'Sb': 1},"{'Sb': 1, 'Ni': 2}",{'Ni': 2},0.0,0.07829646373333367,0.47534573,0.5456126718794061
72,mp-10032_5d83cd3b4eaf9091a4056b26,{'Ni': 1},"{'Ni': 2, 'Sb': 2}",{'Sb': 2},0.0,-1.0073664138350216,0.5633427,0.30558513689178785
73,mp-10032_5d83cd3b4eaf9091a4056b26,{'Sb': 1},"{'Sb': 2, 'Ni': 2}",{'Ni': 2},0.0,0.06795189791988206,0.56112087,0.5616512155187184
74,mp-10032_5d83cd3b4eaf9091a4056b2a,{'Ni': 2},"{'Ni': 2, 'Sb': 4}",{'Sb': 3},0.0,-0.956287382954474,0.24101733,-0.1955858583334845
75,mp-10032_5d83cd3b4eaf9091a4056b2a,{'Sb': 2},"{'Sb': 2, 'Ni': 4}",{'Ni': 3},0.0,0.12332426310560542,0.62071544,0.6361634332959888
76,mp-10032_5d83cd3b4eaf9091a4056b2d,{'Ni': 2},"{'Ni': 2, 'Sb': 4}",{'Sb': 3},0.0,-0.956287382954474,0.24101733,-0.1955858583334845
77,mp-10032_5d83cd3b4eaf9091a4056b2d,{'Sb': 2},"{'Sb': 2, 'Ni': 4}",{'Ni': 3},0.0,0.12332426310560542,0.62071544,0.6361634332959888
