,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Os': 1},{'V': 4},{'V': 2},0.0,-1.7913867517477307,-0.5108645,-0.31398314728384885
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Os': 4},{'Os': 2},0.0,-1.339250209069333,-0.8658149,0.06874546991641477
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Os': 1},{'V': 4},{'V': 2},0.0,-1.7913867517477307,-0.5108645,-0.31398314728384885
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Os': 4},{'Os': 2},0.0,-1.339250209069333,-0.8658149,0.06874546991641477
4,mp-1001836_5d83020f30582ea2977ab568,{'Os': 1},{'V': 4},"{'Os': 2, 'V': 2}",0.0,-1.8146473113815067,-0.21549451,-0.33907816289471937
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Os': 4},"{'V': 2, 'Os': 2}",0.0,-1.3284871762568558,-0.84077543,0.2209476270800151
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Os': 7},0.0,-2.52633119447516,-1.3539459,-0.7291551050899203
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Os': 3},{'Os': 9},{'V': 7},0.0,-1.278999555714328,0.26954904,-0.5846987327713009
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Os': 3, 'V': 8}","{'Os': 2, 'V': 2}",0.0,-2.113369966611222,-0.3745838,-0.7269590879287661
9,mp-10032_5d83020e30582ea2977a710a,{'Os': 3},"{'V': 3, 'Os': 8}","{'V': 2, 'Os': 2}",0.0,-1.2332069319839676,0.44683528,-0.17892735455107905
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Os': 3, 'V': 2}","{'Os': 2, 'V': 5}",0.0,-1.7314537934029897,-1.258875,-0.6827059251359375
11,mp-10032_5d83020e30582ea2977a71d5,{'Os': 2},"{'V': 3, 'Os': 2}","{'V': 2, 'Os': 5}",0.0,-1.6113964463612196,-0.5418694,-0.5761699678068816
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Os': 2, 'V': 2}","{'Os': 1, 'V': 2}",0.0,-1.4049920104766276,-0.98327667,-0.1738598512079613
13,mp-10032_5d83020e30582ea2977a71d6,{'Os': 1},"{'V': 2, 'Os': 2}","{'V': 1, 'Os': 2}",0.0,-1.7811906239146449,-0.37827018,-0.4900120899588922
14,mp-10032_5d83020e30582ea2977a71d8,{'Os': 1},{'V': 4},{'V': 1},0.0,-1.8740806814558943,-0.79852,-0.3178163130720534
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Os': 4},{'Os': 1},0.0,-1.3627573832780384,-0.7793091,0.08864945306313374
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Os': 2, 'V': 4}","{'Os': 1, 'V': 2}",0.0,-1.561636374241948,-1.077073,-0.2287295732187049
17,mp-10032_5d83020e30582ea2977a71da,{'Os': 1},"{'V': 2, 'Os': 4}","{'V': 1, 'Os': 2}",0.0,-1.7077156779895089,-0.038945813,-0.3628836366973811
18,mp-10032_5d83020e30582ea2977a71db,{'Os': 1},{'V': 4},{'V': 1},0.0,-1.8740806814558943,-0.79852,-0.3178163130720534
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Os': 4},{'Os': 1},0.0,-1.3627573832780384,-0.7793091,0.08864945306313374
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Os': 3, 'V': 6}","{'Os': 4, 'V': 5}",0.0,-1.9723023698798348,-1.064008,-0.77248820904046
21,mp-10032_5d83020e30582ea2977a71dc,{'Os': 3},"{'V': 3, 'Os': 6}","{'V': 4, 'Os': 5}",0.0,-1.1641010237692446,0.4785764,-0.25607062549953746
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Os': 2, 'V': 3}","{'Os': 1, 'V': 2}",0.0,-1.4600751674233028,-0.9347488,-0.24782513924520694
23,mp-10032_5d83020e30582ea2977a71e0,{'Os': 1},"{'V': 2, 'Os': 3}","{'V': 1, 'Os': 2}",0.0,-1.8264635751073437,-0.35117814,-0.4906768418674726
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Os': 3, 'V': 6}","{'Os': 3, 'V': 2}",0.0,-1.8617550606574043,-1.0859734,-0.7463913709843508
25,mp-10032_5d83020e30582ea2977a71e1,{'Os': 2},"{'V': 3, 'Os': 6}","{'V': 3, 'Os': 2}",0.0,-1.4100240892266778,0.21238239,-0.38565528721705966
26,mp-10032_5d83020e30582ea2977a71e2,{'Os': 1},{'V': 4},{'V': 1},0.0,-1.8740806814558943,-0.79852,-0.3178163130720534
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Os': 4},{'Os': 1},0.0,-1.3627573832780384,-0.7793091,0.08864945306313374
