,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Pt': 4},{'Pt': 2},0.0,-0.024543619538620384,0.6499771,1.0550145901700252
1,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Pb': 4},{'Pb': 2},0.0,-0.7607231523038415,0.7217979,-0.12010970414096188
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Pt': 4},{'Pt': 2},0.0,-0.024543619538620384,0.6499771,1.0550145901700252
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Pb': 4},{'Pb': 2},0.0,-0.7607231523038415,0.7217979,-0.12010970414096188
4,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Pt': 4},"{'Pb': 2, 'Pt': 2}",0.0,0.04973239222054847,0.89941484,0.9963299852074814
5,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Pb': 4},"{'Pt': 2, 'Pb': 2}",0.0,-0.8211796861581979,0.6872256,-0.19685696033675226
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Pb': 7},0.0,-1.2167501781686034,0.88355607,-0.1523224338058602
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Pt': 7},0.0,-0.11764111364106897,0.5916758,0.7411556174567637
8,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Pb': 3, 'Pt': 8}","{'Pb': 2, 'Pt': 2}",0.0,-1.2551391364398685,1.0097804,-0.08081628790182016
9,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Pt': 3, 'Pb': 8}","{'Pt': 2, 'Pb': 2}",0.0,-0.013917130000215275,0.56386006,0.7069125247117962
10,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Pb': 3, 'Pt': 2}","{'Pb': 2, 'Pt': 5}",0.0,-1.2299785191911399,0.5218579,-0.3132118182770007
11,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Pt': 3, 'Pb': 2}","{'Pt': 2, 'Pb': 5}",0.0,0.0724913241405043,0.39008787,0.6419427595774079
12,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'Pb': 2, 'Pt': 2}","{'Pb': 1, 'Pt': 2}",0.0,-1.248998916996685,0.71640706,-0.17590755923225054
13,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Pt': 2, 'Pb': 2}","{'Pt': 1, 'Pb': 2}",0.0,0.009146894550185853,0.4387385,0.7618853797598606
14,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Pt': 4},{'Pt': 1},0.0,-0.03761786673913128,0.59925866,0.9895785404766294
15,mp-10032_5d83020e30582ea2977a71d8,{'Pt': 1},{'Pb': 4},{'Pb': 1},0.0,-0.909915229070768,0.62626654,-0.15428885321643387
16,mp-10032_5d83020e30582ea2977a71da,{'Pt': 1},"{'Pb': 2, 'Pt': 4}","{'Pb': 1, 'Pt': 2}",0.0,-1.2171919728607346,0.8655407,-0.16083717272728598
17,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Pt': 2, 'Pb': 4}","{'Pt': 1, 'Pb': 2}",0.0,0.030759063162901886,0.55478585,0.7213764779458084
18,mp-10032_5d83020e30582ea2977a71db,{'Pb': 1},{'Pt': 4},{'Pt': 1},0.0,-0.03761786673913128,0.59925866,0.9895785404766294
19,mp-10032_5d83020e30582ea2977a71db,{'Pt': 1},{'Pb': 4},{'Pb': 1},0.0,-0.909915229070768,0.62626654,-0.15428885321643387
20,mp-10032_5d83020e30582ea2977a71dc,{'Pt': 3},"{'Pb': 3, 'Pt': 6}","{'Pb': 4, 'Pt': 5}",0.0,-1.121001933510709,0.9458354,-0.31659030183838577
21,mp-10032_5d83020e30582ea2977a71dc,{'Pb': 3},"{'Pt': 3, 'Pb': 6}","{'Pt': 4, 'Pb': 5}",0.0,0.04860872818715958,0.566489,0.8219047089390861
22,mp-10032_5d83020e30582ea2977a71e0,{'Pt': 1},"{'Pb': 2, 'Pt': 3}","{'Pb': 1, 'Pt': 2}",0.0,-1.342119761061034,0.68274224,-0.20450222929128992
23,mp-10032_5d83020e30582ea2977a71e0,{'Pb': 1},"{'Pt': 2, 'Pb': 3}","{'Pt': 1, 'Pb': 2}",0.0,-0.005168154671337183,0.48481375,0.6612945024056555
24,mp-10032_5d83020e30582ea2977a71e1,{'Pt': 2},"{'Pb': 3, 'Pt': 6}","{'Pb': 3, 'Pt': 2}",0.0,-1.162457282050143,0.8738516,-0.30481994477750946
25,mp-10032_5d83020e30582ea2977a71e1,{'Pb': 2},"{'Pt': 3, 'Pb': 6}","{'Pt': 3, 'Pb': 2}",0.0,-0.06769320633048866,0.59807414,0.6968325584412283
26,mp-10032_5d83020e30582ea2977a71e2,{'Pb': 1},{'Pt': 4},{'Pt': 1},0.0,-0.03761786673913128,0.59925866,0.9895785404766294
27,mp-10032_5d83020e30582ea2977a71e2,{'Pt': 1},{'Pb': 4},{'Pb': 1},0.0,-0.909915229070768,0.62626654,-0.15428885321643387
