,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Sn': 4},{'Sn': 2},0.0,-0.041471407769452844,0.5309598,0.994267396050016
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'Pb': 4},{'Pb': 2},0.0,0.022974663402736444,0.45576796,0.6125967297792583
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Sn': 4},{'Sn': 2},0.0,-0.041471407769452844,0.5309598,0.994267396050016
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'Pb': 4},{'Pb': 2},0.0,0.022974663402736444,0.45576796,0.6125967297792583
4,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Sn': 4},"{'Pb': 2, 'Sn': 2}",0.0,0.01347915007124289,0.6606772,0.8670639234027546
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'Pb': 4},"{'Sn': 2, 'Pb': 2}",0.0,0.07899964962657492,0.48733073,0.6725479002582609
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'Pb': 7},0.0,0.0035081215648069077,0.43110728,0.8691646081841011
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Sn': 7},0.0,0.008707396969321917,0.53554845,0.7572839868503709
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'Pb': 3, 'Sn': 8}","{'Pb': 2, 'Sn': 2}",0.0,-6.334857549445735e-05,0.4999083,0.825255241280409
9,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Sn': 3, 'Pb': 8}","{'Sn': 2, 'Pb': 2}",0.0,-0.003763302582456877,0.61009014,0.8010226749503261
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'Pb': 3, 'Sn': 2}","{'Pb': 2, 'Sn': 5}",0.0,0.04561457474399334,0.44946387,0.5482903857858442
11,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Sn': 3, 'Pb': 2}","{'Sn': 2, 'Pb': 5}",0.0,0.0014230090775890992,0.5073869,0.7284869124696264
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'Pb': 2, 'Sn': 2}","{'Pb': 1, 'Sn': 2}",0.0,0.031230559618002626,0.5094537,0.5889432654688442
13,mp-10032_5d83020e30582ea2977a71d6,{'Pb': 1},"{'Sn': 2, 'Pb': 2}","{'Sn': 1, 'Pb': 2}",0.0,-0.007293431004968026,0.7621249,0.7890770338369483
14,mp-10032_5d83020e30582ea2977a71d8,{'Pb': 1},{'Sn': 4},{'Sn': 1},0.0,-0.0352323328978837,0.38939694,1.000318675319472
15,mp-10032_5d83020e30582ea2977a71d8,{'Sn': 1},{'Pb': 4},{'Pb': 1},0.0,0.013351870606091049,0.4091234,0.6202157564983406
16,mp-10032_5d83020e30582ea2977a71da,{'Sn': 1},"{'Pb': 2, 'Sn': 4}","{'Pb': 1, 'Sn': 2}",0.0,0.08251947309733955,0.48075122,0.7348496769751401
17,mp-10032_5d83020e30582ea2977a71da,{'Pb': 1},"{'Sn': 2, 'Pb': 4}","{'Sn': 1, 'Pb': 2}",0.0,0.0015202613732644976,0.63257706,0.8238979750915075
18,mp-10032_5d83020e30582ea2977a71db,{'Pb': 1},{'Sn': 4},{'Sn': 1},0.0,-0.0352323328978837,0.38939694,1.000318675319472
19,mp-10032_5d83020e30582ea2977a71db,{'Sn': 1},{'Pb': 4},{'Pb': 1},0.0,0.013351870606091049,0.4091234,0.6202157564983406
20,mp-10032_5d83020e30582ea2977a71dc,{'Sn': 3},"{'Pb': 3, 'Sn': 6}","{'Pb': 4, 'Sn': 5}",0.0,0.04399870295277012,0.5009543,0.83590766864063
21,mp-10032_5d83020e30582ea2977a71dc,{'Pb': 3},"{'Sn': 3, 'Pb': 6}","{'Sn': 4, 'Pb': 5}",0.0,0.03406714418397432,0.54145014,0.9193045569845452
22,mp-10032_5d83020e30582ea2977a71e0,{'Sn': 1},"{'Pb': 2, 'Sn': 3}","{'Pb': 1, 'Sn': 2}",0.0,0.049910335022899995,0.44371954,0.6075833160980193
23,mp-10032_5d83020e30582ea2977a71e0,{'Pb': 1},"{'Sn': 2, 'Pb': 3}","{'Sn': 1, 'Pb': 2}",0.0,-0.0224943175269092,0.71296763,0.7213794182659625
24,mp-10032_5d83020e30582ea2977a71e1,{'Sn': 2},"{'Pb': 3, 'Sn': 6}","{'Pb': 3, 'Sn': 2}",0.0,0.020419323167943947,0.40215144,0.7433838181814807
25,mp-10032_5d83020e30582ea2977a71e1,{'Pb': 2},"{'Sn': 3, 'Pb': 6}","{'Sn': 3, 'Pb': 2}",0.0,0.007151826677599244,0.64341897,0.7849709339447875
26,mp-10032_5d83020e30582ea2977a71e2,{'Pb': 1},{'Sn': 4},{'Sn': 1},0.0,-0.0352323328978837,0.38939694,1.000318675319472
27,mp-10032_5d83020e30582ea2977a71e2,{'Sn': 1},{'Pb': 4},{'Pb': 1},0.0,0.013351870606091049,0.4091234,0.6202157564983406
28,mp-10032_5d83020e30582ea2977a748b,{'Sn': 1},{'Sn': 3},{'Pb': 2},0.0,0.0015088618877383364,0.4681437,0.5046389160051333
29,mp-10032_5d83020e30582ea2977a748b,{'Pb': 1},{'Pb': 3},{'Sn': 2},0.0,-0.004569990308449644,0.5739513,0.7939456079882581
30,mp-10032_5d83020e30582ea2977a7490,"{'Pb': 1, 'Sn': 2}","{'Pb': 1, 'Sn': 6}","{'Pb': 4, 'Sn': 3}",0.0,0.005081997308188285,0.58853203,0.7662200634495003
31,mp-10032_5d83020e30582ea2977a7490,"{'Sn': 1, 'Pb': 2}","{'Sn': 1, 'Pb': 6}","{'Sn': 4, 'Pb': 3}",0.0,-0.003781610125512798,0.67488533,0.6785423839340481
32,mp-10032_5d83020e30582ea2977a7491,"{'Pb': 1, 'Sn': 2}","{'Pb': 1, 'Sn': 6}","{'Pb': 5, 'Sn': 3}",0.0,-0.002285619738309822,0.5971691,0.793204994423402
33,mp-10032_5d83020e30582ea2977a7491,"{'Sn': 1, 'Pb': 2}","{'Sn': 1, 'Pb': 6}","{'Sn': 5, 'Pb': 3}",0.0,0.007638314129946006,0.69889736,0.7170396980804177
34,mp-10032_5d83020e30582ea2977a7492,"{'Pb': 1, 'Sn': 4}","{'Pb': 3, 'Sn': 8}","{'Pb': 2, 'Sn': 5}",0.0,-0.009654427660925696,0.83156544,0.9838251302751727
35,mp-10032_5d83020e30582ea2977a7492,"{'Sn': 1, 'Pb': 4}","{'Sn': 3, 'Pb': 8}","{'Sn': 2, 'Pb': 5}",0.0,0.002222452901576065,0.61636823,1.0212243883027767
36,mp-10032_5d83020e30582ea2977a7494,{'Sn': 1},"{'Pb': 2, 'Sn': 2}",{'Sn': 3},0.0,0.05585166459080981,0.51456386,0.6074736934868634
37,mp-10032_5d83020e30582ea2977a7494,{'Pb': 1},"{'Sn': 2, 'Pb': 2}",{'Pb': 3},0.0,0.007765078114823029,0.7256351,0.8293152956441553
38,mp-10032_5d83020e30582ea2977a7499,{'Sn': 2},"{'Pb': 2, 'Sn': 2}",{'Pb': 4},0.0,0.035681669620211846,0.3949085,0.6439019898914452
39,mp-10032_5d83020e30582ea2977a7499,{'Pb': 2},"{'Sn': 2, 'Pb': 2}",{'Sn': 4},0.0,0.021912175305174798,0.5609276,0.7710721013866514
40,mp-10032_5d83020e30582ea2977a749b,"{'Pb': 1, 'Sn': 3}","{'Pb': 2, 'Sn': 7}","{'Pb': 3, 'Sn': 4}",0.0,-0.015697209407789254,0.7106392,1.043402098398772
41,mp-10032_5d83020e30582ea2977a749b,"{'Sn': 1, 'Pb': 3}","{'Sn': 2, 'Pb': 7}","{'Sn': 3, 'Pb': 4}",0.0,0.0030716154872513193,0.5708402,1.0612125721963892
42,mp-10032_5d83020e30582ea2977a749c,"{'Pb': 1, 'Sn': 2}","{'Pb': 1, 'Sn': 6}","{'Pb': 5, 'Sn': 3}",0.0,-0.002285619738309822,0.5971691,0.793204994423402
43,mp-10032_5d83020e30582ea2977a749c,"{'Sn': 1, 'Pb': 2}","{'Sn': 1, 'Pb': 6}","{'Sn': 5, 'Pb': 3}",0.0,0.007638314129946006,0.69889736,0.7170396980804177
44,mp-10032_5d83020e30582ea2977a749d,"{'Pb': 1, 'Sn': 2}","{'Pb': 1, 'Sn': 6}","{'Pb': 4, 'Sn': 3}",0.0,0.005081997308188285,0.58853203,0.7662200634495003
