,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pb': 1},{'Ti': 4},{'Ti': 2},0.0,-0.1416656796980653,0.30645725,0.5850638167366992
1,mp-10015_5d83020d30582ea2977a44b2,{'Ti': 1},{'Pb': 4},{'Pb': 2},0.0,-1.0168967197481373,-0.9642517,0.2674505979698514
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pb': 1},{'Ti': 4},{'Ti': 2},0.0,-0.1416656796980653,0.30645725,0.5850638167366992
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ti': 1},{'Pb': 4},{'Pb': 2},0.0,-1.0168967197481373,-0.9642517,0.2674505979698514
4,mp-1001836_5d83020f30582ea2977ab568,{'Pb': 1},{'Ti': 4},"{'Pb': 2, 'Ti': 2}",0.0,-0.13632190898973232,0.53736526,0.8032347653832066
5,mp-1001836_5d83020f30582ea2977ab568,{'Ti': 1},{'Pb': 4},"{'Ti': 2, 'Pb': 2}",0.0,-1.0402654643413265,-0.8994257,0.10421742943980163
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ti': 3},{'Ti': 9},{'Pb': 7},0.0,-2.1003091872284854,-1.3762331,-0.570360924118976
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pb': 3},{'Pb': 9},{'Ti': 7},0.0,-0.13284541453622584,0.30171925,0.6197062594512216
8,mp-10032_5d83020e30582ea2977a710a,{'Ti': 3},"{'Pb': 3, 'Ti': 8}","{'Pb': 2, 'Ti': 2}",0.0,-2.032921914797249,-1.4622786,-0.6500066995735538
9,mp-10032_5d83020e30582ea2977a710a,{'Pb': 3},"{'Ti': 3, 'Pb': 8}","{'Ti': 2, 'Pb': 2}",0.0,0.0517578220945605,0.67877626,0.8900464873145046
10,mp-10032_5d83020e30582ea2977a71d5,{'Ti': 2},"{'Pb': 3, 'Ti': 2}","{'Pb': 2, 'Ti': 5}",0.0,-1.5169065337481646,-1.7876611,-0.6982054354667051
11,mp-10032_5d83020e30582ea2977a71d5,{'Pb': 2},"{'Ti': 3, 'Pb': 2}","{'Ti': 2, 'Pb': 5}",0.0,0.01051193419955236,0.48250562,0.8678775306168444
12,mp-10032_5d83020e30582ea2977a71d6,{'Ti': 1},"{'Pb': 2, 'Ti': 2}","{'Pb': 1, 'Ti': 2}",0.0,-1.1049671029168615,-1.3815122,-0.13329227511047065
