,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
1,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
4,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
5,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Pd': 7},0.0,-1.692031571905385,0.9553344,-0.4055507820910885
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Pd': 7},0.0,-1.692031571905385,0.9553344,-0.4055507820910885
8,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},{'Pd': 8},{'Pd': 2},0.0,-1.585798722235841,0.08966044,-0.34062358982929763
9,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},{'Pd': 8},{'Pd': 2},0.0,-1.585798722235841,0.08966044,-0.34062358982929763
10,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},{'Pd': 2},{'Pd': 5},0.0,-1.5278676298752123,0.36652496,-0.27933182770686066
11,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},{'Pd': 2},{'Pd': 5},0.0,-1.5278676298752123,0.36652496,-0.27933182770686066
12,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},{'Pd': 2},{'Pd': 2},0.0,-1.3152461335863144,0.7638087,0.050497845373933564
13,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},{'Pd': 2},{'Pd': 2},0.0,-1.3152461335863144,0.7638087,0.050497845373933564
14,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3403736837621967,0.7548351,-0.11096577614511927
15,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3403736837621967,0.7548351,-0.11096577614511927
16,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
17,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},{'Pd': 4},{'Pd': 2},0.0,-1.2949735010132537,0.8598091,-0.028502631360242864
18,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3403736837621967,0.7548351,-0.11096577614511927
19,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3403736837621967,0.7548351,-0.11096577614511927
20,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},{'Pd': 6},{'Pd': 5},0.0,-1.6645036867179772,0.77202636,-0.36845413354036954
21,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},{'Pd': 6},{'Pd': 5},0.0,-1.6645036867179772,0.77202636,-0.36845413354036954
22,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},{'Pd': 3},{'Pd': 2},0.0,-1.314815651909654,0.8163115,0.014558755697364367
23,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},{'Pd': 3},{'Pd': 2},0.0,-1.314815651909654,0.8163115,0.014558755697364367
24,mp-10032_5d83020e30582ea2977a71e1,{'Pd': 2},{'Pd': 6},{'Pd': 2},0.0,-1.5655072343607537,0.5292893,-0.34317728667989106
25,mp-10032_5d83020e30582ea2977a71e1,{'Pd': 2},{'Pd': 6},{'Pd': 2},0.0,-1.5655072343607537,0.5292893,-0.34317728667989106
