,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Sb': 4},{'Sb': 2},0.0,-0.468865120151646,0.96210444,0.4730082957134015
1,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Pd': 4},{'Pd': 2},0.0,0.06976135708109235,0.5010288,0.6221621414331067
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Sb': 4},{'Sb': 2},0.0,-0.468865120151646,0.96210444,0.4730082957134015
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Pd': 4},{'Pd': 2},0.0,0.06976135708109235,0.5010288,0.6221621414331067
4,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Sb': 4},"{'Pd': 2, 'Sb': 2}",0.0,-0.3346270806626889,0.9359954,0.43099358423576745
5,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Pd': 4},"{'Sb': 2, 'Pd': 2}",0.0,0.07224971505262212,0.57371,0.529030132150568
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Pd': 7},0.0,-0.02388968169869995,1.166383,1.0274692493986817
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Sb': 7},0.0,-1.0325426490753817,0.8184051,-0.2537803453223162
8,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Pd': 3, 'Sb': 8}","{'Pd': 2, 'Sb': 2}",0.0,0.029498382097378623,0.91164935,0.8706744276818587
9,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'Sb': 3, 'Pd': 8}","{'Sb': 2, 'Pd': 2}",0.0,-1.0010262038000723,0.77861464,-0.18786291556297552
10,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Pd': 3, 'Sb': 2}","{'Pd': 2, 'Sb': 5}",0.0,0.08329722177774687,0.5999364,0.6161134420632642
11,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'Sb': 3, 'Pd': 2}","{'Sb': 2, 'Pd': 5}",0.0,-0.7720890767254484,0.547956,-0.028284249105544692
12,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Pd': 2, 'Sb': 2}","{'Pd': 1, 'Sb': 2}",0.0,0.03468096434564678,0.6558332,0.5343196471636432
13,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},"{'Sb': 2, 'Pd': 2}","{'Sb': 1, 'Pd': 2}",0.0,-0.5504298694716009,0.9475649,0.3200086668300842
14,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Sb': 4},{'Sb': 1},0.0,-0.4410411413020187,0.8406033,0.4295921980358864
15,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Pd': 4},{'Pd': 1},0.0,0.0869396155488472,0.47854206,0.4924280608938877
16,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Pd': 2, 'Sb': 4}","{'Pd': 1, 'Sb': 2}",0.0,0.2059633690308904,0.79447263,0.5669983944438447
17,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},"{'Sb': 2, 'Pd': 4}","{'Sb': 1, 'Pd': 2}",0.0,-0.7313322398469952,0.9442364,0.3915582731964171
18,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'Sb': 4},{'Sb': 1},0.0,-0.4410411413020187,0.8406033,0.4295921980358864
19,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Pd': 4},{'Pd': 1},0.0,0.0869396155488472,0.47854206,0.4924280608938877
20,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Pd': 3, 'Sb': 6}","{'Pd': 4, 'Sb': 5}",0.0,0.08274026389867918,0.88937443,0.8617747775523378
21,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},"{'Sb': 3, 'Pd': 6}","{'Sb': 4, 'Pd': 5}",0.0,-0.8879847743221455,0.7790899,-0.18035330671658767
22,mp-10032_5d83020e30582ea2977a71e0,{'Sb': 1},"{'Pd': 2, 'Sb': 3}","{'Pd': 1, 'Sb': 2}",0.0,0.11160579095532001,0.70363265,0.523292710650387
23,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},"{'Sb': 2, 'Pd': 3}","{'Sb': 1, 'Pd': 2}",0.0,-0.6947172371416761,0.8255594,0.37003558536550285
24,mp-10032_5d83020e30582ea2977a71e1,{'Sb': 2},"{'Pd': 3, 'Sb': 6}","{'Pd': 3, 'Sb': 2}",0.0,-0.02121384036562716,0.8466587,0.6735788701821407
25,mp-10032_5d83020e30582ea2977a71e1,{'Pd': 2},"{'Sb': 3, 'Pd': 6}","{'Sb': 3, 'Pd': 2}",0.0,-0.6438471840050356,0.7383084,0.15715779285965753
26,mp-10032_5d83020e30582ea2977a71e2,{'Pd': 1},{'Sb': 4},{'Sb': 1},0.0,-0.4410411413020187,0.8406033,0.4295921980358864
27,mp-10032_5d83020e30582ea2977a71e2,{'Sb': 1},{'Pd': 4},{'Pd': 1},0.0,0.0869396155488472,0.47854206,0.4924280608938877
28,mp-10032_5d83020e30582ea2977a748b,{'Sb': 1},{'Sb': 3},{'Pd': 2},0.0,0.021039811633289406,0.842166,0.48469704334237446
29,mp-10032_5d83020e30582ea2977a748b,{'Pd': 1},{'Pd': 3},{'Sb': 2},0.0,-0.8737292187141693,0.8232064,0.21666762158835715
