,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'Se': 4},{'Se': 2},0.0,-0.33787555841221184,1.0755143,0.18297700957142662
1,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'Pd': 4},{'Pd': 2},0.0,0.038013266715784776,1.5744193,0.4705968197825531
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'Se': 4},{'Se': 2},0.0,-0.33787555841221184,1.0755143,0.18297700957142662
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'Pd': 4},{'Pd': 2},0.0,0.038013266715784776,1.5744193,0.4705968197825531
4,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'Se': 4},"{'Pd': 2, 'Se': 2}",0.0,-0.38381943788377243,0.9527431,0.36567748629596997
5,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'Pd': 4},"{'Se': 2, 'Pd': 2}",0.0,0.06735362802663444,0.69831127,0.5082245669097578
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'Pd': 7},0.0,0.005952168839926144,2.4758332,1.0365861749814975
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'Se': 7},0.0,-1.1620238763703883,0.74235135,-0.010084481836480872
8,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'Pd': 3, 'Se': 8}","{'Pd': 2, 'Se': 2}",0.0,-0.010813994233580548,0.8257099,1.157526049902989
9,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'Se': 3, 'Pd': 8}","{'Se': 2, 'Pd': 2}",0.0,-1.0322201652407335,0.654421,0.05771434817585548
10,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'Pd': 3, 'Se': 2}","{'Pd': 2, 'Se': 5}",0.0,-0.010753285962191848,1.9839346,0.618096758723891
11,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'Se': 3, 'Pd': 2}","{'Se': 2, 'Pd': 5}",0.0,-0.7586442095249833,1.0806444,-0.07516553177768448
12,mp-10032_5d83020e30582ea2977a71d6,{'Se': 1},"{'Pd': 2, 'Se': 2}","{'Pd': 1, 'Se': 2}",0.0,-0.0017200574400244337,1.0162054,0.1561180456945519
13,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},"{'Se': 2, 'Pd': 2}","{'Se': 1, 'Pd': 2}",0.0,-0.684939186186445,1.1954476,0.12386959101979161
14,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'Se': 4},{'Se': 1},0.0,-0.36026421934535774,1.1215166,0.2032549655035578
15,mp-10032_5d83020e30582ea2977a71d8,{'Se': 1},{'Pd': 4},{'Pd': 1},0.0,0.048537885871421764,1.4944783,0.3512994568231317
16,mp-10032_5d83020e30582ea2977a71da,{'Se': 1},"{'Pd': 2, 'Se': 4}","{'Pd': 1, 'Se': 2}",0.0,0.042195801927316506,0.8476678,0.5284599969456444
17,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},"{'Se': 2, 'Pd': 4}","{'Se': 1, 'Pd': 2}",0.0,-0.6946629933834765,1.2060189,0.33555533053060294
18,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'Se': 4},{'Se': 1},0.0,-0.36026421934535774,1.1215166,0.2032549655035578
19,mp-10032_5d83020e30582ea2977a71db,{'Se': 1},{'Pd': 4},{'Pd': 1},0.0,0.048537885871421764,1.4944783,0.3512994568231317
20,mp-10032_5d83020e30582ea2977a71dc,{'Se': 3},"{'Pd': 3, 'Se': 6}","{'Pd': 4, 'Se': 5}",0.0,-0.0007074823716764721,2.1590662,1.420759169494356
21,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},"{'Se': 3, 'Pd': 6}","{'Se': 4, 'Pd': 5}",0.0,-0.6646270706419902,0.8630219,-0.0460486057444337
22,mp-10032_5d83020e30582ea2977a71e0,{'Se': 1},"{'Pd': 2, 'Se': 3}","{'Pd': 1, 'Se': 2}",0.0,-0.022955024665189543,1.0276266,0.26901878191105494
23,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},"{'Se': 2, 'Pd': 3}","{'Se': 1, 'Pd': 2}",0.0,-0.7195932502194566,1.1763058,0.14189660453281996
24,mp-10032_5d83020e30582ea2977a71e1,{'Se': 2},"{'Pd': 3, 'Se': 6}","{'Pd': 3, 'Se': 2}",0.0,0.0174844331655647,1.8287264,0.9807729205379981
25,mp-10032_5d83020e30582ea2977a71e1,{'Pd': 2},"{'Se': 3, 'Pd': 6}","{'Se': 3, 'Pd': 2}",0.0,-0.60815872558864,0.79493165,0.3187030087180986
26,mp-10032_5d83020e30582ea2977a71e2,{'Pd': 1},{'Se': 4},{'Se': 1},0.0,-0.36026421934535774,1.1215166,0.2032549655035578
27,mp-10032_5d83020e30582ea2977a71e2,{'Se': 1},{'Pd': 4},{'Pd': 1},0.0,0.048537885871421764,1.4944783,0.3512994568231317
28,mp-10032_5d83020e30582ea2977a748b,{'Se': 1},{'Se': 3},{'Pd': 2},0.0,0.008813487291521135,1.3812113,0.2911208911262406
29,mp-10032_5d83020e30582ea2977a748b,{'Pd': 1},{'Pd': 3},{'Se': 2},0.0,-0.9628074702659579,0.89492935,0.25621373654464297
30,mp-10032_5d83020e30582ea2977a7490,"{'Pd': 1, 'Se': 2}","{'Pd': 1, 'Se': 6}","{'Pd': 4, 'Se': 3}",0.0,-0.006084551726807713,1.0779691,0.9068572718404797
31,mp-10032_5d83020e30582ea2977a7490,"{'Se': 1, 'Pd': 2}","{'Se': 1, 'Pd': 6}","{'Se': 4, 'Pd': 3}",0.0,-0.04664602116063834,0.87948734,0.4124413315849377
32,mp-10032_5d83020e30582ea2977a7491,"{'Pd': 1, 'Se': 2}","{'Pd': 1, 'Se': 6}","{'Pd': 5, 'Se': 3}",0.0,0.0008791475997001364,1.1003633,0.9326878482091933
33,mp-10032_5d83020e30582ea2977a7491,"{'Se': 1, 'Pd': 2}","{'Se': 1, 'Pd': 6}","{'Se': 5, 'Pd': 3}",0.0,-0.004488545635746368,0.92814904,0.4615005652521795
34,mp-10032_5d83020e30582ea2977a7492,"{'Pd': 1, 'Se': 4}","{'Pd': 3, 'Se': 8}","{'Pd': 2, 'Se': 5}",0.0,-0.016529441948343764,1.0996648,1.5757116005101006
35,mp-10032_5d83020e30582ea2977a7492,"{'Se': 1, 'Pd': 4}","{'Se': 3, 'Pd': 8}","{'Se': 2, 'Pd': 5}",0.0,-0.18355113355860683,0.9990581,0.679208546261613
36,mp-10032_5d83020e30582ea2977a7494,{'Se': 1},"{'Pd': 2, 'Se': 2}",{'Se': 3},0.0,-0.018881171351059708,1.3974159,0.0756330868414303
37,mp-10032_5d83020e30582ea2977a7494,{'Pd': 1},"{'Se': 2, 'Pd': 2}",{'Pd': 3},0.0,-0.8851493495589294,1.3555086,0.2882131751039593
38,mp-10032_5d83020e30582ea2977a7499,{'Se': 2},"{'Pd': 2, 'Se': 2}",{'Pd': 4},0.0,0.028720759597147906,1.6237781,0.2871480203640407
39,mp-10032_5d83020e30582ea2977a7499,{'Pd': 2},"{'Se': 2, 'Pd': 2}",{'Se': 4},0.0,-0.445292732666702,0.29079303,0.09352330318966562
40,mp-10032_5d83020e30582ea2977a749b,"{'Pd': 1, 'Se': 3}","{'Pd': 2, 'Se': 7}","{'Pd': 3, 'Se': 4}",0.0,-0.02028859772451472,1.191854,1.4864185969210815
41,mp-10032_5d83020e30582ea2977a749b,"{'Se': 1, 'Pd': 3}","{'Se': 2, 'Pd': 7}","{'Se': 3, 'Pd': 4}",0.0,-0.11817918959143615,0.8748337,0.7595067717088856
42,mp-10032_5d83020e30582ea2977a749c,"{'Pd': 1, 'Se': 2}","{'Pd': 1, 'Se': 6}","{'Pd': 5, 'Se': 3}",0.0,0.0008791475997001364,1.1003633,0.9326878482091933
43,mp-10032_5d83020e30582ea2977a749c,"{'Se': 1, 'Pd': 2}","{'Se': 1, 'Pd': 6}","{'Se': 5, 'Pd': 3}",0.0,-0.004488545635746368,0.92814904,0.4615005652521795
44,mp-10032_5d83020e30582ea2977a749d,"{'Pd': 1, 'Se': 2}","{'Pd': 1, 'Se': 6}","{'Pd': 4, 'Se': 3}",0.0,-0.006084551726807713,1.0779691,0.9068572718404797
45,mp-10032_5d83020e30582ea2977a749d,"{'Se': 1, 'Pd': 2}","{'Se': 1, 'Pd': 6}","{'Se': 4, 'Pd': 3}",0.0,-0.04664602116063834,0.87948734,0.4124413315849377
46,mp-10032_5d83020e30582ea2977a749f,{'Se': 2},"{'Pd': 3, 'Se': 2}",{'Se': 2},0.0,-0.03252933290666086,1.3486654,0.5398558922743331
47,mp-10032_5d83020e30582ea2977a749f,{'Pd': 2},"{'Se': 3, 'Pd': 2}",{'Pd': 2},0.0,-0.7977797355858224,1.0348653,-0.1234001844771771
48,mp-10032_5d83020e30582ea2977a74a0,{'Se': 2},"{'Pd': 3, 'Se': 2}",{'Se': 2},0.0,-0.03252933290666086,1.3486654,0.5398558922743331
49,mp-10032_5d83020e30582ea2977a74a0,{'Pd': 2},"{'Se': 3, 'Pd': 2}",{'Pd': 2},0.0,-0.7977797355858224,1.0348653,-0.1234001844771771
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Se': 2},"{'Pd': 1, 'Se': 7}","{'Pd': 2, 'Se': 3}",0.0,-0.011716105571731368,2.0890114,1.3691289976104322
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Pd': 2},"{'Se': 1, 'Pd': 7}","{'Se': 2, 'Pd': 3}",0.0,-1.1240207584321529,0.767219,-0.1327940369999034
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Se': 2},{'Se': 7},"{'Pd': 3, 'Se': 3}",0.0,-0.00023285087499938804,1.9228543,0.8401035062550112
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Pd': 2},{'Pd': 7},"{'Se': 3, 'Pd': 3}",0.0,-1.1566659123329635,0.48820105,-0.24672856919558603
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Se': 3},{'Se': 9},"{'Pd': 2, 'Se': 2}",0.0,-0.012385450527523,0.8306461,1.0675754506134059
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Pd': 3},{'Pd': 9},"{'Se': 2, 'Pd': 2}",0.0,-1.2704511702165948,0.57394433,-0.27327723116769304
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'Se': 3},{'Se': 9},"{'Pd': 3, 'Se': 1}",0.0,0.029191542296054446,0.88737124,1.0546388714632193
