,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pd': 1},{'V': 4},{'V': 2},0.0,-0.9202764721892434,0.4113506,-0.10476973481219605
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Pd': 4},{'Pd': 2},0.0,-1.308907427290175,-1.0580752,-0.08209890094063393
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pd': 1},{'V': 4},{'V': 2},0.0,-0.9202764721892434,0.4113506,-0.10476973481219605
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Pd': 4},{'Pd': 2},0.0,-1.308907427290175,-1.0580752,-0.08209890094063393
4,mp-1001836_5d83020f30582ea2977ab568,{'Pd': 1},{'V': 4},"{'Pd': 2, 'V': 2}",0.0,-0.8750869565891836,0.56556255,-0.14408809609880283
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Pd': 4},"{'V': 2, 'Pd': 2}",0.0,-1.1379382342227906,-1.1067479,0.0807980086478482
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Pd': 7},0.0,-2.767396968443008,-1.5843343,-0.8341057874698862
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pd': 3},{'Pd': 9},{'V': 7},0.0,-1.018931839172223,0.76073825,-0.10841524445190291
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Pd': 3, 'V': 8}","{'Pd': 2, 'V': 2}",0.0,-2.141102773083824,-0.7608718,-0.5741322534688201
9,mp-10032_5d83020e30582ea2977a710a,{'Pd': 3},"{'V': 3, 'Pd': 8}","{'V': 2, 'Pd': 2}",0.0,-0.8748289991775126,0.81338143,-0.028726420555658987
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Pd': 3, 'V': 2}","{'Pd': 2, 'V': 5}",0.0,-1.60403221279016,-1.6334916,-0.697920323071519
11,mp-10032_5d83020e30582ea2977a71d5,{'Pd': 2},"{'V': 3, 'Pd': 2}","{'V': 2, 'Pd': 5}",0.0,-1.0993249698644478,0.3256929,-0.25638149643045866
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Pd': 2, 'V': 2}","{'Pd': 1, 'V': 2}",0.0,-1.3552541225312666,-1.4148599,-0.21386419892617975
13,mp-10032_5d83020e30582ea2977a71d6,{'Pd': 1},"{'V': 2, 'Pd': 2}","{'V': 1, 'Pd': 2}",0.0,-1.1423280487895868,0.6079111,-0.11970607485321981
14,mp-10032_5d83020e30582ea2977a71d8,{'Pd': 1},{'V': 4},{'V': 1},0.0,-1.0093726644060994,0.4551405,-0.14404915281855793
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3638002242350598,-0.9535198,-0.0408907285074559
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Pd': 2, 'V': 4}","{'Pd': 1, 'V': 2}",0.0,-1.474077306278666,-1.2602155,-0.11124299564633143
17,mp-10032_5d83020e30582ea2977a71da,{'Pd': 1},"{'V': 2, 'Pd': 4}","{'V': 1, 'Pd': 2}",0.0,-0.9771128385957991,0.9036344,0.039505607136594005
18,mp-10032_5d83020e30582ea2977a71db,{'Pd': 1},{'V': 4},{'V': 1},0.0,-1.0093726644060994,0.4551405,-0.14404915281855793
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3638002242350598,-0.9535198,-0.0408907285074559
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Pd': 3, 'V': 6}","{'Pd': 4, 'V': 5}",0.0,-1.9653459617237277,-1.3671956,-0.6958786136233536
21,mp-10032_5d83020e30582ea2977a71dc,{'Pd': 3},"{'V': 3, 'Pd': 6}","{'V': 4, 'Pd': 5}",0.0,-0.9345960507320042,0.68051344,-0.06884695705065481
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Pd': 2, 'V': 3}","{'Pd': 1, 'V': 2}",0.0,-1.39200452709795,-1.3370571,-0.2676440372298339
23,mp-10032_5d83020e30582ea2977a71e0,{'Pd': 1},"{'V': 2, 'Pd': 3}","{'V': 1, 'Pd': 2}",0.0,-0.9799017599492625,0.64013463,-0.06510548560135242
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Pd': 3, 'V': 6}","{'Pd': 3, 'V': 2}",0.0,-1.8553038413537792,-1.5069102,-0.6514348595892671
25,mp-10032_5d83020e30582ea2977a71e1,{'Pd': 2},"{'V': 3, 'Pd': 6}","{'V': 3, 'Pd': 2}",0.0,-0.913176370833318,0.6482665,-0.05458882520760851
26,mp-10032_5d83020e30582ea2977a71e2,{'Pd': 1},{'V': 4},{'V': 1},0.0,-1.0093726644060994,0.4551405,-0.14404915281855793
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3638002242350598,-0.9535198,-0.0408907285074559
28,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'Pd': 2},0.0,-1.7902353952682992,-1.7558337,-0.412127649823536
29,mp-10032_5d83020e30582ea2977a748b,{'Pd': 1},{'Pd': 3},{'V': 2},0.0,-1.0239574515051746,0.4447251,0.026744233348297314
30,mp-10032_5d83020e30582ea2977a7490,"{'Pd': 1, 'V': 2}","{'Pd': 1, 'V': 6}","{'Pd': 4, 'V': 3}",0.0,-1.8229012931731756,-0.80852115,-0.44103235839582383
31,mp-10032_5d83020e30582ea2977a7490,"{'V': 1, 'Pd': 2}","{'V': 1, 'Pd': 6}","{'V': 4, 'Pd': 3}",0.0,-1.1919324637623718,-0.3583873,-0.23426417602632774
32,mp-10032_5d83020e30582ea2977a7491,"{'Pd': 1, 'V': 2}","{'Pd': 1, 'V': 6}","{'Pd': 5, 'V': 3}",0.0,-1.8421388033738268,-0.7897804,-0.4463457597849051
33,mp-10032_5d83020e30582ea2977a7491,"{'V': 1, 'Pd': 2}","{'V': 1, 'Pd': 6}","{'V': 5, 'Pd': 3}",0.0,-1.096231144980772,-0.34991533,-0.20862674617337681
34,mp-10032_5d83020e30582ea2977a7492,"{'Pd': 1, 'V': 4}","{'Pd': 3, 'V': 8}","{'Pd': 2, 'V': 5}",0.0,-2.478786267986113,-0.41729265,-0.45608181190781394
35,mp-10032_5d83020e30582ea2977a7492,"{'V': 1, 'Pd': 4}","{'V': 3, 'Pd': 8}","{'V': 2, 'Pd': 5}",0.0,-1.2079543130613775,0.42965782,-0.15641655617159836
36,mp-10032_5d83020e30582ea2977a7494,{'V': 1},"{'Pd': 2, 'V': 2}",{'V': 3},0.0,-1.4419954133945572,-1.2610953,0.007125051093141186
37,mp-10032_5d83020e30582ea2977a7494,{'Pd': 1},"{'V': 2, 'Pd': 2}",{'Pd': 3},0.0,-1.2534121352822376,0.64677364,-0.13029048882173425
38,mp-10032_5d83020e30582ea2977a7499,{'V': 2},"{'Pd': 2, 'V': 2}",{'Pd': 4},0.0,-1.9920170660205125,-1.8391294,-0.7366424247635253
39,mp-10032_5d83020e30582ea2977a7499,{'Pd': 2},"{'V': 2, 'Pd': 2}",{'V': 4},0.0,-1.1395948191104002,0.3124715,-0.0856061433520448
40,mp-10032_5d83020e30582ea2977a749b,"{'Pd': 1, 'V': 3}","{'Pd': 2, 'V': 7}","{'Pd': 3, 'V': 4}",0.0,-2.354290472764827,-0.7225452,-0.5284873550443233
41,mp-10032_5d83020e30582ea2977a749b,"{'V': 1, 'Pd': 3}","{'V': 2, 'Pd': 7}","{'V': 3, 'Pd': 4}",0.0,-1.2906034866027076,-0.3162838,-0.14463429212494236
42,mp-10032_5d83020e30582ea2977a749c,"{'Pd': 1, 'V': 2}","{'Pd': 1, 'V': 6}","{'Pd': 5, 'V': 3}",0.0,-1.8421388033738268,-0.7897804,-0.4463457597849051
43,mp-10032_5d83020e30582ea2977a749c,"{'V': 1, 'Pd': 2}","{'V': 1, 'Pd': 6}","{'V': 5, 'Pd': 3}",0.0,-1.096231144980772,-0.34991533,-0.20862674617337681
44,mp-10032_5d83020e30582ea2977a749d,"{'Pd': 1, 'V': 2}","{'Pd': 1, 'V': 6}","{'Pd': 4, 'V': 3}",0.0,-1.8229012931731756,-0.80852115,-0.44103235839582383
45,mp-10032_5d83020e30582ea2977a749d,"{'V': 1, 'Pd': 2}","{'V': 1, 'Pd': 6}","{'V': 4, 'Pd': 3}",0.0,-1.1919324637623718,-0.3583873,-0.23426417602632774
46,mp-10032_5d83020e30582ea2977a749f,{'V': 2},"{'Pd': 3, 'V': 2}",{'V': 2},0.0,-1.655981597173176,-1.5218389,-0.5982073204982477
47,mp-10032_5d83020e30582ea2977a749f,{'Pd': 2},"{'V': 3, 'Pd': 2}",{'Pd': 2},0.0,-1.3379801891336283,0.48070315,-0.20918221737081752
48,mp-10032_5d83020e30582ea2977a74a0,{'V': 2},"{'Pd': 3, 'V': 2}",{'V': 2},0.0,-1.655981597173176,-1.5218389,-0.5982073204982477
49,mp-10032_5d83020e30582ea2977a74a0,{'Pd': 2},"{'V': 3, 'Pd': 2}",{'Pd': 2},0.0,-1.3379801891336283,0.48070315,-0.20918221737081752
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'V': 2},"{'Pd': 1, 'V': 7}","{'Pd': 2, 'V': 3}",0.0,-1.9559123537293102,-1.5752358,-0.6467157283630816
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Pd': 2},"{'V': 1, 'Pd': 7}","{'V': 2, 'Pd': 3}",0.0,-1.0404695003416555,0.8288411,-0.17367506459219217
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'V': 2},{'V': 7},"{'Pd': 3, 'V': 3}",0.0,-2.052226802864405,-1.4545654,-0.6235799398974206
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Pd': 2},{'Pd': 7},"{'V': 3, 'Pd': 3}",0.0,-0.9025772984567096,0.5565453,-0.2304449391546887
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'V': 3},{'V': 9},"{'Pd': 2, 'V': 2}",0.0,-2.440149774187344,-1.3409863,-0.7670689439928698
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Pd': 3},{'Pd': 9},"{'V': 2, 'Pd': 2}",0.0,-0.9541709695790681,0.72727585,-0.28337027938563053
56,mp-10032_5d83cd3b4eaf9091a4056b15,{'V': 3},{'V': 9},"{'Pd': 3, 'V': 1}",0.0,-2.6258100298739975,-1.5821611,-0.7631718244233873
57,mp-10032_5d83cd3b4eaf9091a4056b15,{'Pd': 3},{'Pd': 9},"{'V': 3, 'Pd': 1}",0.0,-1.0005704178280346,0.59611326,-0.2939835595163463
58,mp-10032_5d83cd3b4eaf9091a4056b16,{'V': 1},{'V': 5},"{'Pd': 2, 'V': 2}",0.0,-1.692119889635587,-1.2112315,-0.16338622384746723
59,mp-10032_5d83cd3b4eaf9091a4056b16,{'Pd': 1},{'Pd': 5},"{'V': 2, 'Pd': 2}",0.0,-0.7994080446650031,0.7312975,0.027074208261828606
60,mp-10032_5d83cd3b4eaf9091a4056b1a,{'V': 3},{'V': 9},"{'Pd': 2, 'V': 2}",0.0,-2.440149774187344,-1.3409863,-0.7670689439928698
61,mp-10032_5d83cd3b4eaf9091a4056b1a,{'Pd': 3},{'Pd': 9},"{'V': 2, 'Pd': 2}",0.0,-0.9541709695790681,0.72727585,-0.28337027938563053
62,mp-10032_5d83cd3b4eaf9091a4056b1b,{'V': 2},{'V': 8},"{'Pd': 2, 'V': 1}",0.0,-2.2027297553467546,-1.585753,-0.5534481399782664
63,mp-10032_5d83cd3b4eaf9091a4056b1b,{'Pd': 2},{'Pd': 8},"{'V': 2, 'Pd': 1}",0.0,-0.9372568585532957,0.50523055,-0.29369195682255145
64,mp-10032_5d83cd3b4eaf9091a4056b1d,{'V': 3},"{'Pd': 3, 'V': 10}","{'Pd': 4, 'V': 4}",0.0,-2.2545125909499326,-0.71127796,-0.54769605956291
65,mp-10032_5d83cd3b4eaf9091a4056b1d,{'Pd': 3},"{'V': 3, 'Pd': 10}","{'V': 4, 'Pd': 4}",0.0,-0.8751925691641829,0.92320925,-0.013919523981136744
66,mp-10032_5d83cd3b4eaf9091a4056b1e,{'V': 2},"{'Pd': 1, 'V': 7}","{'Pd': 2, 'V': 3}",0.0,-1.9559123537293102,-1.5752358,-0.6467157283630816
67,mp-10032_5d83cd3b4eaf9091a4056b1e,{'Pd': 2},"{'V': 1, 'Pd': 7}","{'V': 2, 'Pd': 3}",0.0,-1.0404695003416555,0.8288411,-0.17367506459219217
68,mp-10032_5d83cd3b4eaf9091a4056b23,{'Pd': 1},"{'Pd': 1, 'V': 2}",{'V': 2},0.0,-1.0016080651686399,0.3640245,-0.06669365477287797
69,mp-10032_5d83cd3b4eaf9091a4056b23,{'V': 1},"{'V': 1, 'Pd': 2}",{'Pd': 2},0.0,-1.5620932912919923,-1.7141681,-0.5757264343169917
70,mp-10032_5d83cd3b4eaf9091a4056b24,{'Pd': 1},"{'Pd': 1, 'V': 2}",{'V': 2},0.0,-1.0016080651686399,0.3640245,-0.06669365477287797
71,mp-10032_5d83cd3b4eaf9091a4056b24,{'V': 1},"{'V': 1, 'Pd': 2}",{'Pd': 2},0.0,-1.5620932912919923,-1.7141681,-0.5757264343169917
72,mp-10032_5d83cd3b4eaf9091a4056b26,{'Pd': 1},"{'Pd': 2, 'V': 2}",{'V': 2},0.0,-1.1389891930653973,0.47403863,0.018179586100655478
73,mp-10032_5d83cd3b4eaf9091a4056b26,{'V': 1},"{'V': 2, 'Pd': 2}",{'Pd': 2},0.0,-1.5894763079968117,-1.6232884,-0.4079546775238274
74,mp-10032_5d83cd3b4eaf9091a4056b2a,{'Pd': 2},"{'Pd': 2, 'V': 4}",{'V': 3},0.0,-0.9570947135358693,0.4055209,-0.1196009256045036
75,mp-10032_5d83cd3b4eaf9091a4056b2a,{'V': 2},"{'V': 2, 'Pd': 4}",{'Pd': 3},0.0,-2.093264091610326,-1.9873414,-0.8110127033000253
76,mp-10032_5d83cd3b4eaf9091a4056b2d,{'Pd': 2},"{'Pd': 2, 'V': 4}",{'V': 3},0.0,-0.9570947135358693,0.4055209,-0.1196009256045036
77,mp-10032_5d83cd3b4eaf9091a4056b2d,{'V': 2},"{'V': 2, 'Pd': 4}",{'Pd': 3},0.0,-2.093264091610326,-1.9873414,-0.8110127033000253
78,mp-10032_5d83cd3b4eaf9091a4056b2e,{'Pd': 1},"{'Pd': 2, 'V': 2}",{'V': 2},0.0,-1.1389891930653973,0.47403863,0.018179586100655478
79,mp-10032_5d83cd3b4eaf9091a4056b2e,{'V': 1},"{'V': 2, 'Pd': 2}",{'Pd': 2},0.0,-1.5894763079968117,-1.6232884,-0.4079546775238274
80,mp-10032_5d83cd3b4eaf9091a4056b30,{'Pd': 2},"{'Pd': 2, 'V': 4}",{'V': 3},0.0,-0.9570947135358693,0.4055209,-0.1196009256045036
81,mp-10032_5d83cd3b4eaf9091a4056b30,{'V': 2},"{'V': 2, 'Pd': 4}",{'Pd': 3},0.0,-2.093264091610326,-1.9873414,-0.8110127033000253
82,mp-10032_5d83cd3b4eaf9091a4056d0f,{'V': 1},{'V': 2},{'Pd': 3},0.0,-1.7638460393415152,-1.8326855,-0.6189238732384834
83,mp-10032_5d83cd3b4eaf9091a4056d0f,{'Pd': 1},{'Pd': 2},{'V': 3},0.0,-1.0376925151905336,0.4209887,0.004367708854671774
84,mp-10032_5d83cd3b4eaf9091a4056d12,{'V': 1},{'V': 2},{'Pd': 3},0.0,-1.7638460393415152,-1.8326855,-0.6189238732384834
85,mp-10032_5d83cd3b4eaf9091a4056d12,{'Pd': 1},{'Pd': 2},{'V': 3},0.0,-1.0376925151905336,0.4209887,0.004367708854671774
86,mp-10032_5d83cd3b4eaf9091a4056d13,{'Pd': 2},"{'Pd': 4, 'V': 2}",{'V': 5},0.0,-0.9873103947880117,0.4525029,0.029219099457224482
87,mp-10032_5d83cd3b4eaf9091a4056d13,{'V': 2},"{'V': 4, 'Pd': 2}",{'Pd': 5},0.0,-2.074440357259466,-1.7603865,-0.7090462326617673
88,mp-10032_5d83cd3b4eaf9091a4056d14,{'Pd': 2},"{'Pd': 4, 'V': 4}",{'V': 4},0.0,-0.9831496234719118,0.6236629,-0.029031483892963963
89,mp-10032_5d83cd3b4eaf9091a4056d14,{'V': 2},"{'V': 4, 'Pd': 4}",{'Pd': 4},0.0,-2.088595753351717,-1.9761229,-0.6917823840122188
90,mp-10047_5d83020f30582ea2977ab61a,{'V': 4},{'V': 8},"{'Pd': 4, 'V': 8}",0.0,-2.361471482220489,-1.438417,-0.6119502900997084
91,mp-10047_5d83020f30582ea2977ab61a,{'Pd': 4},{'Pd': 8},"{'V': 4, 'Pd': 8}",0.0,-0.6630950734889609,0.8284609,-0.25247030542570653
92,mp-10047_5d83020f30582ea2977ab79a,{'V': 2},"{'Pd': 3, 'V': 2}","{'Pd': 3, 'V': 3}",0.0,-1.5418139145958951,-1.7623014,-0.6723364219530875
93,mp-10047_5d83020f30582ea2977ab79a,{'Pd': 2},"{'V': 3, 'Pd': 2}","{'V': 3, 'Pd': 3}",0.0,-0.8406061784869269,0.25578642,-0.22678751977561984
94,mp-10047_5d83020f30582ea2977ab7fb,{'Pd': 1},{'V': 4},{'V': 1},0.0,-1.0093726644060994,0.4551405,-0.14404915281855793
95,mp-10047_5d83020f30582ea2977ab7fb,{'V': 1},{'Pd': 4},{'Pd': 1},0.0,-1.3638002242350598,-0.9535198,-0.0408907285074559
96,mp-10047_5d83020f30582ea2977abafc,{'V': 3},"{'Pd': 6, 'V': 4}",{'Pd': 3},0.0,-2.4153640154361047,-1.4933124,-0.7497993712571085
97,mp-10047_5d83020f30582ea2977abafc,{'Pd': 3},"{'V': 6, 'Pd': 4}",{'V': 3},0.0,-0.9996086061514654,0.5113404,0.05272952482832331
