,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Re': 4},{'Re': 2},0.0,-1.251225331597505,0.35823146,-0.12129366167182337
1,mp-10015_5d83020d30582ea2977a44b2,{'Re': 1},{'Pt': 4},{'Pt': 2},0.0,-1.902692863760463,-0.3545735,-0.2814682323197702
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Re': 4},{'Re': 2},0.0,-1.251225331597505,0.35823146,-0.12129366167182337
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Re': 1},{'Pt': 4},{'Pt': 2},0.0,-1.902692863760463,-0.3545735,-0.2814682323197702
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Re': 4},"{'Pt': 2, 'Re': 2}",0.0,-1.4669815629625356,0.69075805,-0.2498291019145318
5,mp-1001836_5d83020f30582ea2977ab568,{'Re': 1},{'Pt': 4},"{'Re': 2, 'Pt': 2}",0.0,-1.8327746142317676,-0.53519386,-0.192794371903804
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Re': 3},{'Re': 9},{'Pt': 7},0.0,-1.5529812250206438,-0.29551095,-0.4798989772018712
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Re': 7},0.0,-0.8789523331097951,1.1668068,-0.15039301589024398
8,mp-10032_5d83020e30582ea2977a710a,{'Re': 3},"{'Pt': 3, 'Re': 8}","{'Pt': 2, 'Re': 2}",0.0,-1.2450166257872493,-0.10318903,-0.23870386263786894
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Re': 3, 'Pt': 8}","{'Re': 2, 'Pt': 2}",0.0,-0.7991674915572218,0.8857427,-0.08112287890025459
10,mp-10032_5d83020e30582ea2977a71d5,{'Re': 2},"{'Pt': 3, 'Re': 2}","{'Pt': 2, 'Re': 5}",0.0,-1.505519715441953,-1.0287281,-0.5151238038518853
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Re': 3, 'Pt': 2}","{'Re': 2, 'Pt': 5}",0.0,-1.5141823125977036,0.3196781,-0.33867712667258953
12,mp-10032_5d83020e30582ea2977a71d6,{'Re': 1},"{'Pt': 2, 'Re': 2}","{'Pt': 1, 'Re': 2}",0.0,-1.562288959362846,-1.0390531,-0.35031548458566014
13,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'Re': 2, 'Pt': 2}","{'Re': 1, 'Pt': 2}",0.0,-1.3189900461471555,0.4008866,-0.43082360887761556
14,mp-10032_5d83020e30582ea2977a71d8,{'Pt': 1},{'Re': 4},{'Re': 1},0.0,-1.3697787468524536,0.28681967,-0.13237520164278585
15,mp-10032_5d83020e30582ea2977a71d8,{'Re': 1},{'Pt': 4},{'Pt': 1},0.0,-2.0146226836124663,-0.44128734,-0.34403051035074245
16,mp-10032_5d83020e30582ea2977a71da,{'Re': 1},"{'Pt': 2, 'Re': 4}","{'Pt': 1, 'Re': 2}",0.0,-1.484087921111267,-0.6633238,-0.2809253738392524
17,mp-10032_5d83020e30582ea2977a71da,{'Pt': 1},"{'Re': 2, 'Pt': 4}","{'Re': 1, 'Pt': 2}",0.0,-1.0496541102937913,0.8835295,-0.3347999124965124
18,mp-10032_5d83020e30582ea2977a71db,{'Pt': 1},{'Re': 4},{'Re': 1},0.0,-1.3697787468524536,0.28681967,-0.13237520164278585
19,mp-10032_5d83020e30582ea2977a71db,{'Re': 1},{'Pt': 4},{'Pt': 1},0.0,-2.0146226836124663,-0.44128734,-0.34403051035074245
