,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Sb': 4},{'Sb': 2},0.0,-0.6903534407265869,0.83790123,0.16890286935634755
1,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Pt': 4},{'Pt': 2},0.0,0.0758307229062735,0.7027971,0.8316626945305196
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Sb': 4},{'Sb': 2},0.0,-0.6903534407265869,0.83790123,0.16890286935634755
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Pt': 4},{'Pt': 2},0.0,0.0758307229062735,0.7027971,0.8316626945305196
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Sb': 4},"{'Pt': 2, 'Sb': 2}",0.0,-0.5686440175267923,0.8775819,0.021309409106287456
5,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Pt': 4},"{'Sb': 2, 'Pt': 2}",0.0,0.07601318859998465,0.6969534,0.5414068173987213
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Pt': 7},0.0,-0.12653627342119156,0.8527526,0.9005049441335655
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Sb': 7},0.0,-1.2630475076926868,1.0371919,-0.15086556121342562
8,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Pt': 3, 'Sb': 8}","{'Pt': 2, 'Sb': 2}",0.0,0.011585868274401175,0.8120046,0.7853325743563413
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Sb': 3, 'Pt': 8}","{'Sb': 2, 'Pt': 2}",0.0,-1.2620229735538933,1.0040385,0.029540518482506814
10,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Pt': 3, 'Sb': 2}","{'Pt': 2, 'Sb': 5}",0.0,0.09751566566962407,0.69060314,0.5620216648562094
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Sb': 3, 'Pt': 2}","{'Sb': 2, 'Pt': 5}",0.0,-0.9018576185250123,0.51112276,-0.3156313324458229
12,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Pt': 2, 'Sb': 2}","{'Pt': 1, 'Sb': 2}",0.0,0.03984056127906817,0.6079144,0.3739574021200193
13,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'Sb': 2, 'Pt': 2}","{'Sb': 1, 'Pt': 2}",0.0,-0.9989866559809978,0.7863227,-0.06028463373589533
14,mp-10032_5d83020e30582ea2977a71d8,{'Pt': 1},{'Sb': 4},{'Sb': 1},0.0,-0.7595632834201257,0.6771459,0.056003361110801196
15,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Pt': 4},{'Pt': 1},0.0,0.07055014475533626,0.52660686,0.7216944221465097
16,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Pt': 2, 'Sb': 4}","{'Pt': 1, 'Sb': 2}",0.0,0.19214231770066423,0.79141617,0.518858951388724
17,mp-10032_5d83020e30582ea2977a71da,{'Pt': 1},"{'Sb': 2, 'Pt': 4}","{'Sb': 1, 'Pt': 2}",0.0,-1.1193109259204845,1.0541193,-0.09200408609493173
18,mp-10032_5d83020e30582ea2977a71db,{'Pt': 1},{'Sb': 4},{'Sb': 1},0.0,-0.7595632834201257,0.6771459,0.056003361110801196
19,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Pt': 4},{'Pt': 1},0.0,0.07055014475533626,0.52660686,0.7216944221465097
20,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Pt': 3, 'Sb': 6}","{'Pt': 4, 'Sb': 5}",0.0,0.05640578741112514,0.83345824,0.8947947158578815
21,mp-10032_5d83020e30582ea2977a71dc,{'Pt': 3},"{'Sb': 3, 'Pt': 6}","{'Sb': 4, 'Pt': 5}",0.0,-1.0491806879032721,1.168092,-0.025862863891550753
22,mp-10032_5d83020e30582ea2977a71e0,{'Sb': 1},"{'Pt': 2, 'Sb': 3}","{'Pt': 1, 'Sb': 2}",0.0,0.0743465891685862,0.6378149,0.4723858450476596
23,mp-10032_5d83020e30582ea2977a71e0,{'Pt': 1},"{'Sb': 2, 'Pt': 3}","{'Sb': 1, 'Pt': 2}",0.0,-0.9881563087094478,0.7818956,-0.10339013229977383
24,mp-10032_5d83020e30582ea2977a71e1,{'Sb': 2},"{'Pt': 3, 'Sb': 6}","{'Pt': 3, 'Sb': 2}",0.0,0.047808977076498796,0.8892155,0.7836467024993043
25,mp-10032_5d83020e30582ea2977a71e1,{'Pt': 2},"{'Sb': 3, 'Pt': 6}","{'Sb': 3, 'Pt': 2}",0.0,-0.9239037117116192,0.8428706,-0.052464202533153065
26,mp-10032_5d83020e30582ea2977a71e2,{'Pt': 1},{'Sb': 4},{'Sb': 1},0.0,-0.7595632834201257,0.6771459,0.056003361110801196
27,mp-10032_5d83020e30582ea2977a71e2,{'Sb': 1},{'Pt': 4},{'Pt': 1},0.0,0.07055014475533626,0.52660686,0.7216944221465097
28,mp-10032_5d83020e30582ea2977a748b,{'Sb': 1},{'Sb': 3},{'Pt': 2},0.0,-0.015973046178635722,0.4904373,0.3330113669405644
29,mp-10032_5d83020e30582ea2977a748b,{'Pt': 1},{'Pt': 3},{'Sb': 2},0.0,-1.29592935630263,0.70826226,0.009426426912846668
30,mp-10032_5d83020e30582ea2977a7490,"{'Pt': 1, 'Sb': 2}","{'Pt': 1, 'Sb': 6}","{'Pt': 4, 'Sb': 3}",0.0,0.03755294968712325,0.73638946,0.6045022530287409
31,mp-10032_5d83020e30582ea2977a7490,"{'Sb': 1, 'Pt': 2}","{'Sb': 1, 'Pt': 6}","{'Sb': 4, 'Pt': 3}",0.0,-0.1586490474180839,0.8316431,0.4121031357245436
