,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Se': 4},{'Se': 2},0.0,-0.6576333060278089,0.4787375,0.04535388395826752
1,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'Pt': 4},{'Pt': 2},0.0,0.02435647402493988,1.1854268,0.7846467048614174
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Se': 4},{'Se': 2},0.0,-0.6576333060278089,0.4787375,0.04535388395826752
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'Pt': 4},{'Pt': 2},0.0,0.02435647402493988,1.1854268,0.7846467048614174
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Se': 4},"{'Pt': 2, 'Se': 2}",0.0,-0.7028996184297664,0.6072964,0.1712823034347466
5,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'Pt': 4},"{'Se': 2, 'Pt': 2}",0.0,0.0662700260868141,0.8493082,0.48845714498528786
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'Pt': 7},0.0,-0.06669913735749362,2.162826,0.9385360163837658
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Se': 7},0.0,-1.2822166901431185,0.7304571,0.03964916536606563
8,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'Pt': 3, 'Se': 8}","{'Pt': 2, 'Se': 2}",0.0,0.007943414707975037,0.95791066,1.0417970250532793
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Se': 3, 'Pt': 8}","{'Se': 2, 'Pt': 2}",0.0,-1.2245770385707004,0.81661683,0.04186400952304132
10,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'Pt': 3, 'Se': 2}","{'Pt': 2, 'Se': 5}",0.0,-0.011711675531403022,1.927847,0.5578752018806948
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Se': 3, 'Pt': 2}","{'Se': 2, 'Pt': 5}",0.0,-0.7991884361702356,0.7755028,-0.15162484226036843
12,mp-10032_5d83020e30582ea2977a71d6,{'Se': 1},"{'Pt': 2, 'Se': 2}","{'Pt': 1, 'Se': 2}",0.0,0.014090236213217975,0.74927574,0.29329669766756344
