,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Si': 4},{'Si': 2},0.0,-0.48354549138963804,0.4290304,0.22028092565209773
1,mp-10015_5d83020d30582ea2977a44b2,{'Si': 1},{'Pt': 4},{'Pt': 2},0.0,-0.07448576636734276,0.050409976,0.5772672668368761
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Si': 4},{'Si': 2},0.0,-0.48354549138963804,0.4290304,0.22028092565209773
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Si': 1},{'Pt': 4},{'Pt': 2},0.0,-0.07448576636734276,0.050409976,0.5772672668368761
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Si': 4},"{'Pt': 2, 'Si': 2}",0.0,-1.0169185520681132,0.57465446,-0.016105724109699338
5,mp-1001836_5d83020f30582ea2977ab568,{'Si': 1},{'Pt': 4},"{'Si': 2, 'Pt': 2}",0.0,-0.49917417373883255,-0.4058454,0.2561100944239585
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Si': 3},{'Si': 9},{'Pt': 7},0.0,-0.559965440356762,0.03314179,0.5320599712137212
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Si': 7},0.0,-1.1003177076951411,0.7870225,-0.22101817382243888
8,mp-10032_5d83020e30582ea2977a710a,{'Si': 3},"{'Pt': 3, 'Si': 8}","{'Pt': 2, 'Si': 2}",0.0,-0.623144675849403,1.7559034,0.5971600069297494
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Si': 3, 'Pt': 8}","{'Si': 2, 'Pt': 2}",0.0,-1.0560873632124435,0.99198204,-0.16341719265195792
10,mp-10032_5d83020e30582ea2977a71d5,{'Si': 2},"{'Pt': 3, 'Si': 2}","{'Pt': 2, 'Si': 5}",0.0,-0.4611537689440339,-0.726645,0.32566280495707517
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Si': 3, 'Pt': 2}","{'Si': 2, 'Pt': 5}",0.0,-1.2032827010454201,0.59787476,-0.1817809227479359
12,mp-10032_5d83020e30582ea2977a71d6,{'Si': 1},"{'Pt': 2, 'Si': 2}","{'Pt': 1, 'Si': 2}",0.0,-0.30382491947525014,-0.28239122,0.03748082283208005
13,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'Si': 2, 'Pt': 2}","{'Si': 1, 'Pt': 2}",0.0,-1.2115688199142285,0.59910464,-0.23788285012600363
14,mp-10032_5d83020e30582ea2977a71d8,{'Pt': 1},{'Si': 4},{'Si': 1},0.0,-0.6717237645042379,0.55447626,0.1984215202973781
15,mp-10032_5d83020e30582ea2977a71d8,{'Si': 1},{'Pt': 4},{'Pt': 1},0.0,-0.08415726156217768,-0.19021629,0.4917174938969232
16,mp-10032_5d83020e30582ea2977a71da,{'Si': 1},"{'Pt': 2, 'Si': 4}","{'Pt': 1, 'Si': 2}",0.0,-0.17635090288281924,-0.44876632,0.17450126443065966
17,mp-10032_5d83020e30582ea2977a71da,{'Pt': 1},"{'Si': 2, 'Pt': 4}","{'Si': 1, 'Pt': 2}",0.0,-0.8833638574468158,0.8581695,-0.2070053633011711
18,mp-10032_5d83020e30582ea2977a71db,{'Pt': 1},{'Si': 4},{'Si': 1},0.0,-0.6717237645042379,0.55447626,0.1984215202973781
