,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Ti': 4},{'Ti': 2},0.0,-1.1748598956245973,0.45528263,-0.39637283657373074
1,mp-10015_5d83020d30582ea2977a44b2,{'Ti': 1},{'Pt': 4},{'Pt': 2},0.0,-1.3086112028937629,-0.96902055,0.15619216507706282
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Ti': 4},{'Ti': 2},0.0,-1.1748598956245973,0.45528263,-0.39637283657373074
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ti': 1},{'Pt': 4},{'Pt': 2},0.0,-1.3086112028937629,-0.96902055,0.15619216507706282
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Ti': 4},"{'Pt': 2, 'Ti': 2}",0.0,-1.319015641096794,0.525082,-0.4738503789449696
5,mp-1001836_5d83020f30582ea2977ab568,{'Ti': 1},{'Pt': 4},"{'Ti': 2, 'Pt': 2}",0.0,-1.1286302743747252,-1.0565188,0.07699236705620609
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ti': 3},{'Ti': 9},{'Pt': 7},0.0,-2.318097330371649,-1.4967843,-0.5779557533242866
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Ti': 7},0.0,-1.042021996690299,0.92706144,-0.2721306743652578
8,mp-10032_5d83020e30582ea2977a710a,{'Ti': 3},"{'Pt': 3, 'Ti': 8}","{'Pt': 2, 'Ti': 2}",0.0,-2.1177112142616967,-1.5442531,-0.5296825341810142
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Ti': 3, 'Pt': 8}","{'Ti': 2, 'Pt': 2}",0.0,-0.8559194092310569,0.62950855,-0.018694005729363288
10,mp-10032_5d83020e30582ea2977a71d5,{'Ti': 2},"{'Pt': 3, 'Ti': 2}","{'Pt': 2, 'Ti': 5}",0.0,-1.6524657236225553,-1.8300292,-0.6851734816224561
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Ti': 3, 'Pt': 2}","{'Ti': 2, 'Pt': 5}",0.0,-1.459207556002328,0.22833113,-0.12507411833899032
12,mp-10032_5d83020e30582ea2977a71d6,{'Ti': 1},"{'Pt': 2, 'Ti': 2}","{'Pt': 1, 'Ti': 2}",0.0,-1.3129493322014403,-1.4588317,-0.1961956874592864
13,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'Ti': 2, 'Pt': 2}","{'Ti': 1, 'Pt': 2}",0.0,-1.5876415275093136,0.37753606,-0.23916186473629333
