,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'W': 4},{'W': 2},0.0,-1.2282868154861348,0.5455237,-0.09341344854045454
1,mp-10015_5d83020d30582ea2977a44b2,{'W': 1},{'Pt': 4},{'Pt': 2},0.0,-1.9172516926009397,-0.9316131,-0.3482762793777091
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'W': 4},{'W': 2},0.0,-1.2282868154861348,0.5455237,-0.09341344854045454
3,mp-10015_5d83cd3b4eaf9091a4057182,{'W': 1},{'Pt': 4},{'Pt': 2},0.0,-1.9172516926009397,-0.9316131,-0.3482762793777091
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'W': 4},"{'Pt': 2, 'W': 2}",0.0,-1.4419823919986166,0.69031626,-0.12073759167020286
5,mp-1001836_5d83020f30582ea2977ab568,{'W': 1},{'Pt': 4},"{'W': 2, 'Pt': 2}",0.0,-1.5618660029250804,-0.3712231,-0.20821055663933394
6,mp-1002114_5d83020f30582ea2977ab8e9,{'W': 3},{'W': 9},{'Pt': 7},0.0,-1.4332548027175864,-1.0537184,-0.5800132158541536
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'W': 7},0.0,-0.9319431684764377,1.29326,-0.20483671746717835
8,mp-10032_5d83020e30582ea2977a710a,{'W': 3},"{'Pt': 3, 'W': 8}","{'Pt': 2, 'W': 2}",0.0,-1.3252866283880804,-0.7713145,-0.343947673692886
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'W': 3, 'Pt': 8}","{'W': 2, 'Pt': 2}",0.0,-0.9177210359665655,1.0418953,-0.10456898950326037
10,mp-10032_5d83020e30582ea2977a71d5,{'W': 2},"{'Pt': 3, 'W': 2}","{'Pt': 2, 'W': 5}",0.0,-1.4042348240917228,-1.2647722,-0.5577620392821213
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'W': 3, 'Pt': 2}","{'W': 2, 'Pt': 5}",0.0,-1.3925845458320376,0.21735822,-0.34755733683555085
12,mp-10032_5d83020e30582ea2977a71d6,{'W': 1},"{'Pt': 2, 'W': 2}","{'Pt': 1, 'W': 2}",0.0,-1.5798151729404506,-0.9841982,-0.3434622852144311
13,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'W': 2, 'Pt': 2}","{'W': 1, 'Pt': 2}",0.0,-1.1274863037936351,0.3132094,-0.4819599197617207
14,mp-10032_5d83020e30582ea2977a71d8,{'Pt': 1},{'W': 4},{'W': 1},0.0,-1.312448076213955,0.44976833,-0.0755640150379447
15,mp-10032_5d83020e30582ea2977a71d8,{'W': 1},{'Pt': 4},{'Pt': 1},0.0,-2.028121343104055,-1.1415834,-0.4085257906175944
16,mp-10032_5d83020e30582ea2977a71da,{'W': 1},"{'Pt': 2, 'W': 4}","{'Pt': 1, 'W': 2}",0.0,-1.5796619918235606,-0.7645103,-0.2569225709571136
17,mp-10032_5d83020e30582ea2977a71da,{'Pt': 1},"{'W': 2, 'Pt': 4}","{'W': 1, 'Pt': 2}",0.0,-0.9251183130791443,0.88480276,-0.42118179271884465
18,mp-10032_5d83020e30582ea2977a71db,{'Pt': 1},{'W': 4},{'W': 1},0.0,-1.312448076213955,0.44976833,-0.0755640150379447
19,mp-10032_5d83020e30582ea2977a71db,{'W': 1},{'Pt': 4},{'Pt': 1},0.0,-2.028121343104055,-1.1415834,-0.4085257906175944
20,mp-10032_5d83020e30582ea2977a71dc,{'W': 3},"{'Pt': 3, 'W': 6}","{'Pt': 4, 'W': 5}",0.0,-1.1526281408712848,-1.0302885,-0.42777067552023657
21,mp-10032_5d83020e30582ea2977a71dc,{'Pt': 3},"{'W': 3, 'Pt': 6}","{'W': 4, 'Pt': 5}",0.0,-0.9472451116215092,1.2079927,-0.19872751071765254
22,mp-10032_5d83020e30582ea2977a71e0,{'W': 1},"{'Pt': 2, 'W': 3}","{'Pt': 1, 'W': 2}",0.0,-1.5492754250408656,-0.96095043,-0.2508271604954533
23,mp-10032_5d83020e30582ea2977a71e0,{'Pt': 1},"{'W': 2, 'Pt': 3}","{'W': 1, 'Pt': 2}",0.0,-1.1502166346918101,0.31088006,-0.4276030366381827
24,mp-10032_5d83020e30582ea2977a71e1,{'W': 2},"{'Pt': 3, 'W': 6}","{'Pt': 3, 'W': 2}",0.0,-1.3438109203335011,-1.1089464,-0.5724226047364115
25,mp-10032_5d83020e30582ea2977a71e1,{'Pt': 2},"{'W': 3, 'Pt': 6}","{'W': 3, 'Pt': 2}",0.0,-0.969279791115116,0.90105313,-0.25013923192992854
26,mp-10032_5d83020e30582ea2977a71e2,{'Pt': 1},{'W': 4},{'W': 1},0.0,-1.312448076213955,0.44976833,-0.0755640150379447
27,mp-10032_5d83020e30582ea2977a71e2,{'W': 1},{'Pt': 4},{'Pt': 1},0.0,-2.028121343104055,-1.1415834,-0.4085257906175944
28,mp-10032_5d83020e30582ea2977a748b,{'W': 1},{'W': 3},{'Pt': 2},0.0,-1.8462576161362139,-1.2948902,-0.3449806830276953
29,mp-10032_5d83020e30582ea2977a748b,{'Pt': 1},{'Pt': 3},{'W': 2},0.0,-1.2320812428772356,0.66159725,-0.21399622588000655
30,mp-10032_5d83020e30582ea2977a7490,"{'Pt': 1, 'W': 2}","{'Pt': 1, 'W': 6}","{'Pt': 4, 'W': 3}",0.0,-1.5728252396932156,-0.1429384,-0.30733632217582263
31,mp-10032_5d83020e30582ea2977a7490,"{'W': 1, 'Pt': 2}","{'W': 1, 'Pt': 6}","{'W': 4, 'Pt': 3}",0.0,-1.127737767586771,0.21864562,-0.24239065557850645
32,mp-10032_5d83020e30582ea2977a7491,"{'Pt': 1, 'W': 2}","{'Pt': 1, 'W': 6}","{'Pt': 5, 'W': 3}",0.0,-1.5387718566345856,-0.08388097,-0.30546145876842956
33,mp-10032_5d83020e30582ea2977a7491,"{'W': 1, 'Pt': 2}","{'W': 1, 'Pt': 6}","{'W': 5, 'Pt': 3}",0.0,-1.0795757157839025,0.21738817,-0.2202685862439375
34,mp-10032_5d83020e30582ea2977a7492,"{'Pt': 1, 'W': 4}","{'Pt': 3, 'W': 8}","{'Pt': 2, 'W': 5}",0.0,-1.223793644904374,-0.04331147,-0.17603801856252338
35,mp-10032_5d83020e30582ea2977a7492,"{'W': 1, 'Pt': 4}","{'W': 3, 'Pt': 8}","{'W': 2, 'Pt': 5}",0.0,-0.9779020285403859,0.60356116,-0.11139947660310406
36,mp-10032_5d83020e30582ea2977a7494,{'W': 1},"{'Pt': 2, 'W': 2}",{'W': 3},0.0,-1.5291060601013031,-0.835881,-0.19274771273716168
37,mp-10032_5d83020e30582ea2977a7494,{'Pt': 1},"{'W': 2, 'Pt': 2}",{'Pt': 3},0.0,-1.3373227506539926,0.29640388,-0.3784605511068461
38,mp-10032_5d83020e30582ea2977a7499,{'W': 2},"{'Pt': 2, 'W': 2}",{'Pt': 4},0.0,-1.9330294155766239,-1.5401942,-0.7163812327289972
39,mp-10032_5d83020e30582ea2977a7499,{'Pt': 2},"{'W': 2, 'Pt': 2}",{'W': 4},0.0,-1.0736445106549701,0.20130076,-0.4858333001409876
40,mp-10032_5d83020e30582ea2977a749b,"{'Pt': 1, 'W': 3}","{'Pt': 2, 'W': 7}","{'Pt': 3, 'W': 4}",0.0,-1.406649021764238,-0.0934653,-0.33103773657816016
41,mp-10032_5d83020e30582ea2977a749b,"{'W': 1, 'Pt': 3}","{'W': 2, 'Pt': 7}","{'W': 3, 'Pt': 4}",0.0,-1.2108290331657747,0.5549138,-0.24296889906169572
