,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Pt': 1},{'Zn': 4},{'Zn': 2},0.0,-1.238019424883888,0.8379171,-0.020926433798085377
1,mp-10015_5d83020d30582ea2977a44b2,{'Zn': 1},{'Pt': 4},{'Pt': 2},0.0,-0.10605380044577566,1.0965356,0.7531884225211798
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Pt': 1},{'Zn': 4},{'Zn': 2},0.0,-1.238019424883888,0.8379171,-0.020926433798085377
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Zn': 1},{'Pt': 4},{'Pt': 2},0.0,-0.10605380044577566,1.0965356,0.7531884225211798
4,mp-1001836_5d83020f30582ea2977ab568,{'Pt': 1},{'Zn': 4},"{'Pt': 2, 'Zn': 2}",0.0,-1.2769348296734417,0.72948325,-0.04067843898644435
5,mp-1001836_5d83020f30582ea2977ab568,{'Zn': 1},{'Pt': 4},"{'Zn': 2, 'Pt': 2}",0.0,-0.018248346679438716,0.5673832,0.5387042569795858
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Zn': 3},{'Zn': 9},{'Pt': 7},0.0,-0.2383006529911603,0.35694873,0.4482678250238551
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Pt': 3},{'Pt': 9},{'Zn': 7},0.0,-1.2924117413860106,0.9422502,-0.3097196354021495
8,mp-10032_5d83020e30582ea2977a710a,{'Zn': 3},"{'Pt': 3, 'Zn': 8}","{'Pt': 2, 'Zn': 2}",0.0,0.10544729054378567,0.27479762,0.41269037018313603
9,mp-10032_5d83020e30582ea2977a710a,{'Pt': 3},"{'Zn': 3, 'Pt': 8}","{'Zn': 2, 'Pt': 2}",0.0,-1.1431999288448036,0.7157224,-0.2091244454398371
10,mp-10032_5d83020e30582ea2977a71d5,{'Zn': 2},"{'Pt': 3, 'Zn': 2}","{'Pt': 2, 'Zn': 5}",0.0,0.03368113709627504,0.12978007,0.42945962767695295
11,mp-10032_5d83020e30582ea2977a71d5,{'Pt': 2},"{'Zn': 3, 'Pt': 2}","{'Zn': 2, 'Pt': 5}",0.0,-1.3494807448883879,0.4838172,-0.2933121736854738
12,mp-10032_5d83020e30582ea2977a71d6,{'Zn': 1},"{'Pt': 2, 'Zn': 2}","{'Pt': 1, 'Zn': 2}",0.0,-0.0624397458120264,0.3037001,0.4395460606842817
13,mp-10032_5d83020e30582ea2977a71d6,{'Pt': 1},"{'Zn': 2, 'Pt': 2}","{'Zn': 1, 'Pt': 2}",0.0,-1.6012009822790116,0.54906094,-0.2234023279319605
14,mp-10032_5d83020e30582ea2977a71d8,{'Pt': 1},{'Zn': 4},{'Zn': 1},0.0,-1.4203326771084566,0.7754736,-0.07547111115520416
15,mp-10032_5d83020e30582ea2977a71d8,{'Zn': 1},{'Pt': 4},{'Pt': 1},0.0,-0.13131173451606706,0.98142165,0.7380888358619041
16,mp-10032_5d83020e30582ea2977a71da,{'Zn': 1},"{'Pt': 2, 'Zn': 4}","{'Pt': 1, 'Zn': 2}",0.0,0.1837996114699528,0.17298315,0.3399941070467758
17,mp-10032_5d83020e30582ea2977a71da,{'Pt': 1},"{'Zn': 2, 'Pt': 4}","{'Zn': 1, 'Pt': 2}",0.0,-1.3642336496112182,0.6925632,-0.21992288647689387
18,mp-10032_5d83020e30582ea2977a71db,{'Pt': 1},{'Zn': 4},{'Zn': 1},0.0,-1.4203326771084566,0.7754736,-0.07547111115520416
19,mp-10032_5d83020e30582ea2977a71db,{'Zn': 1},{'Pt': 4},{'Pt': 1},0.0,-0.13131173451606706,0.98142165,0.7380888358619041
20,mp-10032_5d83020e30582ea2977a71dc,{'Zn': 3},"{'Pt': 3, 'Zn': 6}","{'Pt': 4, 'Zn': 5}",0.0,0.2473946045681896,0.34646073,0.43577261864655314
21,mp-10032_5d83020e30582ea2977a71dc,{'Pt': 3},"{'Zn': 3, 'Pt': 6}","{'Zn': 4, 'Pt': 5}",0.0,-1.0845200832775281,0.81484854,-0.20977719200099706
22,mp-10032_5d83020e30582ea2977a71e0,{'Zn': 1},"{'Pt': 2, 'Zn': 3}","{'Pt': 1, 'Zn': 2}",0.0,0.04102481355045959,0.23408097,0.389087083582432
23,mp-10032_5d83020e30582ea2977a71e0,{'Pt': 1},"{'Zn': 2, 'Pt': 3}","{'Zn': 1, 'Pt': 2}",0.0,-1.4567326292875193,0.52733153,-0.1668740132111758
24,mp-10032_5d83020e30582ea2977a71e1,{'Zn': 2},"{'Pt': 3, 'Zn': 6}","{'Pt': 3, 'Zn': 2}",0.0,0.10935726164642705,0.33580297,0.3046164374921179
25,mp-10032_5d83020e30582ea2977a71e1,{'Pt': 2},"{'Zn': 3, 'Pt': 6}","{'Zn': 3, 'Pt': 2}",0.0,-1.1340926032970478,0.83434135,-0.1631798816738203
26,mp-10032_5d83020e30582ea2977a71e2,{'Pt': 1},{'Zn': 4},{'Zn': 1},0.0,-1.4203326771084566,0.7754736,-0.07547111115520416
27,mp-10032_5d83020e30582ea2977a71e2,{'Zn': 1},{'Pt': 4},{'Pt': 1},0.0,-0.13131173451606706,0.98142165,0.7380888358619041
28,mp-10032_5d83020e30582ea2977a748b,{'Zn': 1},{'Zn': 3},{'Pt': 2},0.0,-0.24119169668555063,0.046346016,0.21369878247557153
29,mp-10032_5d83020e30582ea2977a748b,{'Pt': 1},{'Pt': 3},{'Zn': 2},0.0,-1.5079662810519365,0.6643928,-0.14470942030799586
