,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Rh': 1},{'Sn': 4},{'Sn': 2},0.0,-1.0501909228882798,0.324371,0.139514173300572
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'Rh': 4},{'Rh': 2},0.0,0.05605889846019698,0.6786111,0.9000333608420232
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Rh': 1},{'Sn': 4},{'Sn': 2},0.0,-1.0501909228882798,0.324371,0.139514173300572
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'Rh': 4},{'Rh': 2},0.0,0.05605889846019698,0.6786111,0.9000333608420232
4,mp-1001836_5d83020f30582ea2977ab568,{'Rh': 1},{'Sn': 4},"{'Rh': 2, 'Sn': 2}",0.0,-1.2469473465065701,0.069537245,-0.12751780023719328
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'Rh': 4},"{'Sn': 2, 'Rh': 2}",0.0,0.09274711157495022,0.4459188,0.7124081329853541
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'Rh': 7},0.0,0.12225754889546768,0.21156847,0.8972333111147399
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Rh': 3},{'Rh': 9},{'Sn': 7},0.0,-1.6823273253303965,0.5029215,-0.3850077586088113
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'Rh': 3, 'Sn': 8}","{'Rh': 2, 'Sn': 2}",0.0,0.1097585428554322,0.23205006,0.7229900651462159
9,mp-10032_5d83020e30582ea2977a710a,{'Rh': 3},"{'Sn': 3, 'Rh': 8}","{'Sn': 2, 'Rh': 2}",0.0,-1.6714369538380405,0.23328644,-0.4475337869135336
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'Rh': 3, 'Sn': 2}","{'Rh': 2, 'Sn': 5}",0.0,0.0892726783927235,0.27321464,0.5580538204735972
11,mp-10032_5d83020e30582ea2977a71d5,{'Rh': 2},"{'Sn': 3, 'Rh': 2}","{'Sn': 2, 'Rh': 5}",0.0,-1.678917428884917,0.056741677,-0.36431462933835945
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'Rh': 2, 'Sn': 2}","{'Rh': 1, 'Sn': 2}",0.0,0.08836523144194335,0.15539485,0.62266214355445
13,mp-10032_5d83020e30582ea2977a71d6,{'Rh': 1},"{'Sn': 2, 'Rh': 2}","{'Sn': 1, 'Rh': 2}",0.0,-1.7525832145859843,0.14561185,0.02989435116838109
14,mp-10032_5d83020e30582ea2977a71d8,{'Rh': 1},{'Sn': 4},{'Sn': 1},0.0,-1.3809487058942702,0.039374206,0.122129007958115
15,mp-10032_5d83020e30582ea2977a71d8,{'Sn': 1},{'Rh': 4},{'Rh': 1},0.0,0.0648366693969555,0.55351543,0.9127684211075517
16,mp-10032_5d83020e30582ea2977a71da,{'Sn': 1},"{'Rh': 2, 'Sn': 4}","{'Rh': 1, 'Sn': 2}",0.0,0.2058383320353574,0.2817021,0.7575834034195075
17,mp-10032_5d83020e30582ea2977a71da,{'Rh': 1},"{'Sn': 2, 'Rh': 4}","{'Sn': 1, 'Rh': 2}",0.0,-1.583605367683409,0.23961568,0.019323811064287447
18,mp-10032_5d83020e30582ea2977a71db,{'Rh': 1},{'Sn': 4},{'Sn': 1},0.0,-1.3809487058942702,0.039374206,0.122129007958115
19,mp-10032_5d83020e30582ea2977a71db,{'Sn': 1},{'Rh': 4},{'Rh': 1},0.0,0.0648366693969555,0.55351543,0.9127684211075517
20,mp-10032_5d83020e30582ea2977a71dc,{'Sn': 3},"{'Rh': 3, 'Sn': 6}","{'Rh': 4, 'Sn': 5}",0.0,0.10055087886730914,0.31202328,0.7682366818885664
21,mp-10032_5d83020e30582ea2977a71dc,{'Rh': 3},"{'Sn': 3, 'Rh': 6}","{'Sn': 4, 'Rh': 5}",0.0,-1.6431992063851828,0.24422091,-0.5142337842117347
22,mp-10032_5d83020e30582ea2977a71e0,{'Sn': 1},"{'Rh': 2, 'Sn': 3}","{'Rh': 1, 'Sn': 2}",0.0,0.11311516196255077,0.15161166,0.6164618454612347
23,mp-10032_5d83020e30582ea2977a71e0,{'Rh': 1},"{'Sn': 2, 'Rh': 3}","{'Sn': 1, 'Rh': 2}",0.0,-1.739268428677129,0.18237993,-0.010272753500068772
24,mp-10032_5d83020e30582ea2977a71e1,{'Sn': 2},"{'Rh': 3, 'Sn': 6}","{'Rh': 3, 'Sn': 2}",0.0,0.12335562918051247,0.22920975,0.693120183248816
25,mp-10032_5d83020e30582ea2977a71e1,{'Rh': 2},"{'Sn': 3, 'Rh': 6}","{'Sn': 3, 'Rh': 2}",0.0,-1.5994674549288457,0.26260427,-0.3493705098400359
26,mp-10032_5d83020e30582ea2977a71e2,{'Rh': 1},{'Sn': 4},{'Sn': 1},0.0,-1.3809487058942702,0.039374206,0.122129007958115
27,mp-10032_5d83020e30582ea2977a71e2,{'Sn': 1},{'Rh': 4},{'Rh': 1},0.0,0.0648366693969555,0.55351543,0.9127684211075517
28,mp-10032_5d83020e30582ea2977a748b,{'Sn': 1},{'Sn': 3},{'Rh': 2},0.0,0.14510415494732146,0.091936626,0.5226614748161228
29,mp-10032_5d83020e30582ea2977a748b,{'Rh': 1},{'Rh': 3},{'Sn': 2},0.0,-1.6593024313731881,0.44697827,-0.16670454376676944
30,mp-10032_5d83020e30582ea2977a7490,"{'Rh': 1, 'Sn': 2}","{'Rh': 1, 'Sn': 6}","{'Rh': 4, 'Sn': 3}",0.0,-0.13274814850073996,0.41444844,0.2819796205578639
31,mp-10032_5d83020e30582ea2977a7490,"{'Sn': 1, 'Rh': 2}","{'Sn': 1, 'Rh': 6}","{'Sn': 4, 'Rh': 3}",0.0,-0.9480718998055334,0.4171928,0.1576984987561504
32,mp-10032_5d83020e30582ea2977a7491,"{'Rh': 1, 'Sn': 2}","{'Rh': 1, 'Sn': 6}","{'Rh': 5, 'Sn': 3}",0.0,-0.17294387816053336,0.40715402,0.3096668288449526
33,mp-10032_5d83020e30582ea2977a7491,"{'Sn': 1, 'Rh': 2}","{'Sn': 1, 'Rh': 6}","{'Sn': 5, 'Rh': 3}",0.0,-1.0080259412622927,0.4138074,0.16417832789918566
