,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Rh': 1},{'Ti': 4},{'Ti': 2},0.0,-1.4587825094528397,0.36418736,-0.1807681052640167
1,mp-10015_5d83020d30582ea2977a44b2,{'Ti': 1},{'Rh': 4},{'Rh': 2},0.0,-1.4300361410142814,-0.9949495,0.19968782428855222
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Rh': 1},{'Ti': 4},{'Ti': 2},0.0,-1.4587825094528397,0.36418736,-0.1807681052640167
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Ti': 1},{'Rh': 4},{'Rh': 2},0.0,-1.4300361410142814,-0.9949495,0.19968782428855222
4,mp-1001836_5d83020f30582ea2977ab568,{'Rh': 1},{'Ti': 4},"{'Rh': 2, 'Ti': 2}",0.0,-1.4369099475398726,0.14835623,-0.3425215362940457
5,mp-1001836_5d83020f30582ea2977ab568,{'Ti': 1},{'Rh': 4},"{'Ti': 2, 'Rh': 2}",0.0,-1.3190240663699904,-1.451265,0.1973979177502132
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Ti': 3},{'Ti': 9},{'Rh': 7},0.0,-2.5373432325723573,-1.7755473,-0.6393506241050814
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Rh': 3},{'Rh': 9},{'Ti': 7},0.0,-1.4314898117986454,0.44926172,-0.36883915376119686
8,mp-10032_5d83020e30582ea2977a710a,{'Ti': 3},"{'Rh': 3, 'Ti': 8}","{'Rh': 2, 'Ti': 2}",0.0,-2.183199198517064,-1.6337581,-0.6423569777814344
9,mp-10032_5d83020e30582ea2977a710a,{'Rh': 3},"{'Ti': 3, 'Rh': 8}","{'Ti': 2, 'Rh': 2}",0.0,-1.334859160655312,0.5060391,-0.2409044272966696
10,mp-10032_5d83020e30582ea2977a71d5,{'Ti': 2},"{'Rh': 3, 'Ti': 2}","{'Rh': 2, 'Ti': 5}",0.0,-1.7294527990157413,-1.9871233,-0.5701429303018096
11,mp-10032_5d83020e30582ea2977a71d5,{'Rh': 2},"{'Ti': 3, 'Rh': 2}","{'Ti': 2, 'Rh': 5}",0.0,-1.4684974069257968,-0.17443937,-0.35971835061245994
12,mp-10032_5d83020e30582ea2977a71d6,{'Ti': 1},"{'Rh': 2, 'Ti': 2}","{'Rh': 1, 'Ti': 2}",0.0,-1.3050516052897896,-1.6224804,-0.04982355270432302
13,mp-10032_5d83020e30582ea2977a71d6,{'Rh': 1},"{'Ti': 2, 'Rh': 2}","{'Ti': 1, 'Rh': 2}",0.0,-1.468140322111832,0.1966805,-0.1133699037448484
14,mp-10032_5d83020e30582ea2977a71d8,{'Rh': 1},{'Ti': 4},{'Ti': 1},0.0,-1.5575543691664564,0.27146646,-0.12773397151938515
15,mp-10032_5d83020e30582ea2977a71d8,{'Ti': 1},{'Rh': 4},{'Rh': 1},0.0,-1.4328288125970066,-0.91771275,0.20960803083901314
16,mp-10032_5d83020e30582ea2977a71da,{'Ti': 1},"{'Rh': 2, 'Ti': 4}","{'Rh': 1, 'Ti': 2}",0.0,-1.3967791166578771,-1.3905938,-0.008132928244563898
17,mp-10032_5d83020e30582ea2977a71da,{'Rh': 1},"{'Ti': 2, 'Rh': 4}","{'Ti': 1, 'Rh': 2}",0.0,-1.4940150517338358,0.50629526,-0.028040216167487444
18,mp-10032_5d83020e30582ea2977a71db,{'Rh': 1},{'Ti': 4},{'Ti': 1},0.0,-1.5575543691664564,0.27146646,-0.12773397151938515
19,mp-10032_5d83020e30582ea2977a71db,{'Ti': 1},{'Rh': 4},{'Rh': 1},0.0,-1.4328288125970066,-0.91771275,0.20960803083901314
20,mp-10032_5d83020e30582ea2977a71dc,{'Ti': 3},"{'Rh': 3, 'Ti': 6}","{'Rh': 4, 'Ti': 5}",0.0,-2.031124360099584,-1.8586704,-0.632892549075717
21,mp-10032_5d83020e30582ea2977a71dc,{'Rh': 3},"{'Ti': 3, 'Rh': 6}","{'Ti': 4, 'Rh': 5}",0.0,-1.358676606606245,0.47789636,-0.18118638517576957
22,mp-10032_5d83020e30582ea2977a71e0,{'Ti': 1},"{'Rh': 2, 'Ti': 3}","{'Rh': 1, 'Ti': 2}",0.0,-1.3418840569057204,-1.5056312,-0.048724736124727684
23,mp-10032_5d83020e30582ea2977a71e0,{'Rh': 1},"{'Ti': 2, 'Rh': 3}","{'Ti': 1, 'Rh': 2}",0.0,-1.4808808865074707,0.2731466,-0.07427185760807903
24,mp-10032_5d83020e30582ea2977a71e1,{'Ti': 2},"{'Rh': 3, 'Ti': 6}","{'Rh': 3, 'Ti': 2}",0.0,-1.8631486405930282,-1.8787702,-0.6125077411311722
25,mp-10032_5d83020e30582ea2977a71e1,{'Rh': 2},"{'Ti': 3, 'Rh': 6}","{'Ti': 3, 'Rh': 2}",0.0,-1.4606297708848448,0.4122771,-0.22714917568668502
26,mp-10032_5d83020e30582ea2977a71e2,{'Rh': 1},{'Ti': 4},{'Ti': 1},0.0,-1.5575543691664564,0.27146646,-0.12773397151938515
27,mp-10032_5d83020e30582ea2977a71e2,{'Ti': 1},{'Rh': 4},{'Rh': 1},0.0,-1.4328288125970066,-0.91771275,0.20960803083901314
28,mp-10032_5d83020e30582ea2977a748b,{'Ti': 1},{'Ti': 3},{'Rh': 2},0.0,-1.7084487910696635,-1.5465525,-0.15282886987307484
29,mp-10032_5d83020e30582ea2977a748b,{'Rh': 1},{'Rh': 3},{'Ti': 2},0.0,-1.5228595997413756,0.42355242,-0.0666862970673783
30,mp-10032_5d83020e30582ea2977a7490,"{'Rh': 1, 'Ti': 2}","{'Rh': 1, 'Ti': 6}","{'Rh': 4, 'Ti': 3}",0.0,-1.8530738171010512,-1.1233869,-0.5560555349951135
31,mp-10032_5d83020e30582ea2977a7490,"{'Ti': 1, 'Rh': 2}","{'Ti': 1, 'Rh': 6}","{'Ti': 4, 'Rh': 3}",0.0,-1.370441068666452,-0.40812057,-0.33604452344711205
