,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Si': 4},{'Si': 2},0.0,0.043611550060977285,0.11937702,0.875297297516362
1,mp-10015_5d83020d30582ea2977a44b2,{'Si': 1},{'Sb': 4},{'Sb': 2},0.0,-0.1283444538107816,0.384646,-0.3912965497475849
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Si': 4},{'Si': 2},0.0,0.043611550060977285,0.11937702,0.875297297516362
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Si': 1},{'Sb': 4},{'Sb': 2},0.0,-0.1283444538107816,0.384646,-0.3912965497475849
4,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Si': 4},"{'Sb': 2, 'Si': 2}",0.0,0.06420437732716135,0.43984976,0.6781013125769441
5,mp-1001836_5d83020f30582ea2977ab568,{'Si': 1},{'Sb': 4},"{'Si': 2, 'Sb': 2}",0.0,-0.21521278289131393,-0.083388746,-0.10627560735431796
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Si': 3},{'Si': 9},{'Sb': 7},0.0,-0.34743068464316823,0.10315717,0.6995612143830044
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Si': 7},0.0,-0.012747699238249347,0.47077733,0.8827513138033476
8,mp-10032_5d83020e30582ea2977a710a,{'Si': 3},"{'Sb': 3, 'Si': 8}","{'Sb': 2, 'Si': 2}",0.0,-0.40509801499945025,1.1838604,0.4796197439868547
9,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Si': 3, 'Sb': 8}","{'Si': 2, 'Sb': 2}",0.0,0.042775518413690344,0.7360445,0.8663936205982784
10,mp-10032_5d83020e30582ea2977a71d5,{'Si': 2},"{'Sb': 3, 'Si': 2}","{'Sb': 2, 'Si': 5}",0.0,-0.41479103281831914,-0.7028438,0.24462430614475872
11,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Si': 3, 'Sb': 2}","{'Si': 2, 'Sb': 5}",0.0,0.009346260018775015,0.67426825,0.6572473553627791
12,mp-10032_5d83020e30582ea2977a71d6,{'Si': 1},"{'Sb': 2, 'Si': 2}","{'Sb': 1, 'Si': 2}",0.0,-0.22820927444099143,-0.5085991,0.009270877707545708
13,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Si': 2, 'Sb': 2}","{'Si': 1, 'Sb': 2}",0.0,0.06013210990351711,0.5565614,0.7019224430810072
14,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Si': 4},{'Si': 1},0.0,0.025983799271234412,0.28533363,0.9268993310470859
15,mp-10032_5d83020e30582ea2977a71d8,{'Si': 1},{'Sb': 4},{'Sb': 1},0.0,-0.1330626506783878,-0.008917894,-0.4213143822895506
16,mp-10032_5d83020e30582ea2977a71da,{'Si': 1},"{'Sb': 2, 'Si': 4}","{'Sb': 1, 'Si': 2}",0.0,-0.1682059148052072,-0.72611266,0.041915373252982745
17,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Si': 2, 'Sb': 4}","{'Si': 1, 'Sb': 2}",0.0,0.17729730955895615,0.56898594,0.8060564596126493
18,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Si': 4},{'Si': 1},0.0,0.025983799271234412,0.28533363,0.9268993310470859
19,mp-10032_5d83020e30582ea2977a71db,{'Si': 1},{'Sb': 4},{'Sb': 1},0.0,-0.1330626506783878,-0.008917894,-0.4213143822895506
20,mp-10032_5d83020e30582ea2977a71dc,{'Si': 3},"{'Sb': 3, 'Si': 6}","{'Sb': 4, 'Si': 5}",0.0,-0.33119933426548653,0.0033909243,0.5318523265698493
21,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Si': 3, 'Sb': 6}","{'Si': 4, 'Sb': 5}",0.0,0.017560658443528856,0.86753845,1.0076528551598551
