,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Sb': 1},{'Zn': 4},{'Zn': 2},0.0,-0.07943650544216077,0.8612278,0.6235607383224048
1,mp-10015_5d83020d30582ea2977a44b2,{'Zn': 1},{'Sb': 4},{'Sb': 2},0.0,0.07029833535871884,0.3904797,0.4783054081640962
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Sb': 1},{'Zn': 4},{'Zn': 2},0.0,-0.07943650544216077,0.8612278,0.6235607383224048
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Zn': 1},{'Sb': 4},{'Sb': 2},0.0,0.07029833535871884,0.3904797,0.4783054081640962
4,mp-1001836_5d83020f30582ea2977ab568,{'Sb': 1},{'Zn': 4},"{'Sb': 2, 'Zn': 2}",0.0,0.038814775561027935,0.64598227,0.5429822066033123
5,mp-1001836_5d83020f30582ea2977ab568,{'Zn': 1},{'Sb': 4},"{'Zn': 2, 'Sb': 2}",0.0,0.04413107261918977,0.4505957,0.399026392089112
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Zn': 3},{'Zn': 9},{'Sb': 7},0.0,-0.14392181094959305,0.06172164,0.42762866959105683
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Sb': 3},{'Sb': 9},{'Zn': 7},0.0,-0.024046277845969098,0.6626356,0.9539774242334079
8,mp-10032_5d83020e30582ea2977a710a,{'Zn': 3},"{'Sb': 3, 'Zn': 8}","{'Sb': 2, 'Zn': 2}",0.0,0.011379515223927272,0.45807585,0.5633755812257529
9,mp-10032_5d83020e30582ea2977a710a,{'Sb': 3},"{'Zn': 3, 'Sb': 8}","{'Zn': 2, 'Sb': 2}",0.0,-0.008030751082778387,0.8318913,0.8020393277947312
10,mp-10032_5d83020e30582ea2977a71d5,{'Zn': 2},"{'Sb': 3, 'Zn': 2}","{'Sb': 2, 'Zn': 5}",0.0,0.02409600234506336,0.12817681,0.22863342899018993
11,mp-10032_5d83020e30582ea2977a71d5,{'Sb': 2},"{'Zn': 3, 'Sb': 2}","{'Zn': 2, 'Sb': 5}",0.0,0.027262405023240396,0.46739036,0.6570835076417281
12,mp-10032_5d83020e30582ea2977a71d6,{'Zn': 1},"{'Sb': 2, 'Zn': 2}","{'Sb': 1, 'Zn': 2}",0.0,-0.024577554475668322,0.44136405,0.38625600428933304
13,mp-10032_5d83020e30582ea2977a71d6,{'Sb': 1},"{'Zn': 2, 'Sb': 2}","{'Zn': 1, 'Sb': 2}",0.0,0.027647046280788637,0.6233939,0.4049708327875062
14,mp-10032_5d83020e30582ea2977a71d8,{'Sb': 1},{'Zn': 4},{'Zn': 1},0.0,-0.06140324516994921,0.98094064,0.570809777025765
15,mp-10032_5d83020e30582ea2977a71d8,{'Zn': 1},{'Sb': 4},{'Sb': 1},0.0,0.07177237026428579,0.24959873,0.5954420769443283
16,mp-10032_5d83020e30582ea2977a71da,{'Zn': 1},"{'Sb': 2, 'Zn': 4}","{'Sb': 1, 'Zn': 2}",0.0,0.07493940607020626,0.36733204,0.48371276815826514
17,mp-10032_5d83020e30582ea2977a71da,{'Sb': 1},"{'Zn': 2, 'Sb': 4}","{'Zn': 1, 'Sb': 2}",0.0,0.07692710628764746,0.8967929,0.47640114895337676
18,mp-10032_5d83020e30582ea2977a71db,{'Sb': 1},{'Zn': 4},{'Zn': 1},0.0,-0.06140324516994921,0.98094064,0.570809777025765
19,mp-10032_5d83020e30582ea2977a71db,{'Zn': 1},{'Sb': 4},{'Sb': 1},0.0,0.07177237026428579,0.24959873,0.5954420769443283
20,mp-10032_5d83020e30582ea2977a71dc,{'Zn': 3},"{'Sb': 3, 'Zn': 6}","{'Sb': 4, 'Zn': 5}",0.0,0.09905943365308463,0.45287964,0.5683493508089378
21,mp-10032_5d83020e30582ea2977a71dc,{'Sb': 3},"{'Zn': 3, 'Sb': 6}","{'Zn': 4, 'Sb': 5}",0.0,0.029444000948916926,0.84480196,0.8196776008216023
22,mp-10032_5d83020e30582ea2977a71e0,{'Zn': 1},"{'Sb': 2, 'Zn': 3}","{'Sb': 1, 'Zn': 2}",0.0,0.011427742241342227,0.36821914,0.420940164132149
23,mp-10032_5d83020e30582ea2977a71e0,{'Sb': 1},"{'Zn': 2, 'Sb': 3}","{'Zn': 1, 'Sb': 2}",0.0,0.04882162731998352,0.8375968,0.3766160549055021
24,mp-10032_5d83020e30582ea2977a71e1,{'Zn': 2},"{'Sb': 3, 'Zn': 6}","{'Sb': 3, 'Zn': 2}",0.0,0.04408714218039136,0.1962862,0.5824825444846262
25,mp-10032_5d83020e30582ea2977a71e1,{'Sb': 2},"{'Zn': 3, 'Sb': 6}","{'Zn': 3, 'Sb': 2}",0.0,0.024663594700661626,0.9780717,0.7031885684886204
