,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Se': 1},{'Sn': 4},{'Sn': 2},0.0,0.021819775685050627,1.2949638,0.4418301313979671
1,mp-10015_5d83020d30582ea2977a44b2,{'Sn': 1},{'Se': 4},{'Se': 2},0.0,0.03702249417637663,0.5596266,0.2694816772416859
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Se': 1},{'Sn': 4},{'Sn': 2},0.0,0.021819775685050627,1.2949638,0.4418301313979671
3,mp-10015_5d83cd3b4eaf9091a4057182,{'Sn': 1},{'Se': 4},{'Se': 2},0.0,0.03702249417637663,0.5596266,0.2694816772416859
4,mp-1001836_5d83020f30582ea2977ab568,{'Se': 1},{'Sn': 4},"{'Se': 2, 'Sn': 2}",0.0,0.044570203187693176,0.7980414,0.21981025600249518
5,mp-1001836_5d83020f30582ea2977ab568,{'Sn': 1},{'Se': 4},"{'Sn': 2, 'Se': 2}",0.0,0.059383663147489885,0.41699392,0.5040090930373329
6,mp-1002114_5d83020f30582ea2977ab8e9,{'Sn': 3},{'Sn': 9},{'Se': 7},0.0,-0.013388742352167214,0.4677654,1.0124272091596234
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Se': 3},{'Se': 9},{'Sn': 7},0.0,-0.019977552540198822,1.780032,1.2215565585175712
8,mp-10032_5d83020e30582ea2977a710a,{'Sn': 3},"{'Se': 3, 'Sn': 8}","{'Se': 2, 'Sn': 2}",0.0,-0.0566063329535735,0.49161184,0.9632651847859474
9,mp-10032_5d83020e30582ea2977a710a,{'Se': 3},"{'Sn': 3, 'Se': 8}","{'Sn': 2, 'Se': 2}",0.0,-0.00941449542306219,0.39002904,1.4139693637218977
10,mp-10032_5d83020e30582ea2977a71d5,{'Sn': 2},"{'Se': 3, 'Sn': 2}","{'Se': 2, 'Sn': 5}",0.0,-0.008269248336316027,0.2400014,0.6441772291912279
11,mp-10032_5d83020e30582ea2977a71d5,{'Se': 2},"{'Sn': 3, 'Se': 2}","{'Sn': 2, 'Se': 5}",0.0,0.005705690496100521,1.9856474,0.5541046707903785
12,mp-10032_5d83020e30582ea2977a71d6,{'Sn': 1},"{'Se': 2, 'Sn': 2}","{'Se': 1, 'Sn': 2}",0.0,-0.0033855248482921926,0.46396142,0.6831813613344323
13,mp-10032_5d83020e30582ea2977a71d6,{'Se': 1},"{'Sn': 2, 'Se': 2}","{'Sn': 1, 'Se': 2}",0.0,-0.009982327253935181,0.96640015,-0.032423395002156734
14,mp-10032_5d83020e30582ea2977a71d8,{'Se': 1},{'Sn': 4},{'Sn': 1},0.0,0.030211826676453467,1.2368536,0.36293651117019765
15,mp-10032_5d83020e30582ea2977a71d8,{'Sn': 1},{'Se': 4},{'Se': 1},0.0,0.024867811247316598,0.40969694,0.20421286491524665
16,mp-10032_5d83020e30582ea2977a71da,{'Sn': 1},"{'Se': 2, 'Sn': 4}","{'Se': 1, 'Sn': 2}",0.0,0.047389017404073884,0.6260439,0.7571708026935878
17,mp-10032_5d83020e30582ea2977a71da,{'Se': 1},"{'Sn': 2, 'Se': 4}","{'Sn': 1, 'Se': 2}",0.0,0.041152571059224666,0.8277309,0.5153097973294641
18,mp-10032_5d83020e30582ea2977a71db,{'Se': 1},{'Sn': 4},{'Sn': 1},0.0,0.030211826676453467,1.2368536,0.36293651117019765
19,mp-10032_5d83020e30582ea2977a71db,{'Sn': 1},{'Se': 4},{'Se': 1},0.0,0.024867811247316598,0.40969694,0.20421286491524665
20,mp-10032_5d83020e30582ea2977a71dc,{'Sn': 3},"{'Se': 3, 'Sn': 6}","{'Se': 4, 'Sn': 5}",0.0,-0.0003640526896660573,0.415597,1.0704983482464592
21,mp-10032_5d83020e30582ea2977a71dc,{'Se': 3},"{'Sn': 3, 'Se': 6}","{'Sn': 4, 'Se': 5}",0.0,-0.019267259432227245,1.8078872,1.7425311743971974
22,mp-10032_5d83020e30582ea2977a71e0,{'Sn': 1},"{'Se': 2, 'Sn': 3}","{'Se': 1, 'Sn': 2}",0.0,-0.04269153450129268,0.51906025,0.6627364142669658
23,mp-10032_5d83020e30582ea2977a71e0,{'Se': 1},"{'Sn': 2, 'Se': 3}","{'Sn': 1, 'Se': 2}",0.0,-0.00329472139623424,0.9065683,0.08083422578728926
24,mp-10032_5d83020e30582ea2977a71e1,{'Sn': 2},"{'Se': 3, 'Sn': 6}","{'Se': 3, 'Sn': 2}",0.0,0.0207650169205287,0.46929696,0.8769160840786695
25,mp-10032_5d83020e30582ea2977a71e1,{'Se': 2},"{'Sn': 3, 'Se': 6}","{'Sn': 3, 'Se': 2}",0.0,-0.018273158885954356,1.4209816,1.3469912886139852
26,mp-10032_5d83020e30582ea2977a71e2,{'Se': 1},{'Sn': 4},{'Sn': 1},0.0,0.030211826676453467,1.2368536,0.36293651117019765
27,mp-10032_5d83020e30582ea2977a71e2,{'Sn': 1},{'Se': 4},{'Se': 1},0.0,0.024867811247316598,0.40969694,0.20421286491524665
28,mp-10032_5d83020e30582ea2977a748b,{'Sn': 1},{'Sn': 3},{'Se': 2},0.0,0.03806618363927515,0.7198202,0.5852209350440785
29,mp-10032_5d83020e30582ea2977a748b,{'Se': 1},{'Se': 3},{'Sn': 2},0.0,-0.020146876275170277,0.95127195,0.21855428947104127
30,mp-10032_5d83020e30582ea2977a7490,"{'Se': 1, 'Sn': 2}","{'Se': 1, 'Sn': 6}","{'Se': 4, 'Sn': 3}",0.0,0.012618064838998548,0.6661548,0.8432625507677612
31,mp-10032_5d83020e30582ea2977a7490,"{'Sn': 1, 'Se': 2}","{'Sn': 1, 'Se': 6}","{'Sn': 4, 'Se': 3}",0.0,-0.02240338291026806,0.7312485,1.3417536521368632
32,mp-10032_5d83020e30582ea2977a7491,"{'Se': 1, 'Sn': 2}","{'Se': 1, 'Sn': 6}","{'Se': 5, 'Sn': 3}",0.0,-0.0013073615259578677,0.7373233,0.8375574221886996
33,mp-10032_5d83020e30582ea2977a7491,"{'Sn': 1, 'Se': 2}","{'Sn': 1, 'Se': 6}","{'Sn': 5, 'Se': 3}",0.0,-0.026144036499014395,0.65951675,1.267545222397837
34,mp-10032_5d83020e30582ea2977a7492,"{'Se': 1, 'Sn': 4}","{'Se': 3, 'Sn': 8}","{'Se': 2, 'Sn': 5}",0.0,0.0010242210283149134,0.598493,1.014268579321346
35,mp-10032_5d83020e30582ea2977a7492,"{'Sn': 1, 'Se': 4}","{'Sn': 3, 'Se': 8}","{'Sn': 2, 'Se': 5}",0.0,-0.005959770235390285,1.7848678,1.9812255675913324
36,mp-10032_5d83020e30582ea2977a7494,{'Sn': 1},"{'Se': 2, 'Sn': 2}",{'Sn': 3},0.0,0.019433664655981175,0.43265522,0.6251394539306128
37,mp-10032_5d83020e30582ea2977a7494,{'Se': 1},"{'Sn': 2, 'Se': 2}",{'Se': 3},0.0,-0.008196104364492718,1.6538175,0.0824894469227089
38,mp-10032_5d83020e30582ea2977a7499,{'Sn': 2},"{'Se': 2, 'Sn': 2}",{'Se': 4},0.0,0.0152213890542537,0.34784558,0.5742020872347771
39,mp-10032_5d83020e30582ea2977a7499,{'Se': 2},"{'Sn': 2, 'Se': 2}",{'Sn': 4},0.0,-0.03264101874483558,0.90373206,0.48273401658645904
40,mp-10032_5d83020e30582ea2977a749b,"{'Se': 1, 'Sn': 3}","{'Se': 2, 'Sn': 7}","{'Se': 3, 'Sn': 4}",0.0,0.03875733554822783,0.6436418,1.152840281845343
41,mp-10032_5d83020e30582ea2977a749b,"{'Sn': 1, 'Se': 3}","{'Sn': 2, 'Se': 7}","{'Sn': 3, 'Se': 4}",0.0,-0.018966970079258714,1.5981812,1.9413485201657414
42,mp-10032_5d83020e30582ea2977a749c,"{'Se': 1, 'Sn': 2}","{'Se': 1, 'Sn': 6}","{'Se': 5, 'Sn': 3}",0.0,-0.0013073615259578677,0.7373233,0.8375574221886996
43,mp-10032_5d83020e30582ea2977a749c,"{'Sn': 1, 'Se': 2}","{'Sn': 1, 'Se': 6}","{'Sn': 5, 'Se': 3}",0.0,-0.026144036499014395,0.65951675,1.267545222397837
44,mp-10032_5d83020e30582ea2977a749d,"{'Se': 1, 'Sn': 2}","{'Se': 1, 'Sn': 6}","{'Se': 4, 'Sn': 3}",0.0,0.012618064838998548,0.6661548,0.8432625507677612
45,mp-10032_5d83020e30582ea2977a749d,"{'Sn': 1, 'Se': 2}","{'Sn': 1, 'Se': 6}","{'Sn': 4, 'Se': 3}",0.0,-0.02240338291026806,0.7312485,1.3417536521368632
46,mp-10032_5d83020e30582ea2977a749f,{'Sn': 2},"{'Se': 3, 'Sn': 2}",{'Sn': 2},0.0,-0.022911156384174503,0.037323978,0.7480987450720875
47,mp-10032_5d83020e30582ea2977a749f,{'Se': 2},"{'Sn': 3, 'Se': 2}",{'Se': 2},0.0,-0.004460137171738265,1.3817953,0.5299790219510844
48,mp-10032_5d83020e30582ea2977a74a0,{'Sn': 2},"{'Se': 3, 'Sn': 2}",{'Sn': 2},0.0,-0.022911156384174503,0.037323978,0.7480987450720875
49,mp-10032_5d83020e30582ea2977a74a0,{'Se': 2},"{'Sn': 3, 'Se': 2}",{'Se': 2},0.0,-0.004460137171738265,1.3817953,0.5299790219510844
50,mp-10032_5d83cd3b4eaf9091a4056b12,{'Sn': 2},"{'Se': 1, 'Sn': 7}","{'Se': 2, 'Sn': 3}",0.0,0.005546249658880998,0.33423406,0.9348584559692741
51,mp-10032_5d83cd3b4eaf9091a4056b12,{'Se': 2},"{'Sn': 1, 'Se': 7}","{'Sn': 2, 'Se': 3}",0.0,-0.027551114533183062,1.8428177,1.400546124104331
52,mp-10032_5d83cd3b4eaf9091a4056b13,{'Sn': 2},{'Sn': 7},"{'Se': 3, 'Sn': 3}",0.0,0.012985855240191007,0.38019535,0.7168170142298902
53,mp-10032_5d83cd3b4eaf9091a4056b13,{'Se': 2},{'Se': 7},"{'Sn': 3, 'Se': 3}",0.0,-0.0034210560419763707,1.6691798,1.1037935567397357
54,mp-10032_5d83cd3b4eaf9091a4056b14,{'Sn': 3},{'Sn': 9},"{'Se': 2, 'Sn': 2}",0.0,-0.0373408865047649,0.43039003,1.0068846642350076
55,mp-10032_5d83cd3b4eaf9091a4056b14,{'Se': 3},{'Se': 9},"{'Sn': 2, 'Se': 2}",0.0,-0.008536852466080713,0.45793995,1.2757511141060494
