,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Si': 1},{'V': 4},{'V': 2},0.0,-0.07107794447014973,-0.03525439,0.17839793945921265
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Si': 4},{'Si': 2},0.0,-1.334205979904003,-1.169604,0.21892830612187092
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Si': 1},{'V': 4},{'V': 2},0.0,-0.07107794447014973,-0.03525439,0.17839793945921265
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Si': 4},{'Si': 2},0.0,-1.334205979904003,-1.169604,0.21892830612187092
4,mp-1001836_5d83020f30582ea2977ab568,{'Si': 1},{'V': 4},"{'Si': 2, 'V': 2}",0.0,-0.42331951583242,-0.17681395,0.3808442384834858
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Si': 4},"{'V': 2, 'Si': 2}",0.0,-1.3167793841805087,-1.0620316,0.04927480841360877
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Si': 7},0.0,-2.2422028554755267,-1.2598764,-0.6663397480062738
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Si': 3},{'Si': 9},{'V': 7},0.0,-0.47477336273140747,0.11440927,0.4759732194799903
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Si': 3, 'V': 8}","{'Si': 2, 'V': 2}",0.0,-2.097904495084234,-0.8997817,-0.6308897640589456
9,mp-10032_5d83020e30582ea2977a710a,{'Si': 3},"{'V': 3, 'Si': 8}","{'V': 2, 'Si': 2}",0.0,-0.3302870448373116,1.7419872,0.5383434856057058
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Si': 3, 'V': 2}","{'Si': 2, 'V': 5}",0.0,-1.7350324527831462,-1.7636145,-0.6014684855690431
11,mp-10032_5d83020e30582ea2977a71d5,{'Si': 2},"{'V': 3, 'Si': 2}","{'V': 2, 'Si': 5}",0.0,-0.2070408729014299,-0.4854327,0.38316374812290416
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Si': 2, 'V': 2}","{'Si': 1, 'V': 2}",0.0,-1.4341450175310404,-1.1660799,-0.08672062175259398
13,mp-10032_5d83020e30582ea2977a71d6,{'Si': 1},"{'V': 2, 'Si': 2}","{'V': 1, 'Si': 2}",0.0,-0.123928732724124,-0.33135968,0.14368491853581344
14,mp-10032_5d83020e30582ea2977a71d8,{'Si': 1},{'V': 4},{'V': 1},0.0,-0.1007416143866749,0.011938671,0.17942109192490754
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Si': 4},{'Si': 1},0.0,-1.353379856342081,-1.1317557,0.23000857329378094
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Si': 2, 'V': 4}","{'Si': 1, 'V': 2}",0.0,-1.2022516569278265,-1.0572969,0.03344446607207594
17,mp-10032_5d83020e30582ea2977a71da,{'Si': 1},"{'V': 2, 'Si': 4}","{'V': 1, 'Si': 2}",0.0,-0.20037336711749343,-0.3456047,0.10978090000685412
18,mp-10032_5d83020e30582ea2977a71db,{'Si': 1},{'V': 4},{'V': 1},0.0,-0.1007416143866749,0.011938671,0.17942109192490754
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Si': 4},{'Si': 1},0.0,-1.353379856342081,-1.1317557,0.23000857329378094
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Si': 3, 'V': 6}","{'Si': 4, 'V': 5}",0.0,-1.9335274883114357,-1.3236133,-0.5347704706794303
21,mp-10032_5d83020e30582ea2977a71dc,{'Si': 3},"{'V': 3, 'Si': 6}","{'V': 4, 'Si': 5}",0.0,-0.34037519014374734,0.5673671,0.5352526598964958
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Si': 2, 'V': 3}","{'Si': 1, 'V': 2}",0.0,-1.249622707853617,-0.9177275,-0.07281007701838747
23,mp-10032_5d83020e30582ea2977a71e0,{'Si': 1},"{'V': 2, 'Si': 3}","{'V': 1, 'Si': 2}",0.0,-0.06587413818839154,-0.30361816,0.07931044267828392
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Si': 3, 'V': 6}","{'Si': 3, 'V': 2}",0.0,-1.8012982641103683,-1.387621,-0.4510856677594086
25,mp-10032_5d83020e30582ea2977a71e1,{'Si': 2},"{'V': 3, 'Si': 6}","{'V': 3, 'Si': 2}",0.0,-0.27895070574684616,0.42999053,0.2835142197357491
26,mp-10032_5d83020e30582ea2977a71e2,{'Si': 1},{'V': 4},{'V': 1},0.0,-0.1007416143866749,0.011938671,0.17942109192490754
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Si': 4},{'Si': 1},0.0,-1.353379856342081,-1.1317557,0.23000857329378094
28,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'Si': 2},0.0,-1.850277251383868,-1.3030351,-0.40962209950554684
29,mp-10032_5d83020e30582ea2977a748b,{'Si': 1},{'Si': 3},{'V': 2},0.0,-0.28081924562976013,-0.7181561,-0.30457974158036993
