,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ti': 1},{'V': 4},{'V': 2},0.0,-1.1488847915971436,-1.5207754,-0.05682782898594094
1,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'Ti': 4},{'Ti': 2},0.0,-1.2768799018854704,-1.1447331,-0.0661989390942809
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ti': 1},{'V': 4},{'V': 2},0.0,-1.1488847915971436,-1.5207754,-0.05682782898594094
3,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'Ti': 4},{'Ti': 2},0.0,-1.2768799018854704,-1.1447331,-0.0661989390942809
4,mp-1001836_5d83020f30582ea2977ab568,{'Ti': 1},{'V': 4},"{'Ti': 2, 'V': 2}",0.0,-1.2214684968340837,-1.45718,-0.0693919257973549
5,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'Ti': 4},"{'V': 2, 'Ti': 2}",0.0,-1.335506585223997,-1.1026093,-0.006211915956868422
6,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'Ti': 7},0.0,-2.2030416479038064,-1.3113207,-0.7783359361569043
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ti': 3},{'Ti': 9},{'V': 7},0.0,-2.254287693536338,-1.5228748,-0.7337982148660167
8,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'Ti': 3, 'V': 8}","{'Ti': 2, 'V': 2}",0.0,-2.003391300274862,-0.46663266,-0.6692892464626183
9,mp-10032_5d83020e30582ea2977a710a,{'Ti': 3},"{'V': 3, 'Ti': 8}","{'V': 2, 'Ti': 2}",0.0,-2.1912947277447197,-1.691917,-0.672955242771284
10,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'Ti': 3, 'V': 2}","{'Ti': 2, 'V': 5}",0.0,-1.6979649978970819,-1.2796167,-0.5578325472356093
11,mp-10032_5d83020e30582ea2977a71d5,{'Ti': 2},"{'V': 3, 'Ti': 2}","{'V': 2, 'Ti': 5}",0.0,-1.842208519223567,-1.9611642,-0.6685980493869115
12,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'Ti': 2, 'V': 2}","{'Ti': 1, 'V': 2}",0.0,-1.3526530235356196,-1.2161523,-0.1286459466432911
13,mp-10032_5d83020e30582ea2977a71d6,{'Ti': 1},"{'V': 2, 'Ti': 2}","{'V': 1, 'Ti': 2}",0.0,-1.2874443807094458,-1.530964,-0.19763213676269928
14,mp-10032_5d83020e30582ea2977a71d8,{'Ti': 1},{'V': 4},{'V': 1},0.0,-1.2323645096966678,-1.534167,-0.055279547052517836
15,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'Ti': 4},{'Ti': 1},0.0,-1.383058523564001,-1.1487868,-0.029340103355174375
16,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'Ti': 2, 'V': 4}","{'Ti': 1, 'V': 2}",0.0,-1.3016562171674406,-1.2495258,0.010835222994719517
17,mp-10032_5d83020e30582ea2977a71da,{'Ti': 1},"{'V': 2, 'Ti': 4}","{'V': 1, 'Ti': 2}",0.0,-1.2673446905204326,-1.4138092,-0.042539219047362666
18,mp-10032_5d83020e30582ea2977a71db,{'Ti': 1},{'V': 4},{'V': 1},0.0,-1.2323645096966678,-1.534167,-0.055279547052517836
19,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'Ti': 4},{'Ti': 1},0.0,-1.383058523564001,-1.1487868,-0.029340103355174375
20,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'Ti': 3, 'V': 6}","{'Ti': 4, 'V': 5}",0.0,-1.9407941574433187,-1.3603472,-0.637030079682646
21,mp-10032_5d83020e30582ea2977a71dc,{'Ti': 3},"{'V': 3, 'Ti': 6}","{'V': 4, 'Ti': 5}",0.0,-2.193171442611302,-1.9189178,-0.8357058293605327
22,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'Ti': 2, 'V': 3}","{'Ti': 1, 'V': 2}",0.0,-1.349988018821775,-1.1556777,-0.10507477085959971
23,mp-10032_5d83020e30582ea2977a71e0,{'Ti': 1},"{'V': 2, 'Ti': 3}","{'V': 1, 'Ti': 2}",0.0,-1.302797853632679,-1.3860507,-0.15981663478705135
24,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'Ti': 3, 'V': 6}","{'Ti': 3, 'V': 2}",0.0,-1.5955846831897023,-1.4670814,-0.5642937525869656
25,mp-10032_5d83020e30582ea2977a71e1,{'Ti': 2},"{'V': 3, 'Ti': 6}","{'V': 3, 'Ti': 2}",0.0,-1.7551492416754997,-2.0041962,-0.596139492450421
26,mp-10032_5d83020e30582ea2977a71e2,{'Ti': 1},{'V': 4},{'V': 1},0.0,-1.2323645096966678,-1.534167,-0.055279547052517836
27,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'Ti': 4},{'Ti': 1},0.0,-1.383058523564001,-1.1487868,-0.029340103355174375
28,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'Ti': 2},0.0,-1.1767673279383104,-1.3834481,-0.09502999115840023
29,mp-10032_5d83020e30582ea2977a748b,{'Ti': 1},{'Ti': 3},{'V': 2},0.0,-1.211541390233231,-1.3742741,-0.02438055880523682
30,mp-10032_5d83020e30582ea2977a7490,"{'Ti': 1, 'V': 2}","{'Ti': 1, 'V': 6}","{'Ti': 4, 'V': 3}",0.0,-1.956484964452641,-1.2671955,-0.7388549756507089
31,mp-10032_5d83020e30582ea2977a7490,"{'V': 1, 'Ti': 2}","{'V': 1, 'Ti': 6}","{'V': 4, 'Ti': 3}",0.0,-2.007430110575577,-1.4532155,-0.7548360081462855
32,mp-10032_5d83020e30582ea2977a7491,"{'Ti': 1, 'V': 2}","{'Ti': 1, 'V': 6}","{'Ti': 5, 'V': 3}",0.0,-1.9102959005348397,-1.2841656,-0.7377431877599989
