,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'Ti': 1},{'W': 4},{'W': 2},0.0,-1.2636285805253922,-1.0058658,0.23672517777367239
1,mp-10015_5d83020d30582ea2977a44b2,{'W': 1},{'Ti': 4},{'Ti': 2},0.0,-1.4217720937318172,-1.2394707,-0.38082959003513006
2,mp-10015_5d83cd3b4eaf9091a4057182,{'Ti': 1},{'W': 4},{'W': 2},0.0,-1.2636285805253922,-1.0058658,0.23672517777367239
3,mp-10015_5d83cd3b4eaf9091a4057182,{'W': 1},{'Ti': 4},{'Ti': 2},0.0,-1.4217720937318172,-1.2394707,-0.38082959003513006
4,mp-1001836_5d83020f30582ea2977ab568,{'Ti': 1},{'W': 4},"{'Ti': 2, 'W': 2}",0.0,-1.446092741942581,-1.0016435,0.255013944270024
5,mp-1001836_5d83020f30582ea2977ab568,{'W': 1},{'Ti': 4},"{'W': 2, 'Ti': 2}",0.0,-1.5262054773351177,-0.7551985,-0.39082023686985495
6,mp-1002114_5d83020f30582ea2977ab8e9,{'W': 3},{'W': 9},{'Ti': 7},0.0,-1.2850754259727346,-1.4947383,-0.7986290445771844
7,mp-1002114_5d83020f30582ea2977ab8e9,{'Ti': 3},{'Ti': 9},{'W': 7},0.0,-2.2221754885762413,-1.5493699,-0.5892401838043828
8,mp-10032_5d83020e30582ea2977a710a,{'W': 3},"{'Ti': 3, 'W': 8}","{'Ti': 2, 'W': 2}",0.0,-1.1212477537878183,-0.570067,-0.45268728707739425
9,mp-10032_5d83020e30582ea2977a710a,{'Ti': 3},"{'W': 3, 'Ti': 8}","{'W': 2, 'Ti': 2}",0.0,-1.987403905152759,-1.5309854,-0.6293963325928341
10,mp-10032_5d83020e30582ea2977a71d5,{'W': 2},"{'Ti': 3, 'W': 2}","{'Ti': 2, 'W': 5}",0.0,-1.5531917364741834,-1.160719,-0.5900008950472478
11,mp-10032_5d83020e30582ea2977a71d5,{'Ti': 2},"{'W': 3, 'Ti': 2}","{'W': 2, 'Ti': 5}",0.0,-1.6864056948979633,-1.8688936,-0.5617089791818938
12,mp-10032_5d83020e30582ea2977a71d6,{'W': 1},"{'Ti': 2, 'W': 2}","{'Ti': 1, 'W': 2}",0.0,-1.6895455294556359,-0.78934747,-0.3454142007787282
13,mp-10032_5d83020e30582ea2977a71d6,{'Ti': 1},"{'W': 2, 'Ti': 2}","{'W': 1, 'Ti': 2}",0.0,-1.343232001467354,-1.537338,-0.025066953811089185
14,mp-10032_5d83020e30582ea2977a71d8,{'Ti': 1},{'W': 4},{'W': 1},0.0,-1.2910169757153378,-0.96984774,0.2575758798283949
15,mp-10032_5d83020e30582ea2977a71d8,{'W': 1},{'Ti': 4},{'Ti': 1},0.0,-1.5883978052929046,-1.4910084,-0.33841994804154574
16,mp-10032_5d83020e30582ea2977a71da,{'W': 1},"{'Ti': 2, 'W': 4}","{'Ti': 1, 'W': 2}",0.0,-1.6081556120664093,-0.5935789,-0.2416380739244229
